"Comparison","bonferroni","holm","bh","equipo"
"azar - lightgbm",0.000272803402263869,0.00018186893484258,0.000136401701131935,"LA"
"azar - red",7.99177180993508e-12,7.99177180993508e-12,7.99177180993508e-12,"LA"
"lightgbm - red",0.00619307833971485,0.00206435944657162,0.00206435944657162,"LA"
"azar - lightgbm",3.07849079124005e-08,3.07849079124005e-08,3.07849079124005e-08,"ATL"
"azar - red",2.53978748853162e-07,1.69319165902108e-07,1.26989374426581e-07,"ATL"
"lightgbm - red",1,0.711798500456641,0.711798500456641,"ATL"
"azar - lightgbm",0.000691922432164571,0.000461281621443048,0.000345961216082286,"CAR"
"azar - red",1.45648785090718e-12,1.45648785090718e-12,1.45648785090718e-12,"CAR"
"lightgbm - red",0.00117138437274603,0.000390461457582009,0.000390461457582009,"CAR"
"azar - lightgbm",0.000476968444002421,0.000317978962668281,0.000238484222001211,"CHI"
"azar - red",5.96563984743662e-11,5.96563984743662e-11,5.96563984743662e-11,"CHI"
"lightgbm - red",0.0101600078525462,0.00338666928418205,0.00338666928418205,"CHI"
"azar - lightgbm",0.000806656714187355,0.00053777114279157,0.000268885571395785,"CIN"
"azar - red",9.49853261649885e-13,9.49853261649885e-13,9.49853261649885e-13,"CIN"
"lightgbm - red",0.000806656714187355,0.000268885571395785,0.000403328357093678,"CIN"
"azar - lightgbm",1.72818810427237e-06,1.15212540284825e-06,8.64094052136186e-07,"DET"
"azar - red",1.58175482857129e-08,1.58175482857129e-08,1.58175482857129e-08,"DET"
"lightgbm - red",1,0.401323081234395,0.401323081234395,"DET"
"azar - lightgbm",8.11462651124598e-07,5.40975100749732e-07,4.05731325562299e-07,"HOU"
"azar - red",1.99570497564065e-08,1.99570497564065e-08,1.99570497564065e-08,"HOU"
"lightgbm - red",1,0.511474066716127,0.511474066716127,"HOU"
"azar - lightgbm",1.65401616039472e-11,1.65401616039472e-11,1.65401616039472e-11,"MIA"
"azar - red",0.000145969247867264,9.7312831911509e-05,7.29846239336318e-05,"MIA"
"lightgbm - red",0.0139774986100938,0.00465916620336462,0.00465916620336462,"MIA"
"azar - lightgbm",7.22635350415918e-13,7.22635350415918e-13,7.22635350415918e-13,"NYJ"
"azar - red",0.000750918154649147,0.000500612103099431,0.000250306051549716,"NYJ"
"lightgbm - red",0.000750918154649147,0.000250306051549716,0.000375459077324573,"NYJ"
"azar - lightgbm",9.89925543947613e-09,9.89925543947613e-09,9.89925543947613e-09,"WAS"
"azar - red",6.78435592398929e-07,4.5229039493262e-07,3.39217796199465e-07,"WAS"
"lightgbm - red",1,0.45960760193511,0.45960760193511,"WAS"
"azar - lightgbm",0.000539816047240977,0.000359877364827318,0.000269908023620488,"ARI"
"azar - red",4.27311436143568e-12,4.27311436143568e-12,4.27311436143568e-12,"ARI"
"lightgbm - red",0.00254955186692824,0.000849850622309412,0.000849850622309412,"ARI"
"azar - lightgbm",3.16856575265876e-06,2.11237716843917e-06,1.58428287632938e-06,"LAC"
"azar - red",4.4421404288497e-09,4.4421404288497e-09,4.4421404288497e-09,"LAC"
"lightgbm - red",0.73135181063315,0.243783936877717,0.243783936877717,"LAC"
"azar - lightgbm",2.77278608501755e-05,1.84852405667837e-05,1.38639304250878e-05,"MIN"
"azar - red",5.57068670852097e-08,5.57068670852097e-08,5.57068670852097e-08,"MIN"
"lightgbm - red",0.701363993470874,0.233787997823625,0.233787997823625,"MIN"
"azar - lightgbm",4.72217731360619e-13,4.72217731360619e-13,4.72217731360619e-13,"TEN"
"azar - red",0.000728861315787118,0.000242953771929039,0.000242953771929039,"TEN"
"lightgbm - red",0.000618910529300755,0.000412607019533837,0.000309455264650378,"TEN"
"azar - lightgbm",0.0003337240423412,0.000222482694894134,0.0001668620211706,"DAL"
"azar - red",3.86300139980488e-11,3.86300139980488e-11,3.86300139980488e-11,"DAL"
"lightgbm - red",0.0110052195930828,0.00366840653102762,0.00366840653102762,"DAL"
"azar - lightgbm",5.57759326189775e-11,5.57759326189775e-11,5.57759326189775e-11,"SEA"
"azar - red",0.000168629861848747,0.000112419907899165,8.43149309243735e-05,"SEA"
"lightgbm - red",0.0215326570709899,0.00717755235699664,0.00717755235699664,"SEA"
"azar - lightgbm",8.7343183028966e-08,8.7343183028966e-08,4.3671591514483e-08,"KC"
"azar - red",8.7343183028966e-08,5.82287886859773e-08,8.7343183028966e-08,"KC"
"lightgbm - red",1,1,1,"KC"
"azar - lightgbm",2.99743427117569e-07,1.99828951411713e-07,1.49871713558784e-07,"BAL"
"azar - red",5.76987840237581e-08,5.76987840237581e-08,5.76987840237581e-08,"BAL"
"lightgbm - red",1,0.770375469637503,0.770375469637503,"BAL"
"azar - lightgbm",0.000590489463415581,0.000393659642277054,0.000295244731707791,"CLE"
"azar - red",2.19018944355826e-12,2.19018944355826e-12,2.19018944355826e-12,"CLE"
"lightgbm - red",0.00167782342080041,0.000559274473600136,0.000559274473600136,"CLE"
"azar - lightgbm",5.34136607690229e-10,5.34136607690229e-10,5.34136607690229e-10,"JAX"
"azar - red",9.90516532393873e-06,6.60344354929249e-06,4.95258266196937e-06,"JAX"
"lightgbm - red",0.251923808819102,0.0839746029397006,0.0839746029397006,"JAX"
"azar - lightgbm",5.03439010570862e-10,5.03439010570862e-10,5.03439010570862e-10,"NO"
"azar - red",1.11859010079094e-05,7.45726733860627e-06,5.5929505039547e-06,"NO"
"lightgbm - red",0.234070411197579,0.078023470399193,0.078023470399193,"NO"
"azar - lightgbm",0.000143620038034178,9.57466920227855e-05,7.18100190170891e-05,"NYG"
"azar - red",7.14371967864093e-12,7.14371967864093e-12,7.14371967864093e-12,"NYG"
"lightgbm - red",0.00970932132797311,0.0032364404426577,0.0032364404426577,"NYG"
"azar - lightgbm",6.78402585889818e-05,4.52268390593212e-05,3.39201292944909e-05,"PIT"
"azar - red",3.58684369531127e-11,3.58684369531127e-11,3.58684369531127e-11,"PIT"
"lightgbm - red",0.0329384099681947,0.0109794699893982,0.0109794699893982,"PIT"
"azar - lightgbm",0.000733377656989412,0.000488918437992941,0.000244459218996471,"SF"
"azar - red",6.60257684178044e-13,6.60257684178044e-13,6.60257684178044e-13,"SF"
"lightgbm - red",0.000733377656989412,0.000244459218996471,0.000366688828494706,"SF"
"azar - lightgbm",2.31490069617248e-06,1.54326713078165e-06,1.15745034808624e-06,"DEN"
"azar - red",3.57076756999917e-09,3.57076756999917e-09,3.57076756999917e-09,"DEN"
"lightgbm - red",0.763931220827182,0.254643740275728,0.254643740275728,"DEN"
"azar - lightgbm",1.62680885898728e-12,1.62680885898728e-12,1.62680885898728e-12,"LV"
"azar - red",0.000675115402498492,0.000450076934998994,0.000337557701249246,"LV"
"lightgbm - red",0.00126972383126824,0.000423241277089413,0.000423241277089413,"LV"
"azar - lightgbm",4.79520119142742e-07,3.19680079428494e-07,2.39760059571371e-07,"GB"
"azar - red",1.69025004410763e-08,1.69025004410763e-08,1.69025004410763e-08,"GB"
"lightgbm - red",1,0.557592691770954,0.557592691770954,"GB"
"azar - lightgbm",1.21691359581769e-11,1.21691359581769e-11,1.21691359581769e-11,"BUF"
"azar - red",0.0100233768121928,0.00334112560406426,0.00334112560406426,"BUF"
"lightgbm - red",0.000189443554316611,0.000126295702877741,9.47217771583057e-05,"BUF"
"azar - lightgbm",1.02316963327144e-11,1.02316963327144e-11,1.02316963327144e-11,"PHI"
"azar - red",0.000385335133243539,0.000256890088829026,0.00019266756662177,"PHI"
"lightgbm - red",0.00523964333109801,0.00174654777703267,0.00174654777703267,"PHI"
"azar - lightgbm",2.25778613808533e-05,1.50519075872356e-05,1.12889306904267e-05,"IND"
"azar - red",4.03096367499897e-10,4.03096367499897e-10,4.03096367499897e-10,"IND"
"lightgbm - red",0.155721415070552,0.0519071383568506,0.0519071383568506,"IND"
"azar - lightgbm",0.000723532057688654,0.000482354705125769,0.000241177352562885,"NE"
"azar - red",6.27035025371826e-13,6.27035025371826e-13,6.27035025371826e-13,"NE"
"lightgbm - red",0.000723532057688654,0.000241177352562885,0.000361766028844327,"NE"
