"","equipos","metrica","comparacion_a","comparacion_b","comparacion","metrica_a","metrica_b","p_value","skewness"
"1","LA","exactitud","no_profunda_modelo_3","modelo_2_bayesiana","no_profunda_modelo_3_modelo_2_bayesiana",0.709782608695652,0.662637362637362,0.000108080708149112,0.0995094862432147
"2","LA","exactitud","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.709782608695652,0.532967032967033,9.50217438815064e-05,-0.342723681447052
"3","LA","exactitud","modelo_2_bayesiana","azar","modelo_2_bayesiana_azar",0.662637362637362,0.532967032967033,9.34282888349226e-05,-0.345691621360938
"4","LA","precision","no_profunda_modelo_3","modelo_2_bayesiana","no_profunda_modelo_3_modelo_2_bayesiana",0.772950819672131,0.748360655737705,0.000889757837325222,0.0885474409075058
"5","LA","precision","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.772950819672131,0.651639344262295,9.44883198891393e-05,-0.343067631418042
"6","LA","precision","modelo_2_bayesiana","azar","modelo_2_bayesiana_azar",0.748360655737705,0.651639344262295,9.00454228704396e-05,-0.345691621360918
"7","LA","precision_secundaria","no_profunda_modelo_3","modelo_2_bayesiana","no_profunda_modelo_3_modelo_2_bayesiana",0.585483870967742,0.488333333333333,9.26392061424032e-05,0.121250574610905
"8","LA","precision_secundaria","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.585483870967742,0.291666666666667,9.50217438815064e-05,-0.342097930634326
"9","LA","precision_secundaria","modelo_2_bayesiana","azar","modelo_2_bayesiana_azar",0.488333333333333,0.291666666666667,9.00454228704396e-05,-0.345691621360923
"10","ATL","exactitud","no_profunda_modelo_4","modelo_2_defecto","no_profunda_modelo_4_modelo_2_defecto",0.725742574257426,0.72,0.536228302480606,0.388896710247127
"11","ATL","exactitud","no_profunda_modelo_4","azar","no_profunda_modelo_4_azar",0.725742574257426,0.493,9.52893106866428e-05,0.935383627722385
"12","ATL","exactitud","modelo_2_defecto","azar","modelo_2_defecto_azar",0.72,0.493,9.15949772579487e-05,0.871209666165154
"13","ATL","precision","no_profunda_modelo_4","modelo_2_defecto","no_profunda_modelo_4_modelo_2_defecto",0.673404255319149,0.702127659574468,0.0157628018820043,0.388896710247152
"14","ATL","precision","no_profunda_modelo_4","azar","no_profunda_modelo_4_azar",0.673404255319149,0.46063829787234,9.50217438815064e-05,0.931134735148465
"15","ATL","precision","modelo_2_defecto","azar","modelo_2_defecto_azar",0.702127659574468,0.46063829787234,9.15949772579487e-05,0.871209666165162
"16","ATL","precision_secundaria","no_profunda_modelo_4","modelo_2_defecto","no_profunda_modelo_4_modelo_2_defecto",0.771296296296296,0.735849056603774,0.000793540976673366,0.388896710247142
"17","ATL","precision_secundaria","no_profunda_modelo_4","azar","no_profunda_modelo_4_azar",0.771296296296296,0.521698113207547,9.52893106866428e-05,0.939068467830452
"18","ATL","precision_secundaria","modelo_2_defecto","azar","modelo_2_defecto_azar",0.735849056603774,0.521698113207547,9.15949772579487e-05,0.871209666165157
"19","CAR","exactitud","no_profunda_modelo_4","modelo_4_bayesiana","no_profunda_modelo_4_modelo_4_bayesiana",0.676923076923077,0.62,9.31646967801112e-05,-0.529485002316738
"20","CAR","exactitud","no_profunda_modelo_4","azar","no_profunda_modelo_4_azar",0.676923076923077,0.51,9.46214624254854e-05,0.405188715705452
"21","CAR","exactitud","modelo_4_bayesiana","azar","modelo_4_bayesiana_azar",0.62,0.51,9.38247374977226e-05,0.126668215337421
"22","CAR","precision","no_profunda_modelo_4","modelo_4_bayesiana","no_profunda_modelo_4_modelo_4_bayesiana",0.746296296296296,0.683333333333333,8.96611656786255e-05,-0.53430202619626
"23","CAR","precision","no_profunda_modelo_4","azar","no_profunda_modelo_4_azar",0.746296296296296,0.591666666666667,9.32964221661756e-05,0.402480837348752
"24","CAR","precision","modelo_4_bayesiana","azar","modelo_4_bayesiana_azar",0.683333333333333,0.591666666666667,9.38247374977226e-05,0.126668215337438
"25","CAR","precision_secundaria","no_profunda_modelo_4","modelo_4_bayesiana","no_profunda_modelo_4_modelo_4_bayesiana",0.575675675675676,0.525,0.000171168513453494,-0.522146795317304
"26","CAR","precision_secundaria","no_profunda_modelo_4","azar","no_profunda_modelo_4_azar",0.575675675675676,0.3875,9.46214624254854e-05,0.409050627548039
"27","CAR","precision_secundaria","modelo_4_bayesiana","azar","modelo_4_bayesiana_azar",0.525,0.3875,9.09468884751951e-05,0.126668215337426
