"","gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_43345","nflId_46113","nflId_46276","nflId_47856","nflId_48159","nflId_52451","nflId_52581","nflId_53440","nflId_53468","nflId_53580","nflId_54633","nflId_46522","nflId_40149","nflId_54784","nflId_54668","nflId_48207","nflId_44068","nflId_53646","nflId_53586","nflId_47904","nflId_38553","nflId_54536","nflId_41324","nflId_47815","nflId_53085","nflId_42593","nflId_52457","diferencia","yardlineSide_mod","isDropback"
"1",2022100904,4,2,2,33,77,"SHOTGUN","2x2",2.31666666666667,"12-15 min","visitante",0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-7,"CHI",TRUE
"2",2022091812,4,3,6,6,104,"SHOTGUN","2x2",8.55,"6-9 min","visitante",1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-14,"rival",TRUE
"3",2022102400,2,3,16,27,83,"SHOTGUN","3x1",0.316666666666667,"12-15 min","visitante",0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,"rival",TRUE
"4",2022091812,2,3,15,10,100,"SHOTGUN","2x2",3.78333333333333,"9-12 min","visitante",1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-10,"CHI",TRUE
"5",2022091102,4,1,10,45,55,"SHOTGUN","2x2",3.63333333333333,"9-12 min","local",1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"rival",FALSE
"7",2022103002,2,2,6,41,51,"SHOTGUN","2x2",4.86666666666667,"9-12 min","visitante",0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,-21,"CHI",FALSE
"8",2022102400,3,2,14,24,34,"SINGLEBACK","2x2",10.6166666666667,"3-6 min","visitante",0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,6,"rival",FALSE
"9",2022101300,1,2,5,5,15,"SHOTGUN","3x1",2.45,"12-15 min","local",0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"rival",TRUE
"10",2022091102,3,2,7,31,41,"SHOTGUN","3x1",7.63333333333333,"6-9 min","local",1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-10,"CHI",TRUE
"11",2022102400,3,3,6,28,82,"SHOTGUN","3x1",14.2166666666667,"0-3 min","visitante",0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,6,"CHI",FALSE
"12",2022092501,4,1,10,12,22,"SINGLEBACK","3x1",3.08333333333333,"9-12 min","local",1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"CHI",FALSE
"13",2022102400,2,1,10,39,71,"SHOTGUN","2x2",3.2,"9-12 min","visitante",0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-4,"rival",TRUE
"14",2022100904,2,2,6,41,69,"SHOTGUN","2x1",4.98333333333333,"9-12 min","visitante",0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,-18,"CHI",FALSE
"15",2022110601,4,1,10,42,52,"SHOTGUN","3x1",2,"12-15 min","local",1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-3,"CHI",FALSE
"16",2022101300,4,1,10,25,35,"SINGLEBACK","2x2",7.35,"6-9 min","local",0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-5,"CHI",TRUE
"17",2022103002,2,1,10,38,72,"SHOTGUN","3x1",1.91666666666667,"12-15 min","visitante",0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,-21,"rival",TRUE
"18",2022110601,1,2,9,45,55,"SINGLEBACK","2x2",13.1166666666667,"0-3 min","local",1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,"CHI",FALSE
"19",2022103002,4,1,10,16,26,"I_FORM","2x1",14.1,"0-3 min","visitante",0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,-19,"rival",FALSE
"20",2022101300,1,1,10,30,40,"JUMBO","3x1",7.11666666666667,"6-9 min","local",0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"rival",TRUE
"21",2022102400,2,1,10,45,55,"SHOTGUN","2x1",8.98333333333333,"6-9 min","visitante",0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,"CHI",FALSE
"22",2022102400,2,1,10,30,40,"SHOTGUN","2x1",9.6,"3-6 min","visitante",0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,"CHI",FALSE
"23",2022102400,3,1,10,49,59,"SHOTGUN","2x2",7.08333333333333,"6-9 min","visitante",0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9,"rival",FALSE
"24",2022102400,2,2,9,46,56,"SINGLEBACK","3x1",8.26666666666667,"6-9 min","visitante",0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,"CHI",FALSE
"25",2022101300,2,2,9,22,32,"SHOTGUN","2x2",3.33333333333333,"9-12 min","local",0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,"CHI",TRUE
"26",2022091812,3,3,10,22,88,"SHOTGUN","2x2",13.7,"0-3 min","visitante",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,"CHI",TRUE
"27",2022091102,2,1,10,47,63,"SINGLEBACK","2x2",2.28333333333333,"12-15 min","local",1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-7,"rival",FALSE
"28",2022103002,3,1,10,44,66,"SHOTGUN","2x2",2.65,"12-15 min","visitante",0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,-19,"rival",TRUE
"29",2022110601,1,3,2,31,79,"SHOTGUN","2x2",2.38333333333333,"12-15 min","local",1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-4,"rival",FALSE
"30",2022110601,2,2,10,18,28,"SHOTGUN","3x1",2.38333333333333,"12-15 min","local",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-11,"rival",FALSE
"31",2022092501,2,1,10,44,66,"SHOTGUN","3x1",4.71666666666667,"9-12 min","local",1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-4,"CHI",TRUE
"32",2022100904,2,1,10,14,96,"SHOTGUN","3x1",14.8666666666667,"0-3 min","visitante",0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-11,"CHI",FALSE
"33",2022092501,1,3,9,36,46,"EMPTY","4x1",13.1333333333333,"0-3 min","local",1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"CHI",TRUE
"34",2022091102,3,2,10,49,59,"SHOTGUN","3x1",6.31666666666667,"6-9 min","local",1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-10,"CHI",FALSE
"35",2022102400,3,3,8,37,47,"SHOTGUN","3x1",4.58333333333333,"9-12 min","visitante",0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,9,"rival",FALSE
"36",2022102400,4,3,5,45,65,"I_FORM","2x1",5.48333333333333,"9-12 min","visitante",0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,19,"rival",FALSE
"37",2022092501,3,3,1,1,11,"JUMBO","1x1",8.46666666666667,"6-9 min","local",1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,-4,"rival",FALSE
"38",2022100904,2,1,10,37,73,"SHOTGUN","2x1",5.53333333333333,"9-12 min","visitante",0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,-18,"CHI",TRUE
"39",2022103002,3,1,10,25,35,"SINGLEBACK","3x1",15,"0-3 min","visitante",0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,-11,"CHI",FALSE
"40",2022100904,3,1,10,41,51,"SHOTGUN","2x2",7.56666666666667,"6-9 min","visitante",0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,-5,"CHI",FALSE
"41",2022110601,2,2,2,26,36,"SHOTGUN","3x1",3.76666666666667,"9-12 min","local",1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-11,"rival",FALSE
"42",2022101300,1,1,15,44,66,"I_FORM","2x1",8.2,"6-9 min","local",0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,"CHI",FALSE
"43",2022100208,4,3,2,45,55,"SINGLEBACK","3x1",3.81666666666667,"9-12 min","visitante",0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,-8,"CHI",FALSE
"44",2022100904,4,1,10,36,74,"SHOTGUN","3x1",2,"12-15 min","visitante",0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-7,"CHI",TRUE
"45",2022103002,3,3,7,39,49,"SHOTGUN","2x2",3.11666666666667,"9-12 min","visitante",0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,-19,"CHI",TRUE
"46",2022091812,4,4,1,1,109,"SHOTGUN","2x2",8.21666666666667,"6-9 min","visitante",1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-14,"rival",FALSE
"47",2022100208,3,2,11,47,63,"SINGLEBACK","2x2",13.8166666666667,"0-3 min","visitante",0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,-5,"CHI",FALSE
"48",2022102400,3,3,1,40,50,"I_FORM","2x1",5.81666666666667,"9-12 min","visitante",0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,9,"rival",FALSE
"49",2022110601,3,1,10,25,85,"SHOTGUN","2x2",6.03333333333333,"6-9 min","local",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-10,"CHI",FALSE
"50",2022100208,4,2,5,9,19,"SINGLEBACK","3x1",13.0333333333333,"0-3 min","visitante",0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,-5,"CHI",FALSE
"51",2022110601,4,2,15,37,47,"SHOTGUN","3x1",3.91666666666667,"9-12 min","local",1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-3,"CHI",TRUE
"52",2022103002,2,3,2,10,100,"SHOTGUN","2x1",15,"0-3 min","visitante",0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,-14,"rival",FALSE
"53",2022110601,1,3,1,34,44,"WILDCAT","2x1",6.36666666666667,"6-9 min","local",1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-4,"CHI",FALSE
"54",2022091102,2,2,12,23,33,"SHOTGUN","2x2",9.53333333333333,"3-6 min","local",1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,"CHI",TRUE
"56",2022100904,3,2,16,48,58,"SHOTGUN","3x1",13.1166666666667,"0-3 min","visitante",0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-11,"CHI",TRUE
"57",2022100904,2,2,11,13,97,"EMPTY","3x2",14.6666666666667,"0-3 min","visitante",0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-11,"CHI",TRUE
"58",2022102400,1,1,10,40,50,"SINGLEBACK","2x2",11.1166666666667,"3-6 min","visitante",0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,"rival",TRUE
"60",2022092501,3,2,10,22,88,"SINGLEBACK","3x1",0.683333333333333,"12-15 min","local",1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"CHI",FALSE
"61",2022092501,3,1,10,22,88,"SHOTGUN","3x1",0.783333333333333,"12-15 min","local",1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"CHI",TRUE
"62",2022101300,3,3,8,8,102,"EMPTY","3x2",10.4666666666667,"3-6 min","local",0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,-3,"CHI",TRUE
"63",2022103002,4,2,4,10,20,"SINGLEBACK","2x2",13.75,"0-3 min","visitante",0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,-19,"rival",TRUE
"64",2022102400,4,3,1,17,93,"SINGLEBACK","3x1",13.7666666666667,"0-3 min","visitante",0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,"rival",FALSE
"65",2022091102,3,2,10,38,48,"SHOTGUN","3x1",0.966666666666667,"12-15 min","local",1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-3,"CHI",FALSE
"66",2022101300,4,1,10,42,68,"SINGLEBACK","2x2",3.33333333333333,"9-12 min","local",0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-5,"rival",TRUE
"67",2022101300,2,3,3,3,107,"SHOTGUN","2x2",12.1,"0-3 min","local",0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"rival",TRUE
"68",2022091102,3,1,10,38,48,"I_FORM","2x1",1.08333333333333,"12-15 min","local",1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-3,"CHI",TRUE
"69",2022103002,3,2,2,36,74,"SINGLEBACK","3x1",2.06666666666667,"12-15 min","visitante",0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,-19,"rival",FALSE
"70",2022101300,4,2,15,33,43,"SHOTGUN","2x2",1.5,"12-15 min","local",0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-5,"CHI",TRUE
"71",2022110601,3,2,6,39,71,"SHOTGUN","3x1",1.3,"12-15 min","local",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-10,"CHI",FALSE
"72",2022101300,3,1,10,6,104,"SHOTGUN","3x1",11.2166666666667,"3-6 min","local",0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,-3,"CHI",FALSE
"73",2022110601,1,3,10,20,90,"SHOTGUN","2x2",11.6166666666667,"3-6 min","local",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"rival",TRUE
"74",2022101300,1,1,6,6,16,"SHOTGUN","2x2",3.15,"9-12 min","local",0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"rival",FALSE
"76",2022092501,2,2,9,11,99,"JUMBO","3x1",11.1833333333333,"3-6 min","local",1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,"CHI",FALSE
"77",2022110601,2,1,10,35,75,"SHOTGUN","2x2",10,"3-6 min","local",1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,-4,"CHI",FALSE
"78",2022102400,1,1,3,3,13,"EMPTY","3x2",2.26666666666667,"12-15 min","visitante",0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,"rival",FALSE
"79",2022092501,4,3,6,26,36,"SHOTGUN","3x1",9.93333333333333,"3-6 min","local",1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"CHI",TRUE
"80",2022091102,1,2,10,23,87,"SHOTGUN","3x1",14.8166666666667,"0-3 min","local",1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CHI",FALSE
"81",2022092501,2,3,5,49,61,"SHOTGUN","3x1",4.1,"9-12 min","local",1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,-4,"CHI",TRUE
"82",2022100904,2,1,10,50,60,"EMPTY","3x2",1.9,"12-15 min","visitante",0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-18,"centro",TRUE
"83",2022100904,4,2,21,25,85,"SHOTGUN","2x2",1.58333333333333,"12-15 min","visitante",0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-7,"CHI",TRUE
"84",2022091812,4,1,10,35,45,"I_FORM","2x1",13.5166666666667,"0-3 min","visitante",1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-14,"CHI",TRUE
"85",2022102400,2,1,10,45,55,"SHOTGUN","2x2",3.83333333333333,"9-12 min","visitante",0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-4,"CHI",TRUE
