"","gameId2022091104","gameId2022091802","gameId2022092504","gameId2022100205","gameId2022100905","gameId2022102303","gameId2022103003","gameId2022110603","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormationEMPTY","offenseFormationI_FORM","offenseFormationJUMBO","offenseFormationPISTOL","offenseFormationSHOTGUN","offenseFormationSINGLEBACK","receiverAlignment1x1","receiverAlignment2x0","receiverAlignment2x1","receiverAlignment2x2","receiverAlignment3x0","receiverAlignment3x1","receiverAlignment3x2","receiverAlignment4x1","gameClock_mod","timeCategory0.3.min","timeCategory12.15.min","timeCategory3.6.min","timeCategory6.9.min","timeCategory9.12.min","estadiolocal","estadiovisitante","nflId_43290","nflId_43305","nflId_44930","nflId_46089","nflId_46130","nflId_47791","nflId_52443","nflId_52483","nflId_52529","nflId_53436","nflId_53541","nflId_44947","nflId_53959","nflId_48455","nflId_53739","nflId_43584","nflId_52574","nflId_45721","nflId_46679","nflId_48707","nflId_48680","nflId_46320","nflId_54642","nflId_54428","nflId_53941","nflId_55169","diferencia","yardlineSide_modcentro","yardlineSide_modDET","yardlineSide_modrival","isDropback"
"1",0,0,0,1,0,0,0,0,0.666666666666667,0.333333333333333,0.172413793103448,0.571428571428571,0.285714285714286,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.949944382647386,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0.254901960784314,0,1,0,0
"2",0,0,1,0,0,0,0,0,1,0,0.310344827586207,0.163265306122449,0.918367346938776,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.8587319243604,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0.764705882352941,0,1,0,0
"3",1,0,0,0,0,0,0,0,0.333333333333333,0,0.310344827586207,0.489795918367347,0.244897959183673,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.862068965517241,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568627450980392,0,1,0,0
"4",0,0,0,0,0,0,1,0,0,0,0.310344827586207,0.489795918367347,0.244897959183673,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.568627450980392,0,1,0,1
"5",1,0,0,0,0,0,0,0,0.666666666666667,0,0.310344827586207,0.448979591836735,0.775510204081633,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.423804226918799,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235294117647059,0,0,1,1
"6",0,0,1,0,0,0,0,0,1,0.666666666666667,0.206896551724138,0.714285714285714,0.357142857142857,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.245828698553949,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.627450980392157,0,0,1,0
"7",0,0,0,0,0,0,1,0,0.333333333333333,0,0.310344827586207,0.795918367346939,0.397959183673469,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.032258064516129,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.705882352941177,0,0,1,1
"8",0,0,0,0,0,0,1,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.921023359288098,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.705882352941177,0,0,1,0
"9",1,0,0,0,0,0,0,0,1,0.333333333333333,0.137931034482759,0.489795918367347,0.244897959183673,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.290322580645161,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372549019607843,0,0,1,1
"10",1,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0.310344827586207,0.428571428571429,0.214285714285714,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.662958843159066,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568627450980392,0,1,0,1
"11",0,0,0,1,0,0,0,0,0.666666666666667,0,0.310344827586207,0.918367346938776,0.459183673469388,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.478309232480534,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0.254901960784314,0,1,0,0
"12",1,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.310344827586207,0.836734693877551,0.581632653061224,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.303670745272525,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.294117647058824,0,0,1,0
"13",1,0,0,0,0,0,0,0,0.666666666666667,0,0.310344827586207,0.816326530612245,0.408163265306122,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.566184649610678,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235294117647059,0,1,0,0
"14",0,0,0,0,0,0,1,0,0,0,0.310344827586207,1,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.974416017797553,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.568627450980392,1,0,0,0
"15",1,0,0,0,0,0,0,0,1,0.666666666666667,0.103448275862069,0.673469387755102,0.663265306122449,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.476084538375973,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372549019607843,0,1,0,1
"16",0,0,0,0,0,0,0,1,0.333333333333333,0,0.310344827586207,0.387755102040816,0.193877551020408,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.995550611790879,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0.568627450980392,0,1,0,0
"17",0,0,0,0,1,0,0,0,0.333333333333333,0.333333333333333,0.137931034482759,0.775510204081633,0.612244897959184,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.876529477196885,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.450980392156863,0,0,1,0
