"","gameId2022091110","gameId2022091500","gameId2022092502","gameId2022100213","gameId2022101000","gameId2022101610","gameId2022102310","gameId2022110610","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormationEMPTY","offenseFormationI_FORM","offenseFormationJUMBO","offenseFormationPISTOL","offenseFormationSHOTGUN","offenseFormationSINGLEBACK","offenseFormationWILDCAT","receiverAlignment1x0","receiverAlignment1x1","receiverAlignment2x0","receiverAlignment2x1","receiverAlignment2x2","receiverAlignment3x1","receiverAlignment3x2","receiverAlignment4x1","gameClock_mod","timeCategory0.3.min","timeCategory12.15.min","timeCategory3.6.min","timeCategory6.9.min","timeCategory9.12.min","estadiolocal","estadiovisitante","nflId_40011","nflId_43367","nflId_44822","nflId_44874","nflId_45695","nflId_46152","nflId_46243","nflId_47839","nflId_52440","nflId_53492","nflId_53655","nflId_54519","nflId_48683","nflId_53591","nflId_46213","nflId_41325","nflId_42511","nflId_54716","nflId_47999","nflId_33138","nflId_46143","nflId_52618","nflId_45369","nflId_53449","diferencia","yardlineSide_modcentro","yardlineSide_modKC","yardlineSide_modrival","isDropback"
"1",0,0,0,0,0,0,0,1,0,0.333333333333333,0.473684210526316,0.448979591836735,0.224489795918367,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.629877369007804,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.425,0,0,1,1
"2",0,0,0,0,0,1,0,0,0.75,0,0.473684210526316,0.918367346938776,0.459183673469388,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.946488294314381,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.425,0,1,0,0
"3",0,0,0,0,1,0,0,0,0.5,0.666666666666667,0.368421052631579,0.897959183673469,0.448979591836735,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.432552954292085,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.35,0,1,0,1
"4",0,0,0,1,0,0,0,0,0.5,0.333333333333333,0.473684210526316,0.183673469387755,0.908163265306122,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.382385730211817,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.775,0,0,1,1
"5",0,0,0,1,0,0,0,0,0,0.333333333333333,0.210526315789474,0.306122448979592,0.153061224489796,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.955406911928651,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.425,0,0,1,1
"6",0,0,0,0,1,0,0,0,0.75,0,0.473684210526316,0.938775510204082,0.530612244897959,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.190635451505017,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.45,0,1,0,1
"7",0,0,0,0,1,0,0,0,0,0.333333333333333,0.473684210526316,0.918367346938776,0.540816326530612,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.411371237458194,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.25,0,1,0,1
"8",1,0,0,0,0,0,0,0,0.25,0,0.473684210526316,0.387755102040816,0.193877551020408,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0691192865105908,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.75,0,1,0,1
"9",0,0,0,0,0,0,0,1,0.25,0,0.473684210526316,0.489795918367347,0.244897959183673,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.357859531772575,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.3,0,1,0,0
"10",0,0,0,0,1,0,0,0,0.75,0.333333333333333,0.105263157894737,0.408163265306122,0.204081632653061,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.722408026755853,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0.45,0,0,1,0
