"equipo","modelo","optimizacion","semilla","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth","auc","promedio","exactitud","precision","precision_secundaria","promedio.1","f1","recall"
"CHI","modelo_2","grid",4170,0.2,0.8,15,5,3,"NA",0.613222472125872,0.6,0.583333333333333,0.615384615384615,0.59957264957265,0.583333333333333,0.583333333333333
"CHI","modelo_2","grid",3951,0.2,0.8,15,5,3,"NA",0.613222472125872,0.62,0.604166666666667,0.634615384615385,0.619594017094017,0.604166666666667,0.604166666666667
"CHI","modelo_2","grid",5491,0.2,0.8,15,5,3,"NA",0.613222472125872,0.62,0.604166666666667,0.634615384615385,0.619594017094017,0.604166666666667,0.604166666666667
"CHI","modelo_2","grid",1762,0.2,0.8,15,5,3,"NA",0.613222472125872,0.6,0.583333333333333,0.615384615384615,0.59957264957265,0.583333333333333,0.583333333333333
"CHI","modelo_2","grid",3409,0.2,0.8,15,5,3,"NA",0.613222472125872,0.62,0.604166666666667,0.634615384615385,0.619594017094017,0.604166666666667,0.604166666666667
"CHI","modelo_2","grid",3980,0.2,0.8,15,5,3,"NA",0.613222472125872,0.64,0.625,0.653846153846154,0.639615384615385,0.625,0.625
"CHI","modelo_2","grid",1383,0.2,0.8,15,5,3,"NA",0.613222472125872,0.64,0.625,0.653846153846154,0.639615384615385,0.625,0.625
"CHI","modelo_2","grid",768,0.2,0.8,15,5,3,"NA",0.613222472125872,0.58,0.5625,0.596153846153846,0.579551282051282,0.5625,0.5625
"CHI","modelo_2","grid",1058,0.2,0.8,15,5,3,"NA",0.613222472125872,0.64,0.625,0.653846153846154,0.639615384615385,0.625,0.625
"CHI","modelo_2","grid",8585,0.2,0.8,15,5,3,"NA",0.613222472125872,0.6,0.583333333333333,0.615384615384615,0.59957264957265,0.583333333333333,0.583333333333333
"CHI","modelo_2","grid",564,0.2,0.8,15,5,3,"NA",0.613222472125872,0.66,0.645833333333333,0.673076923076923,0.659636752136752,0.645833333333333,0.645833333333333
"CHI","modelo_2","grid",2478,0.2,0.8,15,5,3,"NA",0.613222472125872,0.64,0.625,0.653846153846154,0.639615384615385,0.625,0.625
"CHI","modelo_2","grid",9481,0.2,0.8,15,5,3,"NA",0.613222472125872,0.66,0.645833333333333,0.673076923076923,0.659636752136752,0.645833333333333,0.645833333333333
"CHI","modelo_2","grid",5701,0.2,0.8,15,5,3,"NA",0.613222472125872,0.58,0.5625,0.596153846153846,0.579551282051282,0.5625,0.5625
"CHI","modelo_2","grid",8455,0.2,0.8,15,5,3,"NA",0.613222472125872,0.6,0.583333333333333,0.615384615384615,0.59957264957265,0.583333333333333,0.583333333333333
"CHI","modelo_2","grid",6401,0.2,0.8,15,5,3,"NA",0.613222472125872,0.6,0.583333333333333,0.615384615384615,0.59957264957265,0.583333333333333,0.583333333333333
"CHI","modelo_2","grid",3291,0.2,0.8,15,5,3,"NA",0.613222472125872,0.62,0.604166666666667,0.634615384615385,0.619594017094017,0.604166666666667,0.604166666666667
"CHI","modelo_2","grid",9579,0.2,0.8,15,5,3,"NA",0.613222472125872,0.62,0.604166666666667,0.634615384615385,0.619594017094017,0.604166666666667,0.604166666666667
"CHI","modelo_2","grid",1438,0.2,0.8,15,5,3,"NA",0.613222472125872,0.64,0.625,0.653846153846154,0.639615384615385,0.625,0.625
"CHI","modelo_2","grid",3142,0.2,0.8,15,5,3,"NA",0.613222472125872,0.6,0.583333333333333,0.615384615384615,0.59957264957265,0.583333333333333,0.583333333333333
