"equipo","modelo","optimizacion","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth","auc","promedio","exactitud","precision","precision_secundaria","promedio.1","f1","recall"
"CIN","modelo_1","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.703703703703704,0.774647887323944,0.567567567567568,NA,0.774647887323944,0.774647887323944
"CIN","modelo_1","grid","0.1","0.6","15","35","5","NA","0.675785628091393",0.686111111111111,0.761267605633803,0.541891891891892,0.675785628091393,0.761267605633803,0.761267605633803
"CIN","modelo_1","bayesiana","0.155784846534317","0.838038761700317","35","34","3","0.76836420146511","NA",0.712037037037037,0.780985915492958,0.57972972972973,NA,0.780985915492958,0.780985915492958
"CIN","modelo_2","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.666666666666667,0.746478873239437,0.513513513513513,NA,0.746478873239437,0.746478873239437
"CIN","modelo_2","grid","0.03","0.5","15","35","3","NA","0.735214152879005",0.731481481481482,0.795774647887324,0.608108108108108,0.735214152879005,0.795774647887324,0.795774647887324
"CIN","modelo_2","bayesiana","0.0162181326213037","0.846034826774057","22","37","4","0.813735519078067","NA",0.755555555555556,0.814084507042254,0.643243243243243,NA,0.814084507042254,0.814084507042254
"CIN","modelo_3","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.666666666666667,0.746478873239437,0.513513513513513,NA,0.746478873239437,0.746478873239437
"CIN","modelo_3","grid","0.03","0.5","15","35","3","NA","0.735214152879005",0.733333333333333,0.797183098591549,0.610810810810811,0.735214152879005,0.797183098591549,0.797183098591549
"CIN","modelo_3","bayesiana","0.199205808654435","0.570102586570661","20","29","9","0.811779638091114","NA",0.669444444444444,0.748591549295775,0.517567567567567,NA,0.748591549295775,0.748591549295775
"CIN","modelo_4","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.703703703703704,0.774647887323944,0.567567567567568,NA,0.774647887323944,0.774647887323944
"CIN","modelo_4","grid","0.1","0.6","15","35","5","NA","0.675785628091393",0.697222222222222,0.769718309859155,0.558108108108108,0.675785628091393,0.769718309859155,0.769718309859155
"CIN","modelo_4","bayesiana","0.196761539177226","0.845526374553144","20","31","6","0.774578803750048","NA",0.656481481481481,0.738732394366197,0.498648648648649,NA,0.738732394366197,0.738732394366197
