"equipo","modelo","optimizacion","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth","auc","promedio","exactitud","precision","precision_secundaria","promedio.1","f1","recall"
"DAL","modelo_1","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.568181818181818,0.604166666666667,0.525,NA,0.604166666666667,0.604166666666667
"DAL","modelo_1","grid","0.03","0.9","15","5","3","NA","0.678896878419145",0.65,0.679166666666667,0.615,0.678896878419145,0.679166666666667,0.679166666666667
"DAL","modelo_1","bayesiana","0.0710915013303771","0.644558321400359","19","31","3","0.744107300258493","NA",0.642045454545455,0.671875,0.60625,NA,0.671875,0.671875
"DAL","modelo_2","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.613636363636364,0.645833333333333,0.575,NA,0.645833333333333,0.645833333333333
"DAL","modelo_2","grid","0.05","0.6","15","5","3","NA","0.678769273596251",0.652272727272727,0.68125,0.6175,0.678769273596251,0.68125,0.68125
"DAL","modelo_2","bayesiana","0.137108047690554","0.60354400636584","32","9","3","0.782481392639394","NA",0.646590909090909,0.676041666666667,0.61125,NA,0.676041666666667,0.676041666666667
"DAL","modelo_3","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.613636363636364,0.645833333333333,0.575,NA,0.645833333333333,0.645833333333333
"DAL","modelo_3","grid","0.05","0.6","15","5","3","NA","0.678769273596251",0.654545454545455,0.683333333333333,0.62,0.678769273596251,0.683333333333333,0.683333333333333
"DAL","modelo_3","bayesiana","0.0547863707719157","0.557056735430903","24","12","3","0.757867064345926","NA",0.660227272727273,0.688541666666667,0.62625,NA,0.688541666666667,0.688541666666667
"DAL","modelo_4","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.568181818181818,0.604166666666667,0.525,NA,0.604166666666667,0.604166666666667
"DAL","modelo_4","grid","0.03","0.9","15","5","3","NA","0.678896878419145",0.654545454545455,0.683333333333333,0.62,0.678896878419145,0.683333333333333,0.683333333333333
"DAL","modelo_4","bayesiana","0.168043938519971","0.574694117608856","29","7","3","0.743628761429614","NA",0.617045454545455,0.648958333333333,0.57875,NA,0.648958333333333,0.648958333333333
