"equipo","modelo","optimizacion","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth","auc","promedio","exactitud","precision","precision_secundaria","promedio.1","f1","recall"
"DEN","modelo_1","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.645833333333333,0.716666666666667,0.527777777777778,NA,0.716666666666667,0.716666666666667
"DEN","modelo_1","grid","0.03","0.9","15","20","5","NA","0.658865510028301",0.619791666666667,0.695833333333333,0.493055555555556,0.658865510028301,0.695833333333333,0.695833333333333
"DEN","modelo_1","bayesiana","0.0409530967782228","0.863388025499694","21","14","4","0.727697834087358","NA",0.622916666666667,0.698333333333333,0.497222222222222,NA,0.698333333333333,0.698333333333333
"DEN","modelo_2","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.6875,0.75,0.583333333333333,NA,0.75,0.75
"DEN","modelo_2","grid","0.03","0.7","15","10","3","NA","0.744931357555942",0.727083333333333,0.781666666666667,0.636111111111111,0.744931357555942,0.781666666666667,0.781666666666667
"DEN","modelo_2","bayesiana","0.109237907742514","0.714494067566295","23","14","4","0.83336121007283","NA",0.689583333333333,0.751666666666667,0.586111111111111,NA,0.751666666666667,0.751666666666667
"DEN","modelo_3","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.6875,0.75,0.583333333333333,NA,0.75,0.75
"DEN","modelo_3","grid","0.03","0.7","15","10","3","NA","0.744931357555942",0.730208333333333,0.784166666666667,0.640277777777778,0.744931357555942,0.784166666666667,0.784166666666667
"DEN","modelo_3","bayesiana","0.122940865845493","0.817562201953145","26","12","4","0.840733352648354","NA",0.670833333333333,0.736666666666667,0.561111111111111,NA,0.736666666666667,0.736666666666667
"DEN","modelo_4","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.645833333333333,0.716666666666667,0.527777777777778,NA,0.716666666666667,0.716666666666667
"DEN","modelo_4","grid","0.03","0.9","15","20","5","NA","0.658865510028301",0.622916666666667,0.698333333333333,0.497222222222222,0.658865510028301,0.698333333333333,0.698333333333333
"DEN","modelo_4","bayesiana","0.179474470458521","0.626180201484903","46","11","3","0.736960530876589","NA",0.586458333333333,0.669166666666667,0.448611111111111,NA,0.669166666666667,0.669166666666667
