"equipo","modelo","optimizacion","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth","auc","promedio","exactitud","precision","precision_secundaria","promedio.1","f1","recall"
"KC","modelo_1","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.673076923076923,0.767123287671233,0.451612903225806,NA,0.767123287671233,0.767123287671233
"KC","modelo_1","grid","0.03","0.6","15","10","3","NA","0.72857021206795",0.720192307692308,0.800684931506849,0.530645161290323,0.72857021206795,0.800684931506849,0.800684931506849
"KC","modelo_1","bayesiana","0.0188780765245599","0.850600818715058","41","11","4","0.762419272471138","NA",0.725,0.804109589041096,0.538709677419355,NA,0.804109589041096,0.804109589041096
"KC","modelo_2","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.788461538461538,0.849315068493151,0.645161290322581,NA,0.849315068493151,0.849315068493151
"KC","modelo_2","grid","0.05","0.7","15","20","3","NA","0.760908406313732",0.772115384615385,0.837671232876712,0.617741935483871,0.760908406313732,0.837671232876712,0.837671232876712
"KC","modelo_2","bayesiana","0.182347154954982","0.639392003224324","17","25","8","0.804550155920269","NA",0.775,0.83972602739726,0.62258064516129,NA,0.83972602739726,0.83972602739726
"KC","modelo_3","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.788461538461538,0.849315068493151,0.645161290322581,NA,0.849315068493151,0.849315068493151
"KC","modelo_3","grid","0.05","0.7","15","20","3","NA","0.760908406313732",0.771153846153846,0.836986301369863,0.616129032258064,0.760908406313732,0.836986301369863,0.836986301369863
"KC","modelo_3","bayesiana","0.0414195564560127","0.663668214533012","46","38","3","0.810780943360679","NA",0.766346153846154,0.833561643835616,0.608064516129032,NA,0.833561643835616,0.833561643835616
"KC","modelo_4","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.673076923076923,0.767123287671233,0.451612903225806,NA,0.767123287671233,0.767123287671233
"KC","modelo_4","grid","0.03","0.6","15","10","3","NA","0.72857021206795",0.717307692307692,0.798630136986301,0.525806451612903,0.72857021206795,0.798630136986301,0.798630136986301
"KC","modelo_4","bayesiana","0.0744879239447229","0.820013415172137","19","20","3","0.765217007094956","NA",0.727884615384615,0.806164383561644,0.543548387096774,NA,0.806164383561644,0.806164383561644
