"equipo","modelo","optimizacion","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth","auc","promedio","exactitud","precision","precision_secundaria","promedio.1","f1","recall"
"LAC","modelo_1","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.693877551020408,0.779411764705882,0.5,NA,0.779411764705882,0.779411764705882
"LAC","modelo_1","grid","0.01","0.6","30","5","5","NA","0.677909037665135",0.714285714285714,0.794117647058823,0.533333333333333,0.677909037665135,0.794117647058824,0.794117647058823
"LAC","modelo_1","bayesiana","0.0434291022708267","0.705606552013848","32","9","7","0.778510438238572","NA",0.677551020408163,0.767647058823529,0.473333333333333,NA,0.767647058823529,0.767647058823529
"LAC","modelo_2","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.673469387755102,0.764705882352941,0.466666666666667,NA,0.764705882352941,0.764705882352941
"LAC","modelo_2","grid","0.03","0.7","15","5","3","NA","0.711596217693779",0.748979591836735,0.819117647058824,0.59,0.711596217693779,0.819117647058824,0.819117647058824
"LAC","modelo_2","bayesiana","0.0345670235207929","0.721712976040103","17","12","4","0.782717433364284","NA",0.761224489795918,0.827941176470588,0.61,NA,0.827941176470588,0.827941176470588
"LAC","modelo_3","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.673469387755102,0.764705882352941,0.466666666666667,NA,0.764705882352941,0.764705882352941
"LAC","modelo_3","grid","0.03","0.7","15","5","3","NA","0.711596217693779",0.753061224489796,0.822058823529412,0.596666666666667,0.711596217693779,0.822058823529412,0.822058823529412
"LAC","modelo_3","bayesiana","0.044925027684828","0.708477435691119","19","12","4","0.779464998711054","NA",0.755102040816326,0.823529411764706,0.6,NA,0.823529411764706,0.823529411764706
"LAC","modelo_4","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.693877551020408,0.779411764705882,0.5,NA,0.779411764705882,0.779411764705882
"LAC","modelo_4","grid","0.01","0.6","30","5","5","NA","0.677909037665135",0.712244897959184,0.792647058823529,0.53,0.677909037665135,0.792647058823529,0.792647058823529
"LAC","modelo_4","bayesiana","0.188439492965105","0.674542916850653","27","18","8","0.774526926519552","NA",0.68265306122449,0.771323529411765,0.481666666666667,NA,0.771323529411765,0.771323529411765
