"equipo","modelo","optimizacion","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth","auc","promedio","exactitud","precision","precision_secundaria","promedio.1","f1","recall"
"MIN","modelo_1","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.589473684210526,0.688524590163934,0.411764705882353,NA,0.682926829268293,0.67741935483871
"MIN","modelo_1","grid","0.01","0.7","15","20","5","NA","0.673391053437659",0.634736842105263,0.723770491803279,0.475,0.673391053437659,0.717886178861789,0.712096774193548
"MIN","modelo_1","bayesiana","0.0672187194225891","0.717667538420483","26","24","3","0.732093936039247","NA",0.642105263157895,0.729508196721312,0.485294117647059,NA,0.723577235772358,0.717741935483871
"MIN","modelo_2","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.631578947368421,0.721311475409836,0.470588235294118,NA,0.715447154471545,0.709677419354839
"MIN","modelo_2","grid","0.03","0.7","15","30","3","NA","0.695566793434684",0.649473684210526,0.735245901639344,0.495588235294118,0.695566793434684,0.729268292682927,0.723387096774194
"MIN","modelo_2","bayesiana","0.192398044771864","0.658284626170062","47","10","3","0.757569511510999","NA",0.622105263157895,0.713934426229508,0.457352941176471,NA,0.708130081300813,0.70241935483871
"MIN","modelo_3","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.631578947368421,0.721311475409836,0.470588235294118,NA,0.715447154471545,0.709677419354839
"MIN","modelo_3","grid","0.03","0.7","15","30","3","NA","0.695566793434684",0.65578947368421,0.74016393442623,0.504411764705882,0.695566793434684,0.734146341463415,0.728225806451613
"MIN","modelo_3","bayesiana","0.034962178276421","0.884444489982259","26","18","3","0.762146049947292","NA",0.656842105263158,0.740983606557377,0.505882352941176,NA,0.734959349593496,0.729032258064516
"MIN","modelo_4","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.589473684210526,0.688524590163934,0.411764705882353,NA,0.682926829268293,0.67741935483871
"MIN","modelo_4","grid","0.01","0.7","15","20","5","NA","0.673391053437659",0.636842105263158,0.725409836065574,0.477941176470588,0.673391053437659,0.719512195121951,0.713709677419355
"MIN","modelo_4","bayesiana","0.166981745920584","0.620958065407816","29","10","6","0.731104195819493","NA",0.584210526315789,0.684426229508197,0.404411764705882,NA,0.678861788617886,0.673387096774194
