"equipo","modelo","optimizacion","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth","auc","promedio","exactitud","precision","precision_secundaria","promedio.1","f1","recall"
"SEA","modelo_1","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.555555555555556,0.636363636363636,0.428571428571429,NA,0.636363636363636,0.636363636363636
"SEA","modelo_1","grid","0.03","0.6","15","15","7","NA","0.654203032012311",0.61,0.680909090909091,0.498571428571429,0.654203032012311,0.680909090909091,0.680909090909091
"SEA","modelo_1","bayesiana","0.197563936751634","0.524477783326898","15","7","3","0.74089467203572","NA",0.573333333333333,0.650909090909091,0.451428571428571,NA,0.650909090909091,0.650909090909091
"SEA","modelo_2","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.666666666666667,0.727272727272727,0.571428571428571,NA,0.727272727272727,0.727272727272727
"SEA","modelo_2","grid","0.05","0.9","50","5","9","NA","0.682785353093506",0.648888888888889,0.712727272727273,0.548571428571428,0.682785353093506,0.712727272727273,0.712727272727273
"SEA","modelo_2","bayesiana","0.0527765823995648","0.797524472656474","50","8","3","0.753151046254396","NA",0.681111111111111,0.739090909090909,0.59,NA,0.739090909090909,0.739090909090909
"SEA","modelo_3","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.666666666666667,0.727272727272727,0.571428571428571,NA,0.727272727272727,0.727272727272727
"SEA","modelo_3","grid","0.05","0.9","50","5","9","NA","0.682785353093506",0.653333333333333,0.716363636363636,0.554285714285714,0.682785353093506,0.716363636363636,0.716363636363636
"SEA","modelo_3","bayesiana","0.166091195406574","0.860644895902963","45","8","3","0.752982148060938","NA",0.664444444444444,0.725454545454545,0.568571428571429,NA,0.725454545454545,0.725454545454545
"SEA","modelo_4","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.555555555555556,0.636363636363636,0.428571428571429,NA,0.636363636363636,0.636363636363636
"SEA","modelo_4","grid","0.03","0.6","15","15","7","NA","0.654203032012311",0.612222222222222,0.682727272727273,0.501428571428571,0.654203032012311,0.682727272727273,0.682727272727273
"SEA","modelo_4","bayesiana","0.197729379114718","0.843786357289832","18","22","4","0.730545955431536","NA",0.573333333333333,0.650909090909091,0.451428571428571,NA,0.650909090909091,0.650909090909091
