"equipo","modelo","optimizacion","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth","auc","promedio","exactitud","precision","precision_secundaria","promedio.1","f1","recall"
"TB","modelo_1","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.690909090909091,0.779220779220779,0.484848484848485,NA,0.779220779220779,0.779220779220779
"TB","modelo_1","grid","0.03","0.6","15","5","9","NA","0.709100880044015",0.744545454545455,0.817532467532468,0.574242424242424,0.709100880044015,0.817532467532468,0.817532467532468
"TB","modelo_1","bayesiana","0.0977760190294772","0.773567477412791","31","32","8","0.809856008280821","NA",0.724545454545455,0.803246753246753,0.540909090909091,NA,0.803246753246753,0.803246753246753
"TB","modelo_2","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.763636363636364,0.831168831168831,0.606060606060606,NA,0.831168831168831,0.831168831168831
"TB","modelo_2","grid","0.03","0.6","15","25","7","NA","0.760278636665599",0.777272727272727,0.840909090909091,0.628787878787879,0.760278636665599,0.840909090909091,0.840909090909091
"TB","modelo_2","bayesiana","0.0643395057836315","0.641890857745893","32","19","3","0.856091350883305","NA",0.766363636363636,0.833116883116883,0.610606060606061,NA,0.833116883116883,0.833116883116883
"TB","modelo_3","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.763636363636364,0.831168831168831,0.606060606060606,NA,0.831168831168831,0.831168831168831
"TB","modelo_3","grid","0.03","0.6","15","25","7","NA","0.760278636665599",0.766363636363636,0.833116883116883,0.610606060606061,0.760278636665599,0.833116883116883,0.833116883116883
"TB","modelo_3","bayesiana","0.0643395057836315","0.641890857745893","32","19","3","0.853594536775888","NA",0.766363636363636,0.833116883116883,0.610606060606061,NA,0.833116883116883,0.833116883116883
"TB","modelo_4","defecto","defecto","defecto","defecto","defecto","defecto","NA","NA",0.690909090909091,0.779220779220779,0.484848484848485,NA,0.779220779220779,0.779220779220779
"TB","modelo_4","grid","0.03","0.6","15","5","9","NA","0.709100880044015",0.743636363636364,0.816883116883117,0.572727272727273,0.709100880044015,0.816883116883117,0.816883116883117
"TB","modelo_4","bayesiana","0.148023470441299","0.569918242979702","42","33","7","0.819476485624683","NA",0.717272727272727,0.798051948051948,0.528787878787879,NA,0.798051948051948,0.798051948051948
