"Feature","promedio_gain"
"down",0.34269029974913
"yardsToGo",0.299916441947224
"nflId_41808",0.11012979954258
"yardlineNumber",0.0622494114360112
"nflId_54042",0.0568916101127569
"nflId_45355",0.056475372899214
"nflId_53612",0.0221200415415998
"quarter",0.0128080580455212
"gameClock_mod",0.0110305761265357
"nflId_54473",0.009878865474286
"absoluteYardlineNumber",0.00923393945622631
"gameId",0.00367511840436525
"diferencia",0.00165875042807513
"nflId_46992",0.00125806740522631
"nflId_42486",0.00104364278577753
"nflId_53433",0.000928544419413911
"nflId_48374",0.000384550353643515
"nflId_48723",0.000366851790284273
