"Feature","promedio_gain"
"yardsToGo",0.218100696930227
"nflId_45268",0.199108320118958
"down",0.0694717746751469
"gameClock_mod",0.055101102792152
"nflId_42514",0.0528431935196652
"nflId_46437",0.0483257733304856
"gameId",0.04411188703686
"yardlineNumber",0.0440011507958052
"nflId_47852",0.0400684091960354
"absoluteYardlineNumber",0.0364428678265441
"diferencia",0.0338432291637503
"nflId_42469",0.0251152973966387
"nflId_54604",0.0248158972721945
"nflId_53456",0.0209672851913662
"nflId_43362",0.0183551081506505
"nflId_43415",0.0149248201124661
"quarter",0.0109308130148778
"nflId_46155",0.0108502559271473
"nflId_52609",0.00806027856994072
"nflId_52463",0.00616114033803637
"nflId_41245",0.0059641419291524
"nflId_54575",0.00444869013391636
"nflId_47896",0.00330351681585257
"nflId_52500",0.00295488903407074
"nflId_53560",0.0013542908110195
"nflId_33130",0.000966622457068148
"nflId_43295",0.000814945790025523
"nflId_41295",0.000595566012884601
"nflId_48220",0.000552460378283337
