"Feature","promedio_gain"
"nflId_53633",0.138750866724401
"gameClock_mod",0.12567308030632
"diferencia",0.109502204438558
"gameId",0.0875365143345329
"yardlineNumber",0.0829284413480499
"yardsToGo",0.0795704041072281
"down",0.075570093997223
"nflId_46170",0.0701116316884307
"quarter",0.0677262891324334
"absoluteYardlineNumber",0.0569538898466925
"nflId_52858",0.0286080023421695
"nflId_44901",0.0237714562810597
"nflId_46070",0.0171800215740356
"nflId_53512",0.0154453406517946
"nflId_44820",0.00876408403777888
"nflId_45159",0.00561119671677114
"nflId_44882",0.00508770113817004
"nflId_46284",0.0027785993542966
"nflId_53488",0.00202206410993348
"nflId_43808",0.000765468525867912
