"Feature","promedio_gain"
"nflId_53959",0.321699513134417
"nflId_44947",0.184261968740202
"down",0.121074238341807
"gameClock_mod",0.112087806640941
"nflId_43584",0.067508808827402
"yardsToGo",0.0516259236500573
"diferencia",0.0267605598877964
"nflId_44930",0.0215252948102499
"absoluteYardlineNumber",0.0205529139360002
"yardlineNumber",0.0181255640971906
"quarter",0.0149530888819185
"gameId",0.0118256044930652
"nflId_52443",0.00807969494047297
"nflId_52529",0.00672041716729124
"nflId_47791",0.00383916382692197
"nflId_53541",0.00333782998992418
"nflId_48680",0.00276295883925581
"nflId_46679",0.00240083486074867
"nflId_48707",0.00140739898481906
"nflId_46130",0.000967972220915447
"nflId_45721",0.000601311574584776
"nflId_52483",0.000343407636789529
