"Feature","promedio_gain"
"gameClock_mod",0.152426827807238
"yardsToGo",0.125371231708687
"yardlineNumber",0.117119518973261
"nflId_54572",0.0877509647561992
"absoluteYardlineNumber",0.0766395425961418
"nflId_53576",0.0508124621773994
"nflId_46167",0.0460913629459574
"diferencia",0.0443636695845928
"gameId",0.0415396833941918
"down",0.0409565412495886
"nflId_45064",0.032241783592926
"nflId_41246",0.0317107730559762
"nflId_43396",0.025906413648094
"nflId_55042",0.0252325510670231
"nflId_44831",0.01910951476992
"nflId_40138",0.0173050647884159
"quarter",0.0152728133490759
"nflId_53518",0.00989914778566505
"nflId_45339",0.00799883539657486
"nflId_41630",0.00749370789307372
"nflId_53638",0.00717949368425144
"nflId_42372",0.00363861730974573
"nflId_41293",0.00354079337879362
"nflId_54635",0.00261990611487479
"nflId_54480",0.00202997819656094
"nflId_52569",0.00152621960267385
"nflId_46224",0.0013963299161841
"nflId_42410",0.00133646648633792
"nflId_52534",0.00123297464843112
"nflId_48601",0.000518892199675329
"nflId_42419",0.000414804966583952
"nflId_43496",0.000175334786676104
"nflId_45719",0.00014871159277758
"nflId_53496",0.000133252443389837
