"Feature","promedio_gain"
"gameClock_mod",0.210773770738957
"nflId_42302",0.204303672940255
"yardsToGo",0.138828321721849
"yardlineNumber",0.0981583003310731
"absoluteYardlineNumber",0.0671912762414534
"diferencia",0.0556870850480454
"down",0.0514108494601483
"quarter",0.04556855875366
"gameId",0.0395724476367966
"nflId_53454",0.0200739260255331
"nflId_44835",0.0110364395886334
"nflId_38696",0.0106244263682345
"nflId_44849",0.00997171004337423
"nflId_52733",0.00849464318179702
"nflId_53707",0.00820223449583905
"nflId_45785",0.00503976507973483
"nflId_41665",0.00301541953352308
"nflId_46116",0.00278251833083778
"nflId_52524",0.00277135335130766
"nflId_53574",0.00236721233705615
"nflId_44978",0.00231667522719204
"nflId_52708",0.00180939356470009
