"Feature","promedio_gain"
"gameClock_mod",0.191136638896832
"yardsToGo",0.143209630601086
"yardlineNumber",0.114424763764926
"down",0.0909651450836743
"absoluteYardlineNumber",0.0868618070140884
"diferencia",0.0747738556369822
"gameId",0.0563021437878086
"nflId_44856",0.0502886380586479
"quarter",0.0369573378968783
"nflId_41390",0.0329917227928447
"nflId_53526",0.0313806695856012
"nflId_53244",0.0194166705313143
"nflId_45573",0.0157401612387395
"nflId_42794",0.0140491883118285
"nflId_46314",0.00669951735603266
"nflId_53506",0.00587358998696135
"nflId_48456",0.00532328058597888
"nflId_41327",0.00482031678663466
"nflId_53442",0.00384945761313597
"nflId_46100",0.00377978723084542
"nflId_47874",0.00311679015095348
"nflId_54725",0.00218655676683627
"nflId_44819",0.00216712727472775
"nflId_48576",0.00133045767498828
"nflId_52520",0.00103279418674095
"nflId_54660",0.000959881410635877
"nflId_40024",0.000249008512022803
"nflId_45630",0.000113061262253981
