"Feature","promedio_gain"
"yardsToGo",0.229512367435386
"down",0.169700628362869
"diferencia",0.0928831951125914
"gameClock_mod",0.0912852605586555
"yardlineNumber",0.0784687524146072
"absoluteYardlineNumber",0.0550576600698568
"nflId_53244",0.0541445043707613
"nflId_44856",0.0469485942692022
"nflId_53526",0.0415922980081879
"nflId_41390",0.0338884376640438
"gameId",0.0270176059812724
"quarter",0.0124601392738742
"nflId_54725",0.0104158272753493
"nflId_53506",0.00979264718875321
"nflId_42794",0.00917285096260799
"nflId_48456",0.00794648162339653
"nflId_41327",0.00754772970056039
"nflId_45573",0.00700313781324202
"nflId_46314",0.00631922508099069
"nflId_53442",0.00305915526573051
"nflId_46100",0.00217775611957913
"nflId_54660",0.00181970137289649
"nflId_47874",0.00133498491425661
"nflId_48556",0.00109958349171533
"nflId_45630",0.00101877242194489
"nflId_44819",0.000986183833674516
"nflId_52520",0.000877714036438178
"nflId_48576",0.000444724113994864
