"Feature","promedio_gain"
"gameClock_mod",0.138920326494133
"nflId_47749",0.111950441052835
"yardsToGo",0.10936847989694
"diferencia",0.102891114073199
"yardlineNumber",0.0947632106665558
"absoluteYardlineNumber",0.0848459600245579
"nflId_42397",0.0753473419458936
"down",0.0620339004310959
"nflId_47807",0.0459962056251406
"nflId_42547",0.0419589551911211
"quarter",0.0395968768534872
"nflId_53732",0.0210529840506033
"nflId_48700",0.0180309992552026
"nflId_47932",0.013533599231074
"gameId",0.011062458307893
"nflId_45555",0.00622599292467838
"nflId_54703",0.00579083934767676
"nflId_48225",0.00386200631413676
"nflId_54587",0.00332964943553933
"nflId_47920",0.00300676698078217
"nflId_54555",0.00278837912377431
"nflId_39212",0.00262053035454175
"nflId_48235",0.00198646322921781
"nflId_44931",0.00156008062151764
"nflId_52603",0.00144091649865604
"nflId_44972",0.00139407402891139
"nflId_48158",0.000991335011197511
"nflId_52517",0.00068666337920705
"nflId_41282",0.000470489756039457
"nflId_41265",8.12848949187336e-08
"nflId_47916",5.96826813621031e-08
