"Feature","promedio_gain"
"nflId_46111",0.188347789023823
"yardsToGo",0.188255059716608
"gameClock_mod",0.120361783162963
"nflId_46192",0.119928280955808
"down",0.107676025632676
"absoluteYardlineNumber",0.0375430738328896
"nflId_53510",0.0371551391628105
"yardlineNumber",0.0367896020237386
"diferencia",0.0361618542504781
"nflId_53435",0.0324604952436659
"nflId_48233",0.025913085155322
"nflId_43454",0.0195530179512881
"gameId",0.0123606291075227
"nflId_52413",0.00880494199500616
"nflId_47820",0.0044868445404759
"nflId_54712",0.00435012383402725
"nflId_46671",0.00322980722697304
"nflId_42718",0.0031862771364213
"nflId_54931",0.00262114688263345
"quarter",0.00222557998760914
"nflId_46203",0.00196745038312326
"nflId_54938",0.00164108876577118
"nflId_45900",0.00156364176423881
"nflId_53861",0.0010131561013019
"nflId_46377",0.00100551047921928
"nflId_40023",0.000994431883735293
"nflId_46277",0.000866367136246632
"nflId_41258",0.000817987939783289
"nflId_48017",0.000784989299713429
"nflId_43447",0.000737975455397278
"nflId_52426",0.000723055749540055
"nflId_53471",0.000498048122888104
