"Feature","promedio_gain"
"gameClock_mod",0.173416118519389
"nflId_46111",0.153876642814243
"yardsToGo",0.129847338139053
"down",0.091721324105254
"yardlineNumber",0.0806779918174919
"absoluteYardlineNumber",0.0685815049772343
"nflId_46192",0.0659829585076945
"diferencia",0.0582901867581471
"nflId_53435",0.0315562710285019
"quarter",0.0230062995194487
"gameId",0.0225622699704693
"nflId_46671",0.0202097659882513
"nflId_43454",0.0171050403533227
"nflId_53510",0.0141819989554537
"nflId_42718",0.0108143443110064
"nflId_52413",0.0107348954113557
"nflId_48233",0.0101128269323994
"nflId_47820",0.00521560996669925
"nflId_54712",0.00332263991689371
"nflId_46203",0.00288578153502721
"nflId_43447",0.00183862432393189
"nflId_40023",0.00170354702724931
"nflId_53861",0.00164736325161775
"nflId_46277",0.00071901118662047
"nflId_41258",0.000678724357141437
"nflId_53471",0.00043134468984665
"nflId_45900",0.000241837456468052
