"Feature","promedio_gain"
"gameClock_mod",0.167688455050435
"absoluteYardlineNumber",0.110324948783607
"diferencia",0.0993760901743043
"yardsToGo",0.0833908812918227
"yardlineNumber",0.0797806821505021
"down",0.0647235691484812
"nflId_48541",0.0598546013446204
"nflId_44912",0.0464309917916634
"nflId_54515",0.0406507705507879
"gameId",0.039701085307833
"nflId_45185",0.0367840639507189
"quarter",0.0229912501692483
"nflId_48097",0.0213781820695546
"nflId_47870",0.0212255174007554
"nflId_37213",0.0207419057022459
"nflId_42363",0.0134605476521804
"nflId_46092",0.013353623190248
"nflId_43324",0.0121417324559799
"nflId_54602",0.0111704403219481
"nflId_42357",0.00905998218881362
"nflId_53549",0.00850196207880012
"nflId_53444",0.00769732475035559
"nflId_41069",0.00402218855641794
"nflId_42883",0.00282498312723904
"nflId_47884",0.0013660672504557
"nflId_54494",0.00135815354098197
