"Feature","promedio_gain"
"gameClock_mod",0.138826499570356
"absoluteYardlineNumber",0.130504846093745
"yardsToGo",0.0936320842188662
"diferencia",0.0913684860708512
"down",0.0693817406979214
"nflId_48541",0.067091175715229
"yardlineNumber",0.0593880084142252
"nflId_44912",0.0535463032263848
"gameId",0.0441911054379536
"nflId_45185",0.0356865736890161
"quarter",0.0338007778641124
"nflId_54515",0.0334716842460136
"nflId_37213",0.0257661062564033
"nflId_48097",0.0200970526983561
"nflId_47870",0.0176627536522196
"nflId_54602",0.0150045789411883
"nflId_42363",0.0134925279686994
"nflId_46092",0.0115357235596685
"nflId_43324",0.0106376600998623
"nflId_42357",0.00686394664782967
"nflId_47884",0.00587213347576465
"nflId_54494",0.00555628563995762
"nflId_53444",0.00510731741482082
"nflId_53549",0.00485125158269784
"nflId_42883",0.00458127835585483
"nflId_41069",0.00392057832868085
