"Feature","promedio_gain"
"gameClock_mod",0.164598132677364
"nflId_48475",0.114518246025646
"down",0.0991157131837124
"yardlineNumber",0.0979905612682406
"yardsToGo",0.0979236223582642
"diferencia",0.0674406802216813
"quarter",0.0612890097348664
"absoluteYardlineNumber",0.0588034727980097
"gameId",0.0382362982170346
"nflId_46797",0.0360004765688379
"nflId_48489",0.0314126687088563
"nflId_46309",0.0183028978215087
"nflId_54577",0.0167295971643703
"nflId_47954",0.0134267655143498
"nflId_46071",0.0129354415079721
"nflId_44003",0.0123113751990751
"nflId_53727",0.0122198213815455
"nflId_43329",0.0120113607512094
"nflId_54508",0.0107694736254389
"nflId_45186",0.0081047572262285
"nflId_52514",0.00786202464047898
"nflId_54532",0.00343230891193879
"nflId_54472",0.00248330984820958
"nflId_53449",0.000801049831183359
"nflId_52551",0.000659044375330871
"nflId_44908",0.000621890438647191
