"Feature","promedio_gain"
"yardsToGo",0.148131162450014
"down",0.129001662991942
"gameClock_mod",0.128766978203427
"nflId_42412",0.119547844618099
"absoluteYardlineNumber",0.0930786166218048
"diferencia",0.068753531586323
"yardlineNumber",0.0629442843597395
"nflId_46189",0.0549710276105023
"nflId_52552",0.0356401439977622
"quarter",0.031615010875458
"nflId_54698",0.0240440730226597
"gameId",0.0226519437970968
"nflId_52541",0.0210810463797455
"nflId_47847",0.0107490109211306
"nflId_48119",0.00997296873286093
"nflId_40026",0.00839395796909589
"nflId_53485",0.00685297468413579
"nflId_43537",0.00654240476630515
"nflId_54506",0.00577459279453156
"nflId_47907",0.00575376368943522
"nflId_45056",0.00275996085165619
"nflId_47987",0.00274883778450815
"nflId_47803",0.000717460713873361
"nflId_41310",0.000561308526796604
