"Feature","promedio_gain"
"diferencia",0.16142987463623
"down",0.154896617986787
"gameClock_mod",0.104362982391821
"yardlineNumber",0.0951084837306737
"yardsToGo",0.0788161037177564
"absoluteYardlineNumber",0.0538339178194558
"nflId_52598",0.051638896589435
"nflId_46377",0.0441248733760881
"gameId",0.0427581800577934
"nflId_52625",0.034885749843343
"quarter",0.0332508111734105
"nflId_47819",0.032266319914087
"nflId_35443",0.0268769772134115
"nflId_44959",0.0222828350344789
"nflId_40078",0.0139370984048681
"nflId_53432",0.0132594970168974
"nflId_46256",0.0130359163794137
"nflId_45069",0.00885612629903932
"nflId_41291",0.00584918408883633
"nflId_42428",0.0048295371868093
"nflId_46331",0.00248526645262473
"nflId_53584",0.00193918126476083
