"Feature","promedio_gain"
"nflId_54683",0.198285969105787
"yardsToGo",0.164690939233428
"gameClock_mod",0.127925024333511
"down",0.107661950701393
"diferencia",0.0994411055168064
"yardlineNumber",0.0561499784091535
"absoluteYardlineNumber",0.0528848022676251
"gameId",0.0465808436511612
"quarter",0.0360732792277468
"nflId_54571",0.028488616169582
"nflId_47991",0.022312893482001
"nflId_42369",0.0117850971139099
"nflId_54556",0.0113258660848978
"nflId_44816",0.0107393099191995
"nflId_46263",0.00762585737703024
"nflId_44896",0.00706780036540502
"nflId_42377",0.00333688432606063
"nflId_42033",0.00225978769133813
"nflId_53009",0.00124031352205253
"nflId_54522",0.00121559379482822
"nflId_53027",0.00115171021877831
"nflId_41233",0.000931656717209065
"nflId_41667",0.000879518497470197
"nflId_37079",0.000663806360909719
"nflId_37118",0.000460360052155302
"nflId_53558",0.000180854617684061
