"Comparison","bonferroni","holm","bh","equipo"
"modelo_1_bayesiana - modelo_1_defecto",0.000291916380826011,0.000225571748820099,1.71715518132947e-05,"ATL"
"modelo_1_bayesiana - modelo_1_grid",1,1,0.593333519794935,"ATL"
"modelo_1_defecto - modelo_1_grid",0.00616278975207586,0.00401515089907973,0.000246511590083035,"ATL"
"modelo_1_bayesiana - modelo_2_bayesiana",0.984295814928567,0.372839323836578,0.0234356146411563,"ATL"
"modelo_1_defecto - modelo_2_bayesiana",1,0.714967303937465,0.0455921179322441,"ATL"
"modelo_1_grid - modelo_2_bayesiana",1,1,0.112212650755377,"ATL"
"modelo_1_bayesiana - modelo_2_defecto",0.107474986744589,0.0488522667020857,0.0028282891248576,"ATL"
"modelo_1_defecto - modelo_2_defecto",6.49901322634859e-13,6.30207343161076e-13,1.0831688710581e-13,"ATL"
"modelo_1_grid - modelo_2_defecto",0.00832013235568769,0.00504250445799254,0.000297147584131703,"ATL"
"modelo_2_bayesiana - modelo_2_defecto",1.54028702867716e-06,1.35358557065568e-06,1.54028702867716e-07,"ATL"
"modelo_1_bayesiana - modelo_2_grid",0.000671497631139299,0.000498536120088267,3.73054239521833e-05,"ATL"
"modelo_1_defecto - modelo_2_grid",1,1,0.961475588922985,"ATL"
"modelo_1_grid - modelo_2_grid",0.0126285997624925,0.00631429988124624,0.000371429404779191,"ATL"
"modelo_2_bayesiana - modelo_2_grid",1,1,0.0686109817023113,"ATL"
"modelo_2_defecto - modelo_2_grid",2.57556651906533e-12,2.34142410824121e-12,3.21945814883166e-13,"ATL"
"modelo_1_bayesiana - modelo_3_bayesiana",1,1,0.850406012192257,"ATL"
"modelo_1_defecto - modelo_3_bayesiana",4.97859366039576e-05,4.1488280503298e-05,3.82968743107366e-06,"ATL"
"modelo_1_grid - modelo_3_bayesiana",1,1,0.378876886508611,"ATL"
"modelo_2_bayesiana - modelo_3_bayesiana",0.346960623556323,0.136681457764612,0.00846245423308105,"ATL"
"modelo_2_defecto - modelo_3_bayesiana",0.343184555174533,0.145593447649802,0.00857961387936332,"ATL"
"modelo_2_grid - modelo_3_bayesiana",0.000121699762255172,9.77285969624866e-05,8.69284016108372e-06,"ATL"
"modelo_1_bayesiana - modelo_3_defecto",0.107474986744589,0.0472238578120162,0.00290472937147537,"ATL"
"modelo_1_defecto - modelo_3_defecto",6.49901322634859e-13,6.20360353424184e-13,1.29980264526972e-13,"ATL"
"modelo_1_grid - modelo_3_defecto",0.00832013235568769,0.00491644184654272,0.000308153050210655,"ATL"
"modelo_2_bayesiana - modelo_3_defecto",1.54028702867716e-06,1.330247888403e-06,1.71143003186351e-07,"ATL"
"modelo_2_defecto - modelo_3_defecto",1,1,1,"ATL"
"modelo_2_grid - modelo_3_defecto",2.57556651906533e-12,2.30240037310385e-12,3.6793807415219e-13,"ATL"
"modelo_3_bayesiana - modelo_3_defecto",0.343184555174533,0.140393681662309,0.00879960397883418,"ATL"
"modelo_1_bayesiana - modelo_3_grid",0.000237948173431394,0.000187474318461098,1.58632115620929e-05,"ATL"
"modelo_1_defecto - modelo_3_grid",1,1,1,"ATL"
"modelo_1_grid - modelo_3_grid",0.00516503855101992,0.00359987535374115,0.000245954216715234,"ATL"
"modelo_2_bayesiana - modelo_3_grid",1,0.669995042000538,0.0428485201279414,"ATL"
"modelo_2_defecto - modelo_3_grid",4.64865893424196e-13,4.64865893424196e-13,2.32432946712098e-13,"ATL"
"modelo_2_grid - modelo_3_grid",1,1,0.956730158446896,"ATL"
"modelo_3_bayesiana - modelo_3_grid",3.99932200337847e-05,3.3933641240787e-05,3.63574727579861e-06,"ATL"
"modelo_3_defecto - modelo_3_grid",4.64865893424196e-13,4.57822470796556e-13,4.64865893424196e-13,"ATL"
"modelo_1_bayesiana - modelo_4_bayesiana",1,1,0.519482685261583,"ATL"
"modelo_1_defecto - modelo_4_bayesiana",0.00983424036932113,0.00551313475249821,0.000317233560300682,"ATL"
"modelo_1_grid - modelo_4_bayesiana",1,1,0.983365668259521,"ATL"
"modelo_2_bayesiana - modelo_4_bayesiana",1,1,0.139814280409927,"ATL"
"modelo_2_defecto - modelo_4_bayesiana",0.00519056107066027,0.00353901891181382,0.000225676568289577,"ATL"
"modelo_2_grid - modelo_4_bayesiana",0.0197683324990118,0.00958464606012696,0.000564809499971767,"ATL"
"modelo_3_bayesiana - modelo_4_bayesiana",1,1,0.321534273750175,"ATL"
"modelo_3_defecto - modelo_4_bayesiana",0.00519056107066027,0.00346037404710685,0.000235934594120922,"ATL"
"modelo_3_grid - modelo_4_bayesiana",0.00828028539205611,0.00514381365264092,0.000318472515079081,"ATL"
"modelo_1_bayesiana - modelo_4_defecto",0.000291916380826011,0.000221148773353038,1.82447738016257e-05,"ATL"
"modelo_1_defecto - modelo_4_defecto",1,1,1,"ATL"
"modelo_1_grid - modelo_4_defecto",0.00616278975207586,0.00392177529677555,0.000256782906336494,"ATL"
"modelo_2_bayesiana - modelo_4_defecto",1,0.683881768983662,0.0466283024307042,"ATL"
"modelo_2_defecto - modelo_4_defecto",6.49901322634859e-13,6.10513363687292e-13,1.62475330658715e-13,"ATL"
"modelo_2_grid - modelo_4_defecto",1,1,0.978052754249244,"ATL"
"modelo_3_bayesiana - modelo_4_defecto",4.97859366039576e-05,4.07339481305108e-05,4.1488280503298e-06,"ATL"
"modelo_3_defecto - modelo_4_defecto",6.49901322634859e-13,6.006663739504e-13,2.1663377421162e-13,"ATL"
"modelo_3_grid - modelo_4_defecto",1,1,1,"ATL"
"modelo_4_bayesiana - modelo_4_defecto",0.00983424036932113,0.0053641311105388,0.000327808012310705,"ATL"
"modelo_1_bayesiana - modelo_4_grid",1,1,0.527579929396212,"ATL"
"modelo_1_defecto - modelo_4_grid",0.00992815948164807,0.00526493305844973,0.000300853317625699,"ATL"
"modelo_1_grid - modelo_4_grid",1,1,0.99769748213735,"ATL"
"modelo_2_bayesiana - modelo_4_grid",1,1,0.13762671674581,"ATL"
"modelo_2_defecto - modelo_4_grid",0.00513963471158231,0.00373791615387804,0.000256981735579115,"ATL"
"modelo_2_grid - modelo_4_grid",0.0199492257069888,0.00937009086237351,0.000554145158527466,"ATL"
"modelo_3_bayesiana - modelo_4_grid",1,1,0.326689613314394,"ATL"
"modelo_3_defecto - modelo_4_grid",0.00513963471158231,0.00366004290067225,0.000270507090083279,"ATL"
"modelo_3_grid - modelo_4_grid",0.00836016001114075,0.00481342546095983,0.000288281379694509,"ATL"
"modelo_4_bayesiana - modelo_4_grid",1,1,1,"ATL"
"modelo_4_defecto - modelo_4_grid",0.00992815948164807,0.00511450639963689,0.000310254983801502,"ATL"
