"Comparison","bonferroni","holm","bh","equipo"
"modelo_1_bayesiana - modelo_1_defecto",1,1,0.861942500052164,"CLE"
"modelo_1_bayesiana - modelo_1_grid",8.94156367860495e-07,7.45130306550413e-07,7.45130306550413e-08,"CLE"
"modelo_1_defecto - modelo_1_grid",4.72009013836083e-06,3.86189193138614e-06,3.37149295597202e-07,"CLE"
"modelo_1_bayesiana - modelo_2_bayesiana",2.71696994777653e-05,1.93481193250753e-05,1.35848497388827e-06,"CLE"
"modelo_1_defecto - modelo_2_bayesiana",0.0001205100765723,7.48623202949139e-05,4.46333616934446e-06,"CLE"
"modelo_1_grid - modelo_2_bayesiana",1,1,0.683111496054774,"CLE"
"modelo_1_bayesiana - modelo_2_defecto",1.52027385771344e-05,1.17475707186948e-05,8.94278739831438e-07,"CLE"
"modelo_1_defecto - modelo_2_defecto",6.95468788515221e-05,4.74183264896741e-05,2.78187515406088e-06,"CLE"
"modelo_1_grid - modelo_2_defecto",1,1,0.749054508173577,"CLE"
"modelo_2_bayesiana - modelo_2_defecto",1,1,0.956246093204509,"CLE"
"modelo_1_bayesiana - modelo_2_grid",8.13114481257159e-11,8.13114481257159e-11,8.13114481257159e-11,"CLE"
"modelo_1_defecto - modelo_2_grid",6.43940470557236e-10,6.24427122964592e-10,1.60985117639309e-10,"CLE"
"modelo_1_grid - modelo_2_grid",1,1,0.249214241210472,"CLE"
"modelo_2_bayesiana - modelo_2_grid",1,1,0.0830494979686997,"CLE"
"modelo_2_defecto - modelo_2_grid",1,1,0.09857040318512,"CLE"
"modelo_1_bayesiana - modelo_3_bayesiana",4.9112780491636e-06,3.86949179631071e-06,3.27418536610906e-07,"CLE"
"modelo_1_defecto - modelo_3_bayesiana",2.38215671931196e-05,1.768570897671e-05,1.25376669437471e-06,"CLE"
"modelo_1_grid - modelo_3_bayesiana",1,1,0.885868047736966,"CLE"
"modelo_2_bayesiana - modelo_3_bayesiana",1,1,0.885670587566348,"CLE"
"modelo_2_defecto - modelo_3_bayesiana",1,1,0.904401093656295,"CLE"
"modelo_2_grid - modelo_3_bayesiana",1,1,0.144098468301758,"CLE"
"modelo_1_bayesiana - modelo_3_defecto",1.52027385771344e-05,1.15172261947988e-05,9.50171161070902e-07,"CLE"
"modelo_1_defecto - modelo_3_defecto",6.95468788515221e-05,4.63645859010147e-05,2.89778661881342e-06,"CLE"
"modelo_1_grid - modelo_3_defecto",1,1,0.763187612101381,"CLE"
"modelo_2_bayesiana - modelo_3_defecto",1,1,0.971669417288453,"CLE"
"modelo_2_defecto - modelo_3_defecto",1,1,1,"CLE"
