"Comparison","bonferroni","holm","bh","equipo"
"modelo_1_bayesiana - modelo_1_defecto",1,1,0.38845278636657,"JAX"
"modelo_1_bayesiana - modelo_1_grid",0.0120555850364936,0.00730641517363247,0.000446503149499762,"JAX"
"modelo_1_defecto - modelo_1_grid",0.373465960754206,0.141464379073563,0.0086852549012606,"JAX"
"modelo_1_bayesiana - modelo_2_bayesiana",5.41627228174295e-08,4.43149550324423e-08,4.16636329364842e-09,"JAX"
"modelo_1_defecto - modelo_2_bayesiana",1.57882081858115e-05,1.05254721238743e-05,6.57842007742145e-07,"JAX"
"modelo_1_grid - modelo_2_bayesiana",1,0.312343338938342,0.0226037942652748,"JAX"
"modelo_1_bayesiana - modelo_2_defecto",4.55663528813655e-09,4.07335578787965e-09,5.06292809792951e-10,"JAX"
"modelo_1_defecto - modelo_2_defecto",1.9092821275433e-06,1.47535437128346e-06,1.00488533028595e-07,"JAX"
"modelo_1_grid - modelo_2_defecto",0.357815138339467,0.146378920229782,0.00872719849608457,"JAX"
"modelo_2_bayesiana - modelo_2_defecto",1,1,0.747902626714084,"JAX"
"modelo_1_bayesiana - modelo_2_grid",3.19171165037582e-19,3.19171165037582e-19,3.19171165037582e-19,"JAX"
"modelo_1_defecto - modelo_2_grid",2.13487505352987e-15,2.07018187008957e-15,5.33718763382468e-16,"JAX"
"modelo_1_grid - modelo_2_grid",9.37923019695165e-07,7.38969651881039e-07,6.2528201313011e-08,"JAX"
"modelo_2_bayesiana - modelo_2_grid",0.0705285688048874,0.0395387431178914,0.00235095229349625,"JAX"
"modelo_2_defecto - modelo_2_grid",0.254289383638381,0.115586083471991,0.00669182588522055,"JAX"
"modelo_1_bayesiana - modelo_3_bayesiana",2.58201905025562e-11,2.34729004568692e-11,3.68859864322231e-12,"JAX"
"modelo_1_defecto - modelo_3_bayesiana",2.18287466381681e-08,1.8852099369327e-08,1.98443151256074e-09,"JAX"
"modelo_1_grid - modelo_3_bayesiana",0.0288382862927579,0.0170408055366297,0.00102993879616993,"JAX"
"modelo_2_bayesiana - modelo_3_bayesiana",1,1,0.322302127432093,"JAX"
"modelo_2_defecto - modelo_3_bayesiana",1,1,0.525529873553156,"JAX"
"modelo_2_grid - modelo_3_bayesiana",1,0.468455358227263,0.0396385303115376,"JAX"
"modelo_1_bayesiana - modelo_3_defecto",4.55663528813655e-09,4.00431585927152e-09,5.69579411017069e-10,"JAX"
"modelo_1_defecto - modelo_3_defecto",1.9092821275433e-06,1.44642585419947e-06,1.06071229307961e-07,"JAX"
"modelo_1_grid - modelo_3_defecto",0.357815138339467,0.14095747873979,0.00894537845848669,"JAX"
"modelo_2_bayesiana - modelo_3_defecto",1,1,0.760163325512676,"JAX"
"modelo_2_defecto - modelo_3_defecto",1,1,1,"JAX"
"modelo_2_grid - modelo_3_defecto",0.254289383638381,0.111733214022925,0.00687268604428057,"JAX"
"modelo_3_bayesiana - modelo_3_defecto",1,1,0.534749695896194,"JAX"
"modelo_1_bayesiana - modelo_3_grid",1.93925941060618e-18,1.90987669226366e-18,9.69629705303088e-19,"JAX"
"modelo_1_defecto - modelo_3_grid",1.07862689263766e-14,1.01325556581114e-14,1.79771148772944e-15,"JAX"
"modelo_1_grid - modelo_3_grid",2.81789938403108e-06,1.96399047977924e-06,1.34185684953861e-07,"JAX"
"modelo_2_bayesiana - modelo_3_grid",0.136480028585673,0.0682400142928366,0.00401411848781392,"JAX"
"modelo_2_defecto - modelo_3_grid",0.459763871083688,0.160220742953407,0.0102169749129708,"JAX"
"modelo_2_grid - modelo_3_grid",1,1,0.888518266383138,"JAX"
"modelo_3_bayesiana - modelo_3_grid",1,0.695662250822396,0.0618783134154692,"JAX"
"modelo_3_defecto - modelo_3_grid",0.459763871083688,0.153254623694563,0.0104491788882656,"JAX"
"modelo_1_bayesiana - modelo_4_bayesiana",0.0714020809022757,0.0389465895830595,0.00230329293233147,"JAX"
"modelo_1_defecto - modelo_4_bayesiana",1,0.392849238418956,0.0288089441507234,"JAX"
"modelo_1_grid - modelo_4_bayesiana",1,1,0.699413798805941,"JAX"
"modelo_2_bayesiana - modelo_4_bayesiana",0.268731398340266,0.114007259901931,0.00689054867539144,"JAX"
"modelo_2_defecto - modelo_4_bayesiana",0.0749971426140733,0.0397712119923116,0.00227264068527495,"JAX"
"modelo_2_grid - modelo_4_bayesiana",5.29879674449862e-08,4.41566395374885e-08,4.41566395374885e-09,"JAX"
"modelo_3_bayesiana - modelo_4_bayesiana",0.00435645781589367,0.00277229133738688,0.000174258312635747,"JAX"
"modelo_3_defecto - modelo_4_bayesiana",0.0749971426140733,0.0386348916496741,0.00234366070668979,"JAX"
"modelo_3_grid - modelo_4_bayesiana",1.73907911758003e-07,1.39653323078396e-07,1.24219936970002e-08,"JAX"
"modelo_1_bayesiana - modelo_4_defecto",1,1,0.395515564300508,"JAX"
"modelo_1_defecto - modelo_4_defecto",1,1,1,"JAX"
"modelo_1_grid - modelo_4_defecto",0.373465960754206,0.13580580391062,0.00889204668462395,"JAX"
"modelo_2_bayesiana - modelo_4_defecto",1.57882081858115e-05,1.02862568483317e-05,6.86443834165717e-07,"JAX"
"modelo_2_defecto - modelo_4_defecto",1.9092821275433e-06,1.41749733711548e-06,1.123107133849e-07,"JAX"
"modelo_2_grid - modelo_4_defecto",2.13487505352987e-15,2.03783527836943e-15,7.11625017843291e-16,"JAX"
"modelo_3_bayesiana - modelo_4_defecto",2.18287466381681e-08,1.85213607839002e-08,2.18287466381681e-09,"JAX"
"modelo_3_defecto - modelo_4_defecto",1.9092821275433e-06,1.38856882003149e-06,1.19330132971456e-07,"JAX"
"modelo_3_grid - modelo_4_defecto",1.07862689263766e-14,9.96912734104507e-15,2.15725378527533e-15,"JAX"
"modelo_4_bayesiana - modelo_4_defecto",1,0.371024280729014,0.0293968817864525,"JAX"
