"Comparison","bonferroni","holm","bh","equipo"
"modelo_1_bayesiana - modelo_1_defecto",1,1,0.107044203926962,"LAC"
"modelo_1_bayesiana - modelo_1_grid",0.0282999912119444,0.0158651465885143,0.000943333040398146,"LAC"
"modelo_1_defecto - modelo_1_grid",1,1,0.112840059679183,"LAC"
"modelo_1_bayesiana - modelo_2_bayesiana",1.46205452413805e-10,1.32914047648913e-10,2.08864932019721e-11,"LAC"
"modelo_1_defecto - modelo_2_bayesiana",1.07517857026611e-05,8.1452921989857e-06,5.97321427925618e-07,"LAC"
"modelo_1_grid - modelo_2_bayesiana",0.0308783741731408,0.0168427495489859,0.000996076586230347,"LAC"
"modelo_1_bayesiana - modelo_2_defecto",1,1,0.481425523085162,"LAC"
"modelo_1_defecto - modelo_2_defecto",0.621317076178669,0.244761272434021,0.0141208426404243,"LAC"
"modelo_1_grid - modelo_2_defecto",0.000959958816046404,0.000610882882938621,3.69214929248617e-05,"LAC"
"modelo_2_bayesiana - modelo_2_defecto",3.11939474925473e-13,3.11939474925473e-13,1.55969737462737e-13,"LAC"
"modelo_1_bayesiana - modelo_2_grid",5.16291018585956e-08,4.14597333106904e-08,3.68779298989968e-09,"LAC"
"modelo_1_defecto - modelo_2_grid",0.000836669311803673,0.000557779541202449,3.48612213251531e-05,"LAC"
"modelo_1_grid - modelo_2_grid",0.568891439283427,0.232728316070493,0.0142222859820857,"LAC"
"modelo_2_bayesiana - modelo_2_grid",1,1,0.460026120328283,"LAC"
"modelo_2_defecto - modelo_2_grid",2.2101098585222e-10,1.97570426746681e-10,2.45567762058022e-11,"LAC"
"modelo_1_bayesiana - modelo_3_bayesiana",2.07039040774435e-09,1.78806444305194e-09,2.07039040774435e-10,"LAC"
"modelo_1_defecto - modelo_3_bayesiana",7.86101095024719e-05,5.71709887290705e-05,3.93050547512359e-06,"LAC"
"modelo_1_grid - modelo_3_bayesiana",0.120055086764648,0.0600275433823241,0.00353103196366612,"LAC"
"modelo_2_bayesiana - modelo_3_bayesiana",1,1,0.761466658343336,"LAC"
"modelo_2_defecto - modelo_3_bayesiana",5.98711816758109e-12,5.80569034432106e-12,1.49677954189527e-12,"LAC"
"modelo_2_grid - modelo_3_bayesiana",1,1,0.696990461505257,"LAC"
"modelo_1_bayesiana - modelo_3_defecto",1,1,0.490022407425968,"LAC"
"modelo_1_defecto - modelo_3_defecto",0.621317076178669,0.235347377340405,0.0144492343297365,"LAC"
"modelo_1_grid - modelo_3_defecto",0.000959958816046404,0.000596338052392463,3.83983526418562e-05,"LAC"
"modelo_2_bayesiana - modelo_3_defecto",3.11939474925473e-13,3.07213119244784e-13,3.11939474925473e-13,"LAC"
"modelo_2_defecto - modelo_3_defecto",1,1,1,"LAC"
"modelo_2_grid - modelo_3_defecto",2.2101098585222e-10,1.9422177544589e-10,2.76263732315275e-11,"LAC"
"modelo_3_bayesiana - modelo_3_defecto",5.98711816758109e-12,5.71497643269104e-12,1.99570605586036e-12,"LAC"
"modelo_1_bayesiana - modelo_3_grid",8.09725171137073e-09,6.74770975947561e-09,6.74770975947561e-10,"LAC"
"modelo_1_defecto - modelo_3_grid",0.000215811514848684,0.000150414086106659,9.80961431130382e-06,"LAC"
"modelo_1_grid - modelo_3_grid",0.235303231398178,0.103390813796169,0.00619219029995204,"LAC"
"modelo_2_bayesiana - modelo_3_grid",1,1,0.63616636309599,"LAC"
"modelo_2_defecto - modelo_3_grid",2.75593201991968e-11,2.58890583689425e-11,4.59322003319947e-12,"LAC"
"modelo_2_grid - modelo_3_grid",1,1,0.823659121651127,"LAC"
"modelo_3_bayesiana - modelo_3_grid",1,1,0.878256946064762,"LAC"
"modelo_3_defecto - modelo_3_grid",2.75593201991968e-11,2.54714929113789e-11,5.51186403983936e-12,"LAC"
"modelo_1_bayesiana - modelo_4_bayesiana",1,1,0.692603531103232,"LAC"
"modelo_1_defecto - modelo_4_bayesiana",1,1,0.245445440980387,"LAC"
"modelo_1_grid - modelo_4_bayesiana",0.156418329243288,0.0758391899361395,0.00446909512123679,"LAC"
"modelo_2_bayesiana - modelo_4_bayesiana",4.11536172422324e-09,3.4918220690379e-09,3.74123793111204e-10,"LAC"
"modelo_2_defecto - modelo_4_bayesiana",1,1,0.238301495483196,"LAC"
"modelo_2_grid - modelo_4_bayesiana",9.63301695582602e-07,7.44369492041102e-07,6.02063559739126e-08,"LAC"
"modelo_3_bayesiana - modelo_4_bayesiana",4.86955021441475e-08,3.98417744815752e-08,3.74580785724211e-09,"LAC"
"modelo_3_defecto - modelo_4_bayesiana",1,1,0.242797750114954,"LAC"
"modelo_3_grid - modelo_4_bayesiana",1.72977132779904e-07,1.36285013705379e-07,1.15318088519936e-08,"LAC"
"modelo_1_bayesiana - modelo_4_defecto",1,1,0.109422964014228,"LAC"
"modelo_1_defecto - modelo_4_defecto",1,1,1,"LAC"
"modelo_1_grid - modelo_4_defecto",1,1,0.115240912012783,"LAC"
"modelo_2_bayesiana - modelo_4_defecto",1.07517857026611e-05,7.98238635500599e-06,6.32457982509478e-07,"LAC"
"modelo_2_defecto - modelo_4_defecto",0.621317076178669,0.225933482246789,0.0147932637185397,"LAC"
"modelo_2_grid - modelo_4_defecto",0.000836669311803673,0.000545102733447848,3.63769266001597e-05,"LAC"
"modelo_3_bayesiana - modelo_4_defecto",7.86101095024719e-05,5.59799264638815e-05,4.13737418434063e-06,"LAC"
"modelo_3_defecto - modelo_4_defecto",0.621317076178669,0.216519587153173,0.015154075028748,"LAC"
"modelo_3_grid - modelo_4_defecto",0.000215811514848684,0.000147144214669557,1.02767388023183e-05,"LAC"
"modelo_4_bayesiana - modelo_4_defecto",1,1,0.250258096685885,"LAC"
"modelo_1_bayesiana - modelo_4_grid",0.0450464576991357,0.0238882730222689,0.00140770180309799,"LAC"
"modelo_1_defecto - modelo_4_grid",1,1,0.14072220777226,"LAC"
"modelo_1_grid - modelo_4_grid",1,1,0.928505368402143,"LAC"
"modelo_2_bayesiana - modelo_4_grid",0.0191667338585712,0.0110353922216016,0.000660921857192109,"LAC"
"modelo_2_defecto - modelo_4_grid",0.00168339138941072,0.00102023720570347,6.01211210503829e-05,"LAC"
"modelo_2_grid - modelo_4_grid",0.390957520098756,0.165860766102502,0.010024551797404,"LAC"
"modelo_3_bayesiana - modelo_4_grid",0.0779298036683052,0.0401456564351875,0.00236150920206986,"LAC"
"modelo_3_defecto - modelo_4_grid",0.00168339138941072,0.00099473127556088,6.23478292374341e-05,"LAC"
"modelo_3_grid - modelo_4_grid",0.156418329243288,0.0734692152506353,0.00434495359009134,"LAC"
"modelo_4_bayesiana - modelo_4_grid",0.235303231398177,0.106956014271899,0.00635954679454532,"LAC"
"modelo_4_defecto - modelo_4_grid",1,1,0.143594089563531,"LAC"
