"Comparison","bonferroni","holm","bh","equipo"
"modelo_1_bayesiana - modelo_1_defecto",0.0112455634853724,0.00647471837036594,0.000374852116179081,"LA"
"modelo_1_bayesiana - modelo_1_grid",2.13661366261039e-08,1.74813845122668e-08,1.52615261615028e-09,"LA"
"modelo_1_defecto - modelo_1_grid",0.75784101153429,0.332990747492339,0.0184839271105924,"LA"
"modelo_1_bayesiana - modelo_2_bayesiana",1,1,0.211463903941747,"LA"
"modelo_1_defecto - modelo_2_bayesiana",9.73611722980257e-06,7.67088024166263e-06,6.0850732686266e-07,"LA"
"modelo_1_grid - modelo_2_bayesiana",4.66351790084401e-13,4.66351790084401e-13,2.33175895042201e-13,"LA"
"modelo_1_bayesiana - modelo_2_defecto",1,1,1,"LA"
"modelo_1_defecto - modelo_2_defecto",0.010876278003013,0.00692126782009917,0.000388438500107606,"LA"
"modelo_1_grid - modelo_2_defecto",2.02475595376759e-08,1.77933098967455e-08,1.68729662813966e-09,"LA"
"modelo_2_bayesiana - modelo_2_defecto",1,1,0.205133084449509,"LA"
"modelo_1_bayesiana - modelo_2_grid",1,1,0.381597314083022,"LA"
"modelo_1_defecto - modelo_2_grid",7.30188162029338e-05,5.53172850022226e-05,4.05660090016299e-06,"LA"
"modelo_1_grid - modelo_2_grid",9.0304589567775e-12,8.75680868536e-12,2.25761473919438e-12,"LA"
"modelo_2_bayesiana - modelo_2_grid",1,1,0.811729046531369,"LA"
"modelo_2_defecto - modelo_2_grid",1,1,0.370652229146932,"LA"
"modelo_1_bayesiana - modelo_3_bayesiana",1,1,1,"LA"
"modelo_1_defecto - modelo_3_bayesiana",0.00932877747159192,0.00636053009426722,0.00038869906131633,"LA"
"modelo_1_grid - modelo_3_bayesiana",1.58211444380986e-08,1.43828585800897e-08,1.97764305476233e-09,"LA"
"modelo_2_bayesiana - modelo_3_bayesiana",1,1,0.215755553142952,"LA"
"modelo_2_defecto - modelo_3_bayesiana",1,1,1,"LA"
"modelo_2_grid - modelo_3_bayesiana",1,1,0.370718036390196,"LA"
"modelo_1_bayesiana - modelo_3_defecto",1,1,1,"LA"
"modelo_1_defecto - modelo_3_defecto",0.010876278003013,0.00675647572914443,0.000402825111222703,"LA"
"modelo_1_grid - modelo_3_defecto",2.02475595376759e-08,1.74865286916292e-08,1.84068723069781e-09,"LA"
"modelo_2_bayesiana - modelo_3_defecto",1,1,0.209903621297172,"LA"
"modelo_2_defecto - modelo_3_defecto",1,1,1,"LA"
"modelo_2_grid - modelo_3_defecto",1,1,0.378538446788356,"LA"
"modelo_3_bayesiana - modelo_3_defecto",1,1,1,"LA"
"modelo_1_bayesiana - modelo_3_grid",1,1,0.377445815505527,"LA"
