"Comparison","bonferroni","holm","bh","equipo"
"modelo_1_bayesiana - modelo_1_defecto",1.05648991828175e-09,9.6044538025614e-10,1.05648991828175e-10,"NYG"
"modelo_1_bayesiana - modelo_1_grid",1.89912450118427e-06,1.58260375098689e-06,1.58260375098689e-07,"NYG"
"modelo_1_defecto - modelo_1_grid",1,1,0.309083294604954,"NYG"
"modelo_1_bayesiana - modelo_2_bayesiana",0.429821982441654,0.175836265544313,0.0107455495610414,"NYG"
"modelo_1_defecto - modelo_2_bayesiana",0.00387937790963813,0.00252747348658242,0.000143680663319931,"NYG"
"modelo_1_grid - modelo_2_bayesiana",0.309204865782578,0.135862744055981,0.00813697015217311,"NYG"
"modelo_1_bayesiana - modelo_2_defecto",1.05648991828175e-09,9.44437957251871e-10,1.17387768697973e-10,"NYG"
"modelo_1_defecto - modelo_2_defecto",1,1,1,"NYG"
"modelo_1_grid - modelo_2_defecto",1,1,0.31539111694383,"NYG"
"modelo_2_bayesiana - modelo_2_defecto",0.00387937790963813,0.00246869503340609,0.00014920684267839,"NYG"
"modelo_1_bayesiana - modelo_2_grid",0.944904558285993,0.372235129021755,0.0230464526411218,"NYG"
"modelo_1_defecto - modelo_2_grid",0.00118326670139545,0.000860557601014876,5.37848500634297e-05,"NYG"
"modelo_1_grid - modelo_2_grid",0.127931998976684,0.0600892722466245,0.00355366663824123,"NYG"
"modelo_2_bayesiana - modelo_2_grid",1,1,0.926290950520433,"NYG"
"modelo_2_defecto - modelo_2_grid",0.00118326670139545,0.000842629317660399,5.63460333997835e-05,"NYG"
"modelo_1_bayesiana - modelo_3_bayesiana",0.0242029175366492,0.0135683022553942,0.000806763917888306,"NYG"
"modelo_1_defecto - modelo_3_bayesiana",0.0987183792922471,0.0523506556852826,0.00282052512263563,"NYG"
"modelo_1_grid - modelo_3_bayesiana",1,1,0.0739472253091401,"NYG"
"modelo_2_bayesiana - modelo_3_bayesiana",1,1,0.497743371160323,"NYG"
"modelo_2_defecto - modelo_3_bayesiana",0.0987183792922471,0.0508549226657031,0.00290348174388962,"NYG"
"modelo_2_grid - modelo_3_bayesiana",1,1,0.343450594130459,"NYG"
"modelo_1_bayesiana - modelo_3_defecto",1.05648991828175e-09,9.28430534247602e-10,1.32061239785219e-10,"NYG"
"modelo_1_defecto - modelo_3_defecto",1,1,1,"NYG"
"modelo_1_grid - modelo_3_defecto",1,1,0.321961765213493,"NYG"
"modelo_2_bayesiana - modelo_3_defecto",0.00387937790963813,0.00240991658022975,0.000155175116385525,"NYG"
"modelo_2_defecto - modelo_3_defecto",1,1,1,"NYG"
"modelo_2_grid - modelo_3_defecto",0.00118326670139545,0.000824701034305923,5.91633350697727e-05,"NYG"
"modelo_3_bayesiana - modelo_3_defecto",0.0987183792922471,0.0493591896461236,0.002991466039159,"NYG"
"modelo_1_bayesiana - modelo_3_grid",1,1,0.158458906924816,"NYG"
"modelo_1_defecto - modelo_3_grid",1.89817608780658e-05,1.52429291899619e-05,1.11657416929799e-06,"NYG"
"modelo_1_grid - modelo_3_grid",0.00534049718225102,0.00315574833496651,0.000190732042223251,"NYG"
"modelo_2_bayesiana - modelo_3_grid",1,1,0.336845775012566,"NYG"
"modelo_2_defecto - modelo_3_grid",1.89817608780658e-05,1.49553267524155e-05,1.18636005487911e-06,"NYG"
"modelo_2_grid - modelo_3_grid",1,1,0.488525901324022,"NYG"
"modelo_3_bayesiana - modelo_3_grid",1,1,0.0757180519747566,"NYG"
"modelo_3_defecto - modelo_3_grid",1.89817608780658e-05,1.4667724314869e-05,1.26545072520439e-06,"NYG"
"modelo_1_bayesiana - modelo_4_bayesiana",1,1,0.861469855222789,"NYG"
"modelo_1_defecto - modelo_4_bayesiana",8.24957796754627e-11,8.12458436197739e-11,1.64991559350925e-11,"NYG"
"modelo_1_grid - modelo_4_bayesiana",2.25774954148034e-07,1.91566627761968e-07,2.05249958316395e-08,"NYG"
"modelo_2_bayesiana - modelo_4_bayesiana",0.13567109098031,0.0616686777183226,0.00366678624271108,"NYG"
"modelo_2_defecto - modelo_4_bayesiana",8.24957796754627e-11,7.9995907564085e-11,2.06239449188657e-11,"NYG"
