"","auc","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth"
"1",0.760468470133341,0.0624702283433871,0.818693458954804,43,29,8
"2",0.751158620269916,0.0829615133974003,0.557495653764345,27,27,7
"3",0.770013490337242,0.149590853721485,0.660325941168703,38,16,4
"4",0.766981256572354,0.187803523159237,0.69025361134205,17,24,7
"5",0.769079323332924,0.0906642433004454,0.707258995505981,28,9,4
"6",0.801854268763779,0.165969080855488,0.85852640166413,40,12,5
"7",0.755150143689537,0.0431684362873202,0.755767411170527,35,33,6
"8",0.770543356968097,0.129308911613422,0.568204596955329,50,23,7
"9",0.755466304651985,0.103739317233441,0.722812177715823,16,21,8
"10",0.784909674004097,0.192398044771864,0.658284626170062,47,10,3
"11",0.753370885493022,0.107177822636557,0.594230710896663,34,36,5
"12",0.785981986659137,0.0338774626099039,0.823946449453943,30,19,4
"13",0.752496767224461,0.0734770233216695,0.515103465537541,20,18,9
"14",0.76156875043351,0.120508083891822,0.787117515695281,44,30,7
"15",0.77629524923324,0.142079244552879,0.767990925484337,22,34,3
"16",0.787496456999594,0.0121040001446381,0.538604978634976,40,7,5
"17",0.738829044444958,0.0208954796380131,0.622776806191541,47,38,4
"18",0.774023877971246,0.0565352900406579,0.875987507458776,19,6,9
"19",0.779937714459454,0.17272553114302,0.891907344907522,24,40,9
"20",0.75466318411,0.155475686450722,0.607622390114702,31,15,6
"21",0.785480962779004,0.167695398945527,0.899941593455496,44,9,3
"22",0.770059149597771,0.199500845426921,0.855922687322391,37,14,5
"23",0.753055262597368,0.119614565371543,0.80228065002003,41,11,5
"24",0.766263153934912,0.165721280701616,0.894736617679593,34,23,7
"25",0.76608567695439,0.169207923937195,0.635843180778157,20,11,8
"26",0.752381748873599,0.0473730136067932,0.666454943601787,33,18,9
"27",0.801656346310818,0.165305685609942,0.816691092131121,41,10,4
"28",0.778153705369822,0.166401722720352,0.844351237202177,43,9,4
"29",0.772762668438751,0.0891316379067959,0.899816439776498,27,10,4
"30",0.755827389649802,0.165717986357153,0.814554319941997,40,10,5
"31",0.7445192875592,0.106452683443306,0.687851426927839,22,35,9
"32",0.751125702796269,0.194101783542666,0.583320043060929,30,27,8
"33",0.74618343876998,0.157374766824432,0.722212570511457,25,26,9
"34",0.762383936995841,0.0521999855217291,0.51163811957622,24,14,6
"35",0.748218001510684,0.192959030653774,0.897791280043032,37,27,7
"36",0.77675609186859,0.0637115418721316,0.670395680286735,23,18,4
"37",0.764319786781259,0.0284485023636231,0.828503475786001,25,29,4
"38",0.783474262593775,0.0115516152868839,0.654354933087341,49,12,6
"39",0.740691393882713,0.168250940011991,0.702271525497362,39,21,8
"40",0.746015361786774,0.0606769896858488,0.556818215809762,17,35,8
"41",0.783309208934464,0.0407398021750175,0.746542973014712,49,11,8
"42",0.781263239315785,0.199710857995012,0.758553753602459,47,10,4
"43",0.770760105720401,0.181099512155422,0.86678218951799,32,12,5
"44",0.777345370648512,0.184467908494617,0.705784587611165,31,11,5
"45",0.766491059029855,0.128140220973862,0.625119046912994,18,31,5
"46",0.762830828811402,0.0495390982617764,0.600976890676282,49,12,9
"47",0.746416019346918,0.0211939554296201,0.787918411117699,31,28,6
"48",0.772118034205552,0.112632860951675,0.54964911346091,17,8,4
"49",0.775298247850267,0.064576418035191,0.627006258552708,27,10,9
"50",0.76786829269637,0.0946383409967786,0.757698078908678,18,24,5
"51",0.749924444509042,0.180973017357322,0.671247266572434,44,7,7
"52",0.757170768124255,0.139147000701642,0.633433778984472,38,5,9
"53",0.771183939399103,0.145655151865266,0.636987125800643,30,12,9
"54",0.768107977549271,0.106143598037711,0.576818292469718,37,25,4
"55",0.784271608690213,0.172768334032937,0.589611832510494,45,14,5
"56",0.759570159582185,0.0979341746198293,0.843494584546797,15,38,7
"57",0.753470146306205,0.170108219197886,0.789419409547592,42,12,5
"58",0.768985953713411,0.130767889823327,0.503850263349339,21,40,4
