"","hojas","min_data","fracciones_variables","lerners","profundidad","exactitud","precision","precision_secundaria","promedio"
"1",15,5,0.5,0.01,3,0.662222222222222,0.750841750841751,0.490196078431373,0.634420017165115
"2",15,5,0.5,0.01,5,0.648888888888889,0.740740740740741,0.470588235294118,0.620072621641249
"3",15,5,0.5,0.01,7,0.653333333333333,0.744107744107744,0.477124183006536,0.624855086815871
"4",15,5,0.5,0.01,9,0.657777777777778,0.747474747474748,0.483660130718954,0.629637551990493
"5",15,5,0.5,0.03,3,0.653333333333333,0.744107744107744,0.477124183006536,0.624855086815871
"6",15,5,0.5,0.03,5,0.635555555555556,0.730639730639731,0.450980392156863,0.605725226117383
"7",15,5,0.5,0.03,7,0.64,0.734006734006734,0.457516339869281,0.610507691292005
"8",15,5,0.5,0.03,9,0.635555555555556,0.730639730639731,0.450980392156863,0.605725226117383
"9",15,5,0.5,0.05,3,0.644444444444444,0.737373737373737,0.464052287581699,0.615290156466627
"10",15,5,0.5,0.05,5,0.631111111111111,0.727272727272727,0.444444444444444,0.600942760942761
"11",15,5,0.5,0.05,7,0.644444444444444,0.737373737373737,0.464052287581699,0.615290156466627
"12",15,5,0.5,0.05,9,0.64,0.734006734006734,0.457516339869281,0.610507691292005
"13",15,5,0.5,0.1,3,0.64,0.734006734006734,0.457516339869281,0.610507691292005
"14",15,5,0.5,0.1,5,0.613333333333333,0.713804713804714,0.418300653594771,0.581812900244273
"15",15,5,0.5,0.1,7,0.626666666666667,0.723905723905724,0.437908496732026,0.596160295768139
"16",15,5,0.5,0.1,9,0.64,0.734006734006734,0.457516339869281,0.610507691292005
"17",15,5,0.5,0.2,3,0.631111111111111,0.727272727272727,0.444444444444444,0.600942760942761
"18",15,5,0.5,0.2,5,0.617777777777778,0.717171717171717,0.42483660130719,0.586595365418895
"19",15,5,0.5,0.2,7,0.622222222222222,0.720538720538721,0.431372549019608,0.591377830593517
"20",15,5,0.5,0.2,9,0.64,0.734006734006734,0.457516339869281,0.610507691292005
"21",15,5,0.6,0.01,3,0.666666666666667,0.754208754208754,0.496732026143791,0.639202482339737
"22",15,5,0.6,0.01,5,0.662222222222222,0.750841750841751,0.490196078431373,0.634420017165115
"23",15,5,0.6,0.01,7,0.662222222222222,0.750841750841751,0.490196078431373,0.634420017165115
"24",15,5,0.6,0.01,9,0.671111111111111,0.757575757575758,0.503267973856209,0.643984947514359
"25",15,5,0.6,0.03,3,0.657777777777778,0.747474747474747,0.483660130718954,0.629637551990493
