"","hojas","min_data","fracciones_variables","lerners","profundidad","exactitud","precision","precision_secundaria","promedio"
"1",15,5,0.5,0.01,3,0.667624880223305,0.730350877192982,0.575163398692811,0.657713052036366
"2",15,5,0.5,0.01,5,0.6623338749323,0.725906432748538,0.568627450980392,0.652289252887077
"3",15,5,0.5,0.01,7,0.646502520518269,0.712631578947368,0.549019607843137,0.636051235769591
"4",15,5,0.5,0.01,9,0.646502520518269,0.712631578947368,0.549019607843137,0.636051235769591
"5",15,5,0.5,0.03,3,0.667583218764321,0.730292397660819,0.57516339869281,0.657679671705983
"6",15,5,0.5,0.03,5,0.646502520518269,0.712631578947368,0.549019607843137,0.636051235769591
"7",15,5,0.5,0.03,7,0.630629504645253,0.699298245614035,0.529411764705882,0.619779838321723
"8",15,5,0.5,0.03,9,0.630629504645253,0.699298245614035,0.529411764705882,0.619779838321723
"9",15,5,0.5,0.05,3,0.667583218764321,0.730292397660819,0.57516339869281,0.657679671705983
"10",15,5,0.5,0.05,5,0.620005832604258,0.690350877192982,0.516339869281046,0.608898859692762
"11",15,5,0.5,0.05,7,0.604216139649211,0.677134502923977,0.496732026143791,0.592694222905659
"12",15,5,0.5,0.05,9,0.620047494063242,0.690409356725146,0.516339869281046,0.608932240023145
"13",15,5,0.5,0.1,3,0.614631504395284,0.685789473684211,0.509803921568627,0.603408299882707
"14",15,5,0.5,0.1,5,0.609465483481232,0.681520467836257,0.503267973856209,0.598084641724566
"15",15,5,0.5,0.1,7,0.620005832604258,0.690350877192982,0.516339869281046,0.608898859692762
"16",15,5,0.5,0.1,9,0.604132816731242,0.677017543859649,0.496732026143791,0.592627462244894
"17",15,5,0.5,0.2,3,0.598925134358205,0.672690058479532,0.490196078431373,0.58727042375637
"18",15,5,0.5,0.2,5,0.630587843186268,0.699239766081871,0.529411764705882,0.619746457991341
"19",15,5,0.5,0.2,7,0.593592467608216,0.668187134502924,0.483660130718954,0.581813244276698
"20",15,5,0.5,0.2,9,0.588343123776195,0.663801169590643,0.477124183006536,0.576422825457791
"21",15,5,0.6,0.01,3,0.662292213473316,0.725847953216374,0.568627450980392,0.652255872556694
"22",15,5,0.6,0.01,5,0.646502520518269,0.712631578947368,0.549019607843137,0.636051235769591
"23",15,5,0.6,0.01,7,0.641211515227263,0.708187134502924,0.542483660130719,0.630627436620302
"24",15,5,0.6,0.01,9,0.630629504645253,0.699298245614035,0.529411764705882,0.619779838321723
"25",15,5,0.6,0.03,3,0.65175186435029,0.717017543859649,0.555555555555556,0.641441654588498
"26",15,5,0.6,0.03,5,0.630671166104237,0.699356725146199,0.529411764705882,0.619813218652106
"27",15,5,0.6,0.03,7,0.635920509936258,0.70374269005848,0.535947712418301,0.625203637471013
"28",15,5,0.6,0.03,9,0.625338499354247,0.694853801169591,0.522875816993464,0.614356039172434
"29",15,5,0.6,0.05,3,0.667541557305337,0.730233918128655,0.57516339869281,0.657646291375601
"30",15,5,0.6,0.05,5,0.630587843186268,0.699239766081871,0.529411764705882,0.619746457991341
"31",15,5,0.6,0.05,7,0.620047494063242,0.690409356725146,0.516339869281046,0.608932240023145
"32",15,5,0.6,0.05,9,0.604174478190226,0.677076023391813,0.496732026143791,0.592660842575277
"33",15,5,0.6,0.1,3,0.614673165854268,0.685847953216374,0.509803921568627,0.60344168021309
"34",15,5,0.6,0.1,5,0.614756488772237,0.685964912280702,0.509803921568627,0.603508440873855
"35",15,5,0.6,0.1,7,0.604216139649211,0.677134502923977,0.496732026143791,0.592694222905659
"36",15,5,0.6,0.1,9,0.598925134358205,0.672690058479532,0.490196078431373,0.58727042375637
"37",15,5,0.6,0.2,3,0.598841811440237,0.672573099415205,0.490196078431373,0.587203663095605
"38",15,5,0.6,0.2,5,0.598966795817189,0.672748538011696,0.490196078431373,0.587303804086753
"39",15,5,0.6,0.2,7,0.593592467608216,0.668187134502924,0.483660130718954,0.581813244276698
"40",15,5,0.6,0.2,9,0.583010457026205,0.659298245614035,0.470588235294118,0.570965645978119
"41",15,5,0.7,0.01,3,0.657001208182311,0.72140350877193,0.562091503267974,0.646832073407405
"42",15,5,0.7,0.01,5,0.6623338749323,0.725906432748538,0.568627450980392,0.652289252887077
