"","hojas","min_data","fracciones_variables","lerners","profundidad","exactitud","precision","precision_secundaria","promedio"
"1",15,5,0.5,0.01,3,0.730982539001002,0.792592592592593,0.611470860314524,0.711681997302706
"2",15,5,0.5,0.01,5,0.726080578216688,0.788888888888889,0.604224483502929,0.706397983536169
"3",15,5,0.5,0.01,7,0.706508515815085,0.774074074074074,0.575393154486586,0.685325248125249
"4",15,5,0.5,0.01,9,0.716312437383713,0.781481481481481,0.589885908109775,0.695893275658323
"5",15,5,0.5,0.03,3,0.755385000715615,0.811111111111111,0.647240209682393,0.737912107169706
"6",15,5,0.5,0.03,5,0.73094675826535,0.792592592592593,0.61131668208449,0.711618677647477
"7",15,5,0.5,0.03,7,0.740786460569629,0.8,0.625963613937712,0.72225002483578
"8",15,5,0.5,0.03,9,0.72611635895234,0.788888888888889,0.604378661732963,0.706461303191397
"9",15,5,0.5,0.05,3,0.721107055961071,0.785185185185185,0.596669750231267,0.700987330459174
"10",15,5,0.5,0.05,5,0.716312437383713,0.781481481481481,0.589885908109775,0.695893275658323
"11",15,5,0.5,0.05,7,0.726080578216688,0.788888888888889,0.604224483502929,0.706397983536169
"12",15,5,0.5,0.05,9,0.716276656648061,0.781481481481481,0.589731729879741,0.695829956003094
"13",15,5,0.5,0.1,3,0.711374695863747,0.777777777777778,0.582485353068147,0.690545942236557
"14",15,5,0.5,0.1,5,0.706580077286389,0.774074074074074,0.575701510946654,0.685451887435706
"15",15,5,0.5,0.1,7,0.716348218119365,0.781481481481481,0.590040086339809,0.695956595313552
"16",15,5,0.5,0.1,9,0.711446257335051,0.777777777777778,0.582793709528215,0.690672581547014
"17",15,5,0.5,0.2,3,0.706508515815085,0.774074074074074,0.575393154486586,0.685325248125249
"18",15,5,0.5,0.2,5,0.716348218119365,0.781481481481481,0.590040086339809,0.695956595313552
"19",15,5,0.5,0.2,7,0.706580077286389,0.774074074074074,0.575701510946654,0.685451887435706
"20",15,5,0.5,0.2,9,0.711446257335051,0.777777777777778,0.582793709528215,0.690672581547014
"21",15,5,0.6,0.01,3,0.730982539001002,0.792592592592593,0.611470860314524,0.711681997302706
"22",15,5,0.6,0.01,5,0.69674037498211,0.766666666666667,0.561054579093432,0.674820540247403
"23",15,5,0.6,0.01,7,0.716312437383713,0.781481481481481,0.589885908109775,0.695893275658323
"24",15,5,0.6,0.01,9,0.711410476599399,0.777777777777778,0.582639531298181,0.690609261891786
"25",15,5,0.6,0.03,3,0.755349219979963,0.811111111111111,0.647086031452359,0.737848787514478
"26",15,5,0.6,0.03,5,0.726044797481036,0.788888888888889,0.604070305272896,0.70633466388094
"27",15,5,0.6,0.03,7,0.711410476599399,0.777777777777778,0.582639531298181,0.690609261891786
"28",15,5,0.6,0.03,9,0.711410476599399,0.777777777777778,0.582639531298181,0.690609261891786
"29",15,5,0.6,0.05,3,0.730982539001002,0.792592592592593,0.611470860314524,0.711681997302706
"30",15,5,0.6,0.05,5,0.721214398168026,0.785185185185185,0.597132284921369,0.70117728942486
"31",15,5,0.6,0.05,7,0.706544296550737,0.774074074074074,0.57554733271662,0.685388567780477
"32",15,5,0.6,0.05,9,0.716348218119365,0.781481481481481,0.590040086339809,0.695956595313552
"33",15,5,0.6,0.1,3,0.706580077286389,0.774074074074074,0.575701510946654,0.685451887435706
"34",15,5,0.6,0.1,5,0.711446257335051,0.777777777777778,0.582793709528215,0.690672581547014
"35",15,5,0.6,0.1,7,0.716312437383713,0.781481481481481,0.589885908109775,0.695893275658323
"36",15,5,0.6,0.1,9,0.706580077286389,0.774074074074074,0.575701510946654,0.685451887435706
"37",15,5,0.6,0.2,3,0.69674037498211,0.766666666666667,0.561054579093432,0.674820540247403
"38",15,5,0.6,0.2,5,0.716383998855016,0.781481481481481,0.590194264569843,0.69601991496878
"39",15,5,0.6,0.2,7,0.721214398168026,0.785185185185185,0.597132284921369,0.70117728942486
"40",15,5,0.6,0.2,9,0.701678116502075,0.77037037037037,0.56845513413506,0.680167873669169
"41",15,5,0.7,0.01,3,0.716348218119365,0.781481481481481,0.590040086339809,0.695956595313552
"42",15,5,0.7,0.01,5,0.711410476599399,0.777777777777778,0.582639531298181,0.690609261891786
"43",15,5,0.7,0.01,7,0.701606555030771,0.77037037037037,0.568146777674992,0.680041234358711
"44",15,5,0.7,0.01,9,0.706508515815085,0.774074074074074,0.575393154486586,0.685325248125249
"45",15,5,0.7,0.03,3,0.750483039931301,0.807407407407407,0.639993832870799,0.732628093403169
"46",15,5,0.7,0.03,5,0.721214398168026,0.785185185185185,0.597132284921369,0.70117728942486
"47",15,5,0.7,0.03,7,0.72611635895234,0.788888888888889,0.604378661732963,0.706461303191397
"48",15,5,0.7,0.03,9,0.716312437383713,0.781481481481481,0.589885908109775,0.695893275658323
"49",15,5,0.7,0.05,3,0.740750679833977,0.8,0.625809435707678,0.722186705180552
"50",15,5,0.7,0.05,5,0.721178617432374,0.785185185185185,0.596978106691335,0.701113969769632
"51",15,5,0.7,0.05,7,0.711446257335051,0.777777777777778,0.582793709528215,0.690672581547014
"52",15,5,0.7,0.05,9,0.721214398168026,0.785185185185185,0.597132284921369,0.70117728942486
"53",15,5,0.7,0.1,3,0.716312437383713,0.781481481481481,0.589885908109775,0.695893275658323
"54",15,5,0.7,0.1,5,0.726152139687992,0.788888888888889,0.604532839962997,0.706524622846626
"55",15,5,0.7,0.1,7,0.72128595963933,0.785185185185185,0.597440641381437,0.701303928735317
"56",15,5,0.7,0.1,9,0.721250178903678,0.785185185185185,0.597286463151403,0.701240609080089
"57",15,5,0.7,0.2,3,0.706580077286389,0.774074074074074,0.575701510946654,0.685451887435706
"58",15,5,0.7,0.2,5,0.711446257335051,0.777777777777778,0.582793709528215,0.690672581547014
"59",15,5,0.7,0.2,7,0.730982539001002,0.792592592592593,0.611470860314524,0.711681997302706
"60",15,5,0.7,0.2,9,0.711446257335051,0.777777777777778,0.582793709528215,0.690672581547014
"61",15,5,0.8,0.01,3,0.701606555030771,0.77037037037037,0.568146777674992,0.680041234358711
"62",15,5,0.8,0.01,5,0.701606555030771,0.77037037037037,0.568146777674992,0.680041234358711
"63",15,5,0.8,0.01,7,0.706544296550737,0.774074074074074,0.57554733271662,0.685388567780477
"64",15,5,0.8,0.01,9,0.711410476599399,0.777777777777778,0.582639531298181,0.690609261891786
"65",15,5,0.8,0.03,3,0.72611635895234,0.788888888888889,0.604378661732963,0.706461303191397
"66",15,5,0.8,0.03,5,0.706544296550737,0.774074074074074,0.57554733271662,0.685388567780477
"67",15,5,0.8,0.03,7,0.706544296550737,0.774074074074074,0.57554733271662,0.685388567780477
"68",15,5,0.8,0.03,9,0.701678116502075,0.77037037037037,0.56845513413506,0.680167873669169
"69",15,5,0.8,0.05,3,0.72611635895234,0.788888888888889,0.604378661732963,0.706461303191397
"70",15,5,0.8,0.05,5,0.716383998855016,0.781481481481481,0.590194264569843,0.69601991496878
"71",15,5,0.8,0.05,7,0.72128595963933,0.785185185185185,0.597440641381437,0.701303928735317
"72",15,5,0.8,0.05,9,0.711446257335051,0.777777777777778,0.582793709528215,0.690672581547014
"73",15,5,0.8,0.1,3,0.706580077286389,0.774074074074074,0.575701510946654,0.685451887435706
"74",15,5,0.8,0.1,5,0.721250178903678,0.785185185185185,0.597286463151403,0.701240609080089
"75",15,5,0.8,0.1,7,0.716348218119365,0.781481481481481,0.590040086339809,0.695956595313552
"76",15,5,0.8,0.1,9,0.716383998855016,0.781481481481482,0.590194264569843,0.69601991496878
"77",15,5,0.8,0.2,3,0.711446257335051,0.777777777777778,0.582793709528215,0.690672581547014
"78",15,5,0.8,0.2,5,0.735920280520967,0.796296296296296,0.618871415356152,0.717029330724472
"79",15,5,0.8,0.2,7,0.696776155717762,0.766666666666667,0.561208757323466,0.674883859902631
"80",15,5,0.8,0.2,9,0.721250178903678,0.785185185185185,0.597286463151403,0.701240609080089
"81",15,5,0.9,0.01,3,0.69674037498211,0.766666666666667,0.561054579093432,0.674820540247403
"82",15,5,0.9,0.01,5,0.69674037498211,0.766666666666667,0.561054579093432,0.674820540247403
