"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022102000,4,1,10,15,25,"SHOTGUN","3x1",14.3666666666667,"0-3 min","local",18,"ARI",0,1,0.855687158028413
2022103005,3,1,5,19,91,"PISTOL","2x1",0.266666666666667,"12-15 min","visitante",-5,"rival",0,1,0.961005475414415
2022101609,1,1,10,25,85,"SINGLEBACK","3x1",6.68333333333333,"6-9 min","visitante",0,"ARI",0,1,0.793003182757954
2022091110,2,1,10,35,45,"SHOTGUN","3x1",15,"0-3 min","local",-14,"rival",1,0,0.417464967076082
2022101609,3,4,2,27,37,"SHOTGUN","2x2",9.31666666666667,"3-6 min","visitante",-6,"rival",1,0,0.398691618545743
2022102000,3,2,13,12,98,"SHOTGUN","2x2",6.31666666666667,"6-9 min","local",11,"ARI",1,1,0.674228070734497
2022103005,4,1,10,13,23,"EMPTY","3x2",14.05,"0-3 min","visitante",-5,"rival",1,1,0.666482455244829
2022100203,4,3,2,23,87,"SHOTGUN","2x2",7.73333333333333,"6-9 min","visitante",10,"rival",1,1,0.715178189406621
2022110608,2,1,10,46,56,"EMPTY","3x2",0.9,"12-15 min","local",-3,"rival",1,1,0.97400596014136
2022092510,2,1,10,47,63,"SHOTGUN","3x1",6.45,"6-9 min","local",-13,"rival",1,0,0.0347250767443134
2022100911,1,1,10,26,36,"SHOTGUN","2x2",5.33333333333333,"9-12 min","local",-7,"ARI",1,0,0.449464962008153
2022092510,3,1,10,43,67,"SHOTGUN","2x2",9.1,"3-6 min","local",-7,"ARI",0,0,0.396460430953355
2022100911,4,1,10,25,85,"SHOTGUN","3x1",1.75,"12-15 min","local",-3,"ARI",0,1,0.955109249510007
2022102000,2,1,10,25,85,"PISTOL","2x1",10.4833333333333,"3-6 min","local",-8,"ARI",0,1,0.880990301194177
2022100203,3,2,10,38,72,"SHOTGUN","2x2",4.21666666666667,"9-12 min","visitante",0,"ARI",0,1,0.663183162179968
2022100203,3,2,15,6,104,"SHOTGUN","3x1",12.2166666666667,"0-3 min","visitante",-7,"ARI",1,1,0.891022321237181
2022091811,2,1,10,10,20,"SHOTGUN","2x2",6.88333333333333,"6-9 min","visitante",-17,"ARI",1,0,0.180528754445427
2022102000,1,1,10,18,92,"SHOTGUN","2x2",0.85,"12-15 min","local",-4,"rival",0,1,0.773538526993936
2022091110,2,1,10,42,52,"SHOTGUN","2x1",0.966666666666667,"12-15 min","local",-13,"rival",1,0,0.608176392264746
2022092510,4,1,10,47,57,"SHOTGUN","2x2",13.9,"0-3 min","local",-11,"ARI",1,0,0.286009790237734
2022100203,2,3,6,37,47,"SHOTGUN","3x1",9.55,"3-6 min","visitante",-7,"ARI",1,1,0.981759254888148
2022100911,2,3,7,28,82,"SHOTGUN","3x1",9.58333333333333,"3-6 min","local",-14,"ARI",1,1,0.99297275926996
2022092510,2,3,5,5,105,"SHOTGUN","2x2",1.95,"12-15 min","local",-13,"rival",1,1,0.985986360785562
2022091110,4,1,10,21,31,"SHOTGUN","3x1",1.76666666666667,"12-15 min","local",-23,"ARI",0,1,0.788304372379107
2022091811,4,4,1,11,21,"SINGLEBACK","3x1",12.6166666666667,"0-3 min","visitante",-16,"rival",1,1,0.65154982285475
2022092510,2,3,11,29,39,"SHOTGUN","3x1",9.86666666666667,"3-6 min","local",-13,"ARI",1,1,0.995747364433108
2022100911,2,3,3,25,35,"EMPTY","3x2",5.55,"9-12 min","local",-14,"rival",1,1,0.873908707085275
2022110608,3,2,10,30,80,"SHOTGUN","3x1",2.13333333333333,"12-15 min","local",-3,"ARI",0,1,0.954444116572261
2022092510,3,1,10,44,54,"SHOTGUN","3x1",7.71666666666667,"6-9 min","local",-7,"rival",1,0,0.645457420071017
2022110608,4,1,10,26,36,"SHOTGUN","3x1",2.15,"12-15 min","local",-10,"ARI",1,1,0.803773381591405
2022100203,3,2,5,44,54,"SHOTGUN","3x1",2.7,"12-15 min","visitante",0,"rival",1,1,0.795548524581798
2022091110,1,2,10,38,48,"SHOTGUN","2x2",2.03333333333333,"12-15 min","local",-14,"ARI",1,0,0.512267451397229
2022092510,3,3,3,50,60,"SHOTGUN","3x1",8.38333333333333,"6-9 min","local",-7,"centro",0,1,0.976332247495172
2022092510,1,2,8,27,83,"SHOTGUN","2x2",9.2,"3-6 min","local",-3,"ARI",1,1,0.971617431525581
2022100203,2,2,3,34,44,"SHOTGUN","3x1",13.1333333333333,"0-3 min","visitante",0,"ARI",0,0,0.215536941782436
2022102000,2,2,7,48,58,"SHOTGUN","2x1",8.5,"6-9 min","local",-8,"rival",1,1,0.876999875634054
2022100203,3,2,7,48,62,"SHOTGUN","3x1",10.1166666666667,"3-6 min","visitante",-7,"ARI",1,0,0.345661112821336
2022091110,2,1,10,48,58,"SHOTGUN","2x2",2,"12-15 min","local",-13,"rival",0,0,0.305670297440596
2022091811,4,1,10,27,83,"SHOTGUN","3x1",4.71666666666667,"9-12 min","visitante",-8,"ARI",1,1,0.971424296740877
2022102000,2,1,10,49,61,"SHOTGUN","3x1",9.06666666666667,"3-6 min","local",-8,"ARI",0,0,0.110973046066546
2022101609,1,2,8,27,83,"SHOTGUN","2x2",6.16666666666667,"6-9 min","visitante",0,"ARI",1,1,0.863334836806882
2022100203,2,1,10,21,89,"SHOTGUN","3x1",5,"9-12 min","visitante",-7,"rival",0,1,0.945935943902027
2022103005,2,2,8,39,71,"SHOTGUN","2x2",2,"12-15 min","visitante",-11,"rival",1,1,0.972421266228408
