"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022103012,3,2,10,36,74,"SHOTGUN","3x1",9.08333333333333,"3-6 min","local",14,"rival",1,1,0.72196240012291
2022110606,1,2,10,13,97,"SINGLEBACK","2x2",14.2833333333333,"0-3 min","visitante",0,"rival",1,0,0.653398676200814
2022100202,1,1,10,22,88,"SHOTGUN","3x1",1.06666666666667,"12-15 min","visitante",-11,"BUF",1,1,0.791796205207764
2022092503,3,3,11,11,99,"SHOTGUN","3x1",3.83333333333333,"9-12 min","visitante",0,"rival",1,1,0.803325310210603
2022100901,4,1,10,46,56,"SHOTGUN","2x1",7.45,"6-9 min","local",35,"BUF",1,0,0.514744945039888
2022101610,4,2,2,32,78,"SHOTGUN","3x1",4.85,"9-12 min","visitante",-3,"BUF",0,1,0.736570933534584
2022101610,4,1,10,46,56,"SHOTGUN","3x1",2.23333333333333,"12-15 min","visitante",-3,"rival",1,0,0.580925632487087
2022110606,1,3,5,32,78,"SHOTGUN","2x2",8.53333333333333,"6-9 min","visitante",0,"rival",0,1,0.770656920448738
2022103012,2,1,10,13,23,"SHOTGUN","2x2",2.4,"12-15 min","local",7,"rival",0,0,0.614523457614843
2022092503,2,2,4,49,61,"I_FORM","2x1",4.85,"9-12 min","visitante",0,"BUF",0,1,0.776203601577637
2022100901,1,3,20,31,41,"SHOTGUN","3x1",12.1166666666667,"0-3 min","local",7,"rival",1,1,0.825599234762869
2022090800,1,2,4,31,79,"EMPTY","3x2",14.4833333333333,"0-3 min","visitante",0,"BUF",1,1,0.713019648022545
2022100202,4,2,2,3,13,"SINGLEBACK","3x1",1.71666666666667,"12-15 min","visitante",0,"rival",0,0,0.659626347860753
2022101610,3,2,5,35,75,"SHOTGUN","2x2",8.46666666666667,"6-9 min","visitante",0,"rival",1,1,0.73425863788333
2022090800,2,2,5,37,47,"SHOTGUN","2x2",12.4333333333333,"0-3 min","visitante",7,"BUF",0,0,0.651317138343927
2022090800,1,2,3,45,65,"SHOTGUN","2x1",13.25,"0-3 min","visitante",0,"BUF",1,1,0.700451842252664
2022103012,4,2,10,27,83,"SHOTGUN","2x2",14.1,"0-3 min","local",17,"BUF",1,1,0.673674593527733
2022100901,2,1,10,41,69,"SHOTGUN","3x1",2,"12-15 min","local",21,"rival",1,1,0.685651679885504
2022092503,4,2,26,21,89,"SHOTGUN","2x1",8.46666666666667,"6-9 min","visitante",-4,"BUF",1,1,0.788715380068346
2022092503,1,2,3,32,42,"SHOTGUN","2x1",3.1,"9-12 min","visitante",0,"BUF",1,1,0.780163921750402
2022100901,2,2,8,39,71,"SHOTGUN","3x1",12.2,"0-3 min","local",7,"rival",1,1,0.690463056175088
2022101610,4,1,10,35,75,"SHOTGUN","2x2",3.11666666666667,"9-12 min","visitante",-3,"BUF",1,0,0.63843269759033
2022101610,4,1,10,30,40,"SINGLEBACK","2x1",0.85,"12-15 min","visitante",4,"rival",0,1,0.752842522861988
2022100901,2,2,5,24,86,"SHOTGUN","3x1",1.25,"12-15 min","local",21,"rival",1,1,0.816777459811418
2022110606,4,2,14,46,64,"EMPTY","4x1",8.31666666666667,"6-9 min","visitante",0,"BUF",1,1,0.737368474449615
2022092503,1,1,10,28,82,"I_FORM","2x1",13.85,"0-3 min","visitante",0,"rival",0,1,0.674395179727926
2022103012,1,3,14,21,89,"SHOTGUN","3x1",5.3,"9-12 min","local",0,"rival",1,1,0.76569152814569
2022092503,4,3,3,34,44,"SHOTGUN","3x1",5.85,"9-12 min","visitante",-4,"rival",1,1,0.806763380273026
2022091900,4,2,5,18,92,"SHOTGUN","2x2",2.23333333333333,"12-15 min","local",34,"rival",0,0,0.617781478311224
2022110606,2,1,10,39,71,"SHOTGUN","2x2",14.25,"0-3 min","visitante",4,"BUF",1,0,0.606455946005663
2022092503,1,1,10,38,72,"I_FORM","2x1",0.816666666666667,"12-15 min","visitante",0,"rival",0,1,0.812775916775667
2022100202,2,2,5,30,40,"EMPTY","3x2",12.4833333333333,"0-3 min","visitante",-14,"BUF",1,1,0.736249864203094
2022101610,4,3,1,33,77,"SINGLEBACK","3x1",4.11666666666667,"9-12 min","visitante",-3,"BUF",0,0,0.373252473161615
2022110606,2,3,10,43,53,"SHOTGUN","3x1",0.166666666666667,"12-15 min","visitante",4,"rival",0,1,0.83526608842064
