"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022103001,4,1,10,38,48,0.383333333333333,"12-15 min","visitante",-6,"CAR",1,1,0.896591977734786
2022091101,1,1,10,22,32,14.9333333333333,"0-3 min","local",0,"CAR",1,0,0.390538867566034
2022102301,2,2,6,31,79,1.05,"12-15 min","local",0,"rival",1,1,0.850034540544352
2022100910,1,3,6,39,71,4.66666666666667,"9-12 min","local",-7,"rival",0,0,0.510660325313453
2022101608,1,2,10,22,88,10.4166666666667,"3-6 min","visitante",0,"rival",1,0,0.334515247061206
2022100910,3,3,5,46,64,14.2833333333333,"0-3 min","local",-14,"rival",1,1,0.888470354739773
2022100910,3,1,10,49,59,14.8666666666667,"0-3 min","local",-14,"CAR",0,1,0.625418665442846
2022092500,3,1,10,38,72,7.26666666666667,"6-9 min","local",13,"CAR",0,0,0.384136864742378
2022091101,2,1,10,25,85,0.35,"12-15 min","local",-10,"CAR",1,1,0.700310983600601
2022103001,2,3,4,31,79,8.85,"6-9 min","visitante",-4,"CAR",1,1,0.778364056961473
2022103001,2,1,5,5,15,5.31666666666667,"9-12 min","visitante",-4,"rival",0,0,0.159594283938887
2022091101,1,2,10,22,32,14.8833333333333,"0-3 min","local",0,"CAR",1,1,0.531298997167522
2022103001,4,1,10,25,35,0.6,"12-15 min","visitante",-6,"CAR",1,1,0.845532782695845
2022103001,4,2,10,25,35,0.483333333333333,"12-15 min","visitante",-6,"CAR",1,1,0.887737548686755
2022110602,3,1,10,37,47,14.7833333333333,"0-3 min","visitante",-35,"rival",1,1,0.621324245452104
2022103001,2,1,10,10,100,1.68333333333333,"12-15 min","visitante",3,"CAR",0,0,0.491060411346926
2022091101,1,2,16,30,40,8.25,"6-9 min","local",0,"CAR",0,0,0.505587253992722
2022102301,3,3,10,25,85,6.18333333333333,"6-9 min","local",7,"CAR",1,1,0.864577109144106
2022103001,4,1,10,40,50,7.55,"6-9 min","visitante",-3,"CAR",0,0,0.488351859786464
2022092500,4,2,10,20,90,9.11666666666667,"3-6 min","local",12,"rival",0,1,0.691304590387119
2022101608,3,1,10,20,30,0.1,"12-15 min","visitante",-7,"CAR",1,1,0.895192158387721
2022103001,4,1,10,11,99,3.25,"9-12 min","visitante",-3,"rival",0,0,0.148741372075652
2022091101,2,2,1,1,11,2,"12-15 min","local",-14,"rival",0,1,0.773685959013861
2022100910,1,1,10,43,67,5.9,"9-12 min","local",-7,"rival",1,0,0.485437896224748
2022102301,3,3,11,19,91,10.5,"3-6 min","local",7,"CAR",1,1,0.778880319347409
2022091805,2,2,3,46,56,6.93333333333333,"6-9 min","visitante",-3,"CAR",0,0,0.441284520174607
2022101608,2,2,7,28,82,2.96666666666667,"12-15 min","visitante",-4,"CAR",0,0,0.390382475487618
2022103001,1,1,10,19,29,2.23333333333333,"12-15 min","visitante",3,"CAR",1,0,0.479886508007472
2022102301,4,2,11,29,81,10.3666666666667,"3-6 min","local",11,"rival",0,0,0.168869926435296
2022103001,3,3,5,30,80,0.366666666666667,"12-15 min","visitante",-8,"CAR",1,1,0.944111637130236
2022102301,4,1,10,28,38,7.25,"6-9 min","local",18,"CAR",0,0,0.224198442921585
2022091101,4,1,10,20,30,2.23333333333333,"12-15 min","local",-2,"CAR",1,1,0.790158526913006
2022103001,2,2,14,36,46,7.13333333333333,"6-9 min","visitante",-4,"rival",1,1,0.751261707515486
2022100910,2,1,10,22,88,12.85,"0-3 min","local",-10,"CAR",1,1,0.92361379312613
2022101608,1,2,2,33,43,2.88333333333333,"12-15 min","visitante",3,"CAR",0,0,0.298182262668197
2022110602,4,2,10,38,48,3.73333333333333,"9-12 min","visitante",-28,"CAR",1,1,0.859580193686431
2022102301,4,3,8,37,73,2,"12-15 min","local",18,"rival",0,1,0.578029839557899
2022100203,4,1,10,35,45,6.58333333333333,"6-9 min","local",-16,"rival",1,1,0.890578632573823
2022091805,2,1,10,49,61,15,"0-3 min","visitante",-6,"rival",1,1,0.712962218344573
2022100910,3,4,1,19,91,12.05,"0-3 min","local",-14,"rival",0,1,0.648346828158181
2022103001,3,2,8,27,83,1.06666666666667,"12-15 min","visitante",-8,"CAR",0,1,0.733349205128272
2022101608,1,3,8,48,62,1.55,"12-15 min","visitante",3,"rival",1,1,0.797168933603602
2022100203,2,2,2,42,68,2.31666666666667,"12-15 min","local",4,"CAR",0,1,0.674574722750478
2022100203,1,2,10,21,31,3.01666666666667,"9-12 min","local",0,"CAR",1,1,0.804725496829685
2022100910,2,1,10,40,70,1.06666666666667,"12-15 min","local",-7,"CAR",1,1,0.933961086425808
2022092500,4,3,3,40,50,4.36666666666667,"9-12 min","local",15,"CAR",0,0,0.251289181027688
