"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022091103,5,1,10,44,54,"SHOTGUN","2x2",1.75,"12-15 min","local",0,"rival",1,0,0.539624897207346
2022102302,4,1,10,41,51,"SHOTGUN","2x2",4.2,"9-12 min","local",18,"rival",1,0,0.211053707846039
2022091103,4,2,3,3,107,"SHOTGUN","3x1",2.1,"12-15 min","local",-6,"rival",1,1,0.804672890440592
2022110602,2,1,10,23,87,"SHOTGUN","2x2",1.15,"12-15 min","local",28,"rival",0,0,0.478331972123305
2022110602,1,1,10,10,100,"SHOTGUN","2x2",14.9,"0-3 min","local",0,"CIN",1,1,0.753777495431987
2022101605,2,3,8,19,29,"SHOTGUN","3x1",5.88333333333333,"9-12 min","visitante",-10,"rival",1,1,0.984022031485819
2022102302,1,1,10,40,70,"SHOTGUN","3x1",13.1166666666667,"0-3 min","local",0,"CIN",1,1,0.853733470761
2022103100,1,2,5,30,40,"SHOTGUN","2x2",12.7,"0-3 min","visitante",0,"CIN",1,1,0.578772598886131
2022103100,1,1,10,27,83,"SHOTGUN","2x2",10.85,"3-6 min","visitante",0,"rival",1,1,0.645446378059719
2022101605,2,1,10,25,85,"SHOTGUN","2x2",13.65,"0-3 min","visitante",-7,"CIN",1,1,0.66178289026369
2022092900,4,3,1,1,11,"SINGLEBACK","3x1",12.8,"0-3 min","local",-1,"rival",0,1,0.575727669477513
2022103100,3,1,10,27,83,"SHOTGUN","2x2",3.08333333333333,"9-12 min","visitante",-25,"CIN",1,1,0.66706679225432
2022091809,4,2,7,36,46,"SHOTGUN","2x2",10.9333333333333,"3-6 min","visitante",-8,"CIN",1,0,0.543032805392235
2022102302,1,1,10,27,83,"SHOTGUN","2x2",14.3666666666667,"0-3 min","local",0,"CIN",0,1,0.764637561397476
2022091103,4,4,6,36,74,"SHOTGUN","3x1",8.38333333333333,"6-9 min","local",-6,"rival",1,1,0.986195325919562
2022092506,2,2,11,33,43,"SHOTGUN","3x1",3.93333333333333,"9-12 min","visitante",14,"CIN",1,1,0.959887179591388
2022103100,3,1,10,41,69,"SHOTGUN","2x2",1.85,"12-15 min","visitante",-25,"CIN",1,1,0.721988801110778
2022103100,1,1,10,44,66,"SHOTGUN","2x2",12.3833333333333,"0-3 min","visitante",0,"rival",1,1,0.704436656885973
2022091103,5,2,4,38,48,"EMPTY","3x2",1.63333333333333,"12-15 min","local",0,"rival",1,1,0.663018855426361
2022091103,2,3,6,40,70,"EMPTY","3x2",2,"12-15 min","local",-14,"rival",1,1,0.982687009709626
2022100913,4,2,3,32,42,"SHOTGUN","2x2",8.98333333333333,"6-9 min","visitante",-6,"CIN",0,0,0.53620216500776
2022091103,5,2,10,13,23,"SINGLEBACK","3x1",4.11666666666667,"9-12 min","local",0,"rival",1,1,0.876364132106877
2022092506,3,1,10,25,85,"SINGLEBACK","3x1",0.683333333333333,"12-15 min","visitante",15,"CIN",0,0,0.510951333284105
2022092506,3,1,10,41,69,"SINGLEBACK","2x2",10.2666666666667,"3-6 min","visitante",18,"CIN",0,0,0.268245875010379
2022092506,3,1,10,48,58,"SINGLEBACK","3x1",8.45,"6-9 min","visitante",18,"rival",1,0,0.209918890364431
2022092506,1,3,12,12,22,"SHOTGUN","3x1",9.75,"3-6 min","visitante",0,"rival",1,1,0.986563703462851
2022091809,3,3,6,50,60,"EMPTY","3x2",11.9,"3-6 min","visitante",-14,"centro",1,1,0.98965780256786
2022102302,1,1,10,36,74,"SHOTGUN","2x2",0.816666666666667,"12-15 min","local",14,"CIN",1,1,0.814338884282878
2022092900,2,1,10,33,77,"SINGLEBACK","3x1",12.2666666666667,"0-3 min","local",4,"rival",1,0,0.508916268556896
2022091809,4,1,10,47,57,"SINGLEBACK","2x2",10.2333333333333,"3-6 min","visitante",-8,"CIN",0,0,0.331832608151534
2022103100,4,1,10,25,35,"SHOTGUN","2x2",8.76666666666667,"6-9 min","visitante",-26,"CIN",1,1,0.588909551563539
2022092506,1,2,12,12,22,"SHOTGUN","2x2",9.81666666666667,"3-6 min","visitante",0,"rival",1,1,0.834378965144051
2022101605,3,1,10,48,58,"SHOTGUN","2x2",5.26666666666667,"9-12 min","visitante",-9,"CIN",1,0,0.564827780389286
2022091809,3,1,10,26,84,"SINGLEBACK","3x1",1.08333333333333,"12-15 min","visitante",-8,"CIN",0,0,0.447848049069215
2022091103,1,2,9,38,72,"SHOTGUN","2x2",1.46666666666667,"12-15 min","local",-7,"CIN",1,1,0.706181104387515
2022101605,4,3,4,31,79,"SHOTGUN","3x1",10.4,"3-6 min","visitante",-5,"CIN",1,1,0.977667303065214
2022103100,3,3,6,29,81,"SHOTGUN","3x1",8.23333333333333,"6-9 min","visitante",-18,"CIN",1,1,0.96318379903352
2022102302,2,2,16,23,33,"SHOTGUN","2x2",3.25,"9-12 min","local",14,"CIN",1,1,0.968815087963335
2022101605,2,1,10,25,85,"SHOTGUN","2x2",10.4666666666667,"3-6 min","visitante",-10,"CIN",1,0,0.570508424509479
2022110602,4,1,10,23,87,"SINGLEBACK","2x2",7.75,"6-9 min","local",28,"CIN",0,0,0.193227720519369
2022101605,2,2,8,19,29,"SHOTGUN","2x2",5.95,"9-12 min","visitante",-10,"rival",1,1,0.906367690604512
2022101605,1,2,2,43,67,"SHOTGUN","2x2",4.4,"9-12 min","visitante",-7,"rival",0,0,0.521023617014401
2022092900,1,1,10,37,73,"SINGLEBACK","2x2",4.58333333333333,"9-12 min","local",4,"CIN",0,0,0.242867253685076
2022091103,1,1,10,34,44,"SHOTGUN","3x1",8.95,"6-9 min","local",-7,"rival",1,0,0.228758185238011
2022091103,1,1,10,22,88,"EMPTY","3x2",13.5166666666667,"0-3 min","local",0,"CIN",1,1,0.615459168161951
2022092900,3,1,10,47,57,"SHOTGUN","2x2",0.283333333333333,"12-15 min","local",-1,"CIN",1,1,0.601010334144812
2022092900,1,3,1,5,15,"SINGLEBACK","3x0",10.4333333333333,"3-6 min","local",0,"rival",0,1,0.581304679363094
2022091103,3,3,8,27,83,"SHOTGUN","3x1",13.75,"0-3 min","local",-11,"CIN",1,1,0.93157969868579
2022091103,1,2,10,35,75,"SINGLEBACK","3x1",5.13333333333333,"9-12 min","local",-4,"CIN",0,1,0.756220600665595
2022091103,4,2,10,13,97,"SHOTGUN","3x1",2.9,"12-15 min","local",-6,"rival",1,1,0.94716467461877
2022091103,3,1,10,24,34,"SHOTGUN","2x2",7.68333333333333,"6-9 min","local",-11,"rival",1,0,0.331587469458903
2022110602,1,2,1,32,78,"SHOTGUN","2x2",12.4,"0-3 min","local",0,"CIN",1,0,0.182125257933632
2022092900,2,2,5,30,40,"SHOTGUN","2x2",6.93333333333333,"6-9 min","local",1,"CIN",1,1,0.585960210156484
2022091103,3,1,4,4,14,"SINGLEBACK","3x1",6.2,"6-9 min","local",-11,"rival",0,1,0.642849157147628
2022101605,2,2,4,31,79,"SHOTGUN","2x2",9.78333333333333,"3-6 min","visitante",-10,"CIN",0,1,0.748655849735591
2022092900,3,1,10,36,46,"I_FORM","2x1",13.5,"0-3 min","local",2,"CIN",1,0,0.533387456354061
2022101605,1,2,2,42,52,"EMPTY","3x2",8.66666666666667,"6-9 min","visitante",-7,"CIN",1,1,0.584836659615967
2022103100,1,1,10,43,53,"SHOTGUN","3x1",6.16666666666667,"6-9 min","visitante",0,"CIN",1,1,0.707478291442723
2022101605,4,1,10,36,46,"EMPTY","3x2",6.53333333333333,"6-9 min","visitante",-5,"rival",1,1,0.851391121080526
2022102302,4,1,10,48,62,"SINGLEBACK","3x1",4.91666666666667,"9-12 min","local",18,"CIN",0,0,0.100359312699435
2022092506,2,2,4,4,106,"SHOTGUN","3x1",8.6,"6-9 min","visitante",8,"rival",0,1,0.734201302298149
2022110602,1,1,10,47,63,"SHOTGUN","3x1",11.95,"3-6 min","local",0,"CIN",1,1,0.630158810640227
2022100913,4,2,1,1,109,"I_FORM","2x1",2,"12-15 min","visitante",-6,"rival",0,0,0.248429289236212
2022091809,4,3,3,15,25,"SHOTGUN","3x1",1.23333333333333,"12-15 min","visitante",0,"CIN",1,1,0.974266074252706
2022100913,4,1,5,5,105,"SHOTGUN","2x2",2.66666666666667,"12-15 min","visitante",-6,"rival",0,1,0.862129433210835
2022110602,1,1,10,18,28,"SINGLEBACK","2x1",11.2,"3-6 min","local",0,"rival",0,1,0.600296362546967
2022110602,1,2,1,9,19,"SHOTGUN","2x2",10.45,"3-6 min","local",0,"rival",0,0,0.0601638317937911
2022100913,3,2,6,29,81,"SHOTGUN","3x1",10.25,"3-6 min","visitante",-3,"CIN",1,0,0.544323600531199
2022091103,2,2,8,27,37,"SHOTGUN","3x1",8.25,"6-9 min","local",-14,"CIN",1,1,0.76446562447949
2022091103,5,3,4,38,48,"SHOTGUN","3x1",1.56666666666667,"12-15 min","local",0,"rival",1,1,0.987618553241951
2022091103,5,1,10,40,50,"SHOTGUN","2x2",6.13333333333333,"6-9 min","local",0,"rival",0,1,0.702531710178385
2022092900,1,3,8,39,71,"SHOTGUN","2x2",3.78333333333333,"9-12 min","local",4,"CIN",1,1,0.974319907643917
2022110602,2,2,11,27,83,"SHOTGUN","2x2",9.95,"3-6 min","local",14,"rival",1,1,0.880442065670164
2022091103,2,1,10,43,67,"SHOTGUN","3x1",5.55,"9-12 min","local",-14,"rival",1,0,0.29157682886972
2022101605,1,1,10,34,44,"SHOTGUN","3x1",9.35,"3-6 min","visitante",-7,"CIN",1,1,0.697974823883007
2022091809,3,3,4,41,69,"SHOTGUN","2x2",13.7666666666667,"0-3 min","visitante",-14,"CIN",1,1,0.992176768026735
2022101605,1,2,9,9,101,"EMPTY","3x2",0.933333333333333,"12-15 min","visitante",-7,"rival",1,1,0.971335306006423
2022091103,2,2,10,44,66,"SHOTGUN","2x2",2.61666666666667,"12-15 min","local",-14,"rival",0,1,0.829133254252163
2022091809,4,1,7,7,103,"SINGLEBACK","2x1",4.61666666666667,"9-12 min","visitante",-8,"rival",0,1,0.636103784342449
2022092900,4,1,10,36,46,"SINGLEBACK","2x1",7.18333333333333,"6-9 min","local",2,"rival",0,0,0.434536697663563
