"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022100902,4,2,10,35,75,0.433333333333333,"12-15 min","local",-2,"rival",1,1,0.974250828428056
2022103100,4,2,5,40,50,5.95,"9-12 min","local",19,"rival",0,0,0.0262426242320565
2022100902,2,2,2,36,46,1.48333333333333,"12-15 min","local",4,"CLE",1,0,0.152887844219656
2022103100,4,1,10,45,55,6.66666666666667,"6-9 min","local",19,"rival",0,0,0.0290924682206946
2022091101,2,1,10,40,50,1.95,"12-15 min","visitante",7,"CLE",1,0,0.0120826761906685
2022100201,3,1,10,32,78,4.73333333333333,"9-12 min","visitante",0,"rival",1,0,0.374345703021787
2022100902,2,2,6,36,46,12.7666666666667,"0-3 min","local",4,"CLE",0,1,0.599856108111356
2022092200,2,3,3,13,97,9.73333333333333,"3-6 min","local",0,"rival",0,1,0.911476216151205
2022103100,1,2,4,22,88,10.1,"3-6 min","local",0,"CLE",1,1,0.728464844323221
2022092200,4,1,10,46,64,1.76666666666667,"12-15 min","local",6,"rival",0,0,0.0717900934620603
2022100201,4,2,7,41,69,5.38333333333333,"9-12 min","visitante",0,"CLE",1,1,0.643946749187934
2022100902,4,2,10,44,66,6.03333333333333,"6-9 min","local",-2,"rival",0,1,0.4474784790379
2022091801,3,2,10,20,30,4.8,"9-12 min","local",3,"CLE",1,1,0.930807780383619
2022091101,1,3,4,49,59,3.65,"9-12 min","visitante",0,"rival",0,1,0.862782020500905
2022103100,2,2,11,24,34,13.3,"0-3 min","local",0,"CLE",1,0,0.177041761820862
2022100902,2,2,3,3,107,3.76666666666667,"9-12 min","local",-3,"rival",0,1,0.705033388827459
2022092200,3,2,7,24,34,3.8,"9-12 min","local",-1,"rival",1,1,0.560053414550585
2022101601,4,1,20,25,35,8.58333333333333,"6-9 min","local",-15,"CLE",1,1,0.607081988273309
2022091101,4,2,11,42,68,2.53333333333333,"12-15 min","visitante",2,"CLE",1,0,0.331588181052517
2022101601,4,3,15,30,40,7.75,"6-9 min","local",-15,"CLE",1,1,0.997495998417327
2022091801,4,1,10,38,72,12.3833333333333,"0-3 min","local",0,"CLE",0,1,0.84035445673582
2022101601,4,1,10,32,42,3.25,"9-12 min","local",-23,"CLE",1,1,0.503776520910577
2022101601,1,1,10,38,48,0.783333333333333,"12-15 min","local",0,"rival",1,1,0.862241845429024
2022091801,3,2,5,25,35,14.2666666666667,"0-3 min","local",0,"CLE",1,0,0.300822226739718
2022100201,3,2,10,32,78,4.03333333333333,"9-12 min","visitante",0,"rival",1,0,0.318732343622576
2022100902,1,2,9,26,84,14.35,"0-3 min","local",0,"CLE",1,1,0.560558428978745
2022102300,1,1,8,8,102,9.08333333333333,"3-6 min","visitante",0,"rival",0,1,0.432499970539796
2022101601,2,1,10,13,23,11.5833333333333,"3-6 min","local",0,"CLE",0,0,0.151445722963696
2022100902,4,1,10,35,75,0.783333333333333,"12-15 min","local",-2,"rival",0,1,0.887544274743435
2022103100,3,3,7,40,50,12.4833333333333,"0-3 min","local",11,"CLE",1,1,0.664595809470974
2022091101,3,1,10,35,75,10.3833333333333,"3-6 min","visitante",10,"rival",0,0,0.0341487452272048
2022100902,4,1,10,34,44,8.88333333333333,"6-9 min","local",-2,"CLE",0,0,0.0809352745767953
2022092200,4,1,10,23,87,13.5166666666667,"0-3 min","local",2,"rival",0,0,0.0273382999682688
2022091101,2,1,9,9,101,0.666666666666667,"12-15 min","visitante",7,"rival",1,0,0.268858252273709
2022091801,3,1,10,31,41,12.9,"0-3 min","local",0,"CLE",1,0,0.232768942582475
2022100201,2,3,11,11,99,0.266666666666667,"12-15 min","visitante",-3,"rival",1,1,0.996698947423409
