"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022100902,4,2,10,35,75,"SHOTGUN","2x2",0.433333333333333,"12-15 min","local",-2,"rival",1,1,0.962332512033871
2022103100,4,2,5,40,50,"SINGLEBACK","2x1",5.95,"9-12 min","local",19,"rival",0,0,0.00896070405447087
2022100902,2,2,2,36,46,"SHOTGUN","2x2",1.48333333333333,"12-15 min","local",4,"CLE",1,0,0.104730424892703
2022103100,4,1,10,45,55,"SINGLEBACK","2x1",6.66666666666667,"6-9 min","local",19,"rival",0,0,0.00933279869240582
2022091101,2,1,10,40,50,"SINGLEBACK","2x2",1.95,"12-15 min","visitante",7,"CLE",1,0,0.0083607992372775
2022100201,3,1,10,32,78,"SINGLEBACK","2x2",4.73333333333333,"9-12 min","visitante",0,"rival",1,1,0.520376375786499
2022100902,2,2,6,36,46,"SINGLEBACK","2x1",12.7666666666667,"0-3 min","local",4,"CLE",0,1,0.701702898208779
2022092200,2,3,3,13,97,"SHOTGUN","3x1",9.73333333333333,"3-6 min","local",0,"rival",0,1,0.940550668092497
2022103100,1,2,4,22,88,"SHOTGUN","2x1",10.1,"3-6 min","local",0,"CLE",1,1,0.722386429204355
2022092200,4,1,10,46,64,"SINGLEBACK","2x1",1.76666666666667,"12-15 min","local",6,"rival",0,0,0.0476595300837116
2022100201,4,2,7,41,69,"SINGLEBACK","3x1",5.38333333333333,"9-12 min","visitante",0,"CLE",1,1,0.635818395520447
2022100902,4,2,10,44,66,"SHOTGUN","2x2",6.03333333333333,"6-9 min","local",-2,"rival",0,1,0.628056589889901
2022091801,3,2,10,20,30,"SHOTGUN","3x1",4.8,"9-12 min","local",3,"CLE",1,1,0.861082875896654
2022091101,1,3,4,49,59,"SHOTGUN","3x1",3.65,"9-12 min","visitante",0,"rival",0,1,0.774145424092685
2022103100,2,2,11,24,34,"SHOTGUN","3x1",13.3,"0-3 min","local",0,"CLE",1,0,0.29054955640316
2022100902,2,2,3,3,107,"SHOTGUN","2x2",3.76666666666667,"9-12 min","local",-3,"rival",0,1,0.652880929083805
2022092200,3,2,7,24,34,"EMPTY","3x2",3.8,"9-12 min","local",-1,"rival",1,1,0.707131553586987
2022101601,4,1,20,25,35,"SHOTGUN","3x1",8.58333333333333,"6-9 min","local",-15,"CLE",1,1,0.671679384039609
2022091101,4,2,11,42,68,"SINGLEBACK","2x1",2.53333333333333,"12-15 min","visitante",2,"CLE",1,0,0.123703631849306
2022101601,4,3,15,30,40,"SHOTGUN","2x2",7.75,"6-9 min","local",-15,"CLE",1,1,0.99969887630204
2022091801,4,1,10,38,72,"SHOTGUN","3x1",12.3833333333333,"0-3 min","local",0,"CLE",0,1,0.807693018669803
2022101601,4,1,10,32,42,"SHOTGUN","3x1",3.25,"9-12 min","local",-23,"CLE",1,1,0.534004498893975
2022101601,1,1,10,38,48,"SINGLEBACK","3x1",0.783333333333333,"12-15 min","local",0,"rival",1,1,0.837565018856413
2022091801,3,2,5,25,35,"SINGLEBACK","2x2",14.2666666666667,"0-3 min","local",0,"CLE",1,0,0.290054263425907
2022100201,3,2,10,32,78,"SINGLEBACK","2x2",4.03333333333333,"9-12 min","visitante",0,"rival",1,1,0.459374038465952
2022100902,1,2,9,26,84,"EMPTY","3x2",14.35,"0-3 min","local",0,"CLE",1,1,0.569440568198399
