"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022100204,2,3,8,35,45,5.36666666666667,"9-12 min","local",-1,"DAL",1,1,0.886300943964389
2022103002,1,1,10,31,79,11.65,"3-6 min","local",0,"rival",1,0,0.0463235283353711
2022092600,4,1,10,37,73,10.1,"3-6 min","visitante",0,"rival",1,0,0.340377643658113
2022103002,2,2,10,37,47,8.21666666666667,"6-9 min","local",14,"rival",1,1,0.630074996398316
2022100912,3,2,4,11,99,2.15,"12-15 min","visitante",9,"DAL",0,1,0.948434109388358
2022101611,2,3,9,26,36,5.4,"9-12 min","visitante",-17,"DAL",1,1,0.93630969741972
2022101611,1,3,2,24,86,14.2166666666667,"0-3 min","visitante",0,"DAL",0,1,0.513535380015874
2022091809,1,1,10,36,74,13.9,"0-3 min","local",0,"DAL",1,0,0.0241787508284031
2022092600,3,1,10,42,68,4.85,"9-12 min","visitante",-7,"DAL",0,1,0.856484010755623
2022102303,1,3,8,27,83,14.2833333333333,"0-3 min","local",0,"DAL",1,1,0.924661636975279
2022100204,1,1,10,10,100,7.01666666666667,"6-9 min","local",3,"DAL",0,1,0.483448603640097
2022100912,4,1,10,48,58,11.15,"3-6 min","visitante",9,"DAL",0,0,0.0827674504264878
2022100204,2,2,5,29,81,2.68333333333333,"12-15 min","local",-1,"rival",0,0,0.367722901227273
2022092600,2,1,10,17,93,10.6833333333333,"3-6 min","visitante",0,"rival",0,0,0.0888035793702799
2022091113,4,2,8,50,60,11.5333333333333,"3-6 min","local",-16,"centro",1,0,0.444587289193392
2022091809,4,3,7,46,64,13.4333333333333,"0-3 min","local",8,"DAL",1,1,0.987782210688873
2022091113,3,1,15,46,64,0.316666666666667,"12-15 min","local",-16,"DAL",0,1,0.988900417522046
2022091809,1,2,7,9,19,8.68333333333333,"6-9 min","local",0,"rival",1,0,0.182198395142224
2022101611,3,1,10,43,53,10.9333333333333,"3-6 min","visitante",-17,"DAL",1,0,0.382878024252837
2022091113,4,1,10,14,24,7,"6-9 min","local",-16,"DAL",1,1,0.750979210584709
2022101611,3,2,8,23,33,12.3666666666667,"0-3 min","visitante",-17,"DAL",1,1,0.553288185667862
2022091113,3,2,10,38,72,1.1,"12-15 min","local",-16,"DAL",1,1,0.993432666378997
2022102303,2,2,2,32,42,3.6,"9-12 min","local",-3,"DAL",1,0,0.145002877414828
2022091113,4,4,15,42,68,3.35,"9-12 min","local",-16,"rival",1,1,0.988923346131046
