"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022100204,2,3,8,35,45,"SHOTGUN","3x1",5.36666666666667,"9-12 min","local",-1,"DAL",1,1,0.819111183074779
2022103002,1,1,10,31,79,"SINGLEBACK","2x2",11.65,"3-6 min","local",0,"rival",1,0,0.308010195897254
2022092600,4,1,10,37,73,"SINGLEBACK","2x2",10.1,"3-6 min","visitante",0,"rival",1,0,0.390354546575939
2022103002,2,2,10,37,47,"SINGLEBACK","2x2",8.21666666666667,"6-9 min","local",14,"rival",1,0,0.493013553016877
2022100912,3,2,4,11,99,"SINGLEBACK","2x2",2.15,"12-15 min","visitante",9,"DAL",0,1,0.812912358540819
2022101611,2,3,9,26,36,"SHOTGUN","3x1",5.4,"9-12 min","visitante",-17,"DAL",1,1,0.67320678416232
2022101611,1,3,2,24,86,"SHOTGUN","3x1",14.2166666666667,"0-3 min","visitante",0,"DAL",0,0,0.492383928739473
2022091809,1,1,10,36,74,"EMPTY","4x1",13.9,"0-3 min","local",0,"DAL",1,0,0.290419162909751
2022092600,3,1,10,42,68,"SHOTGUN","2x2",4.85,"9-12 min","visitante",-7,"DAL",0,1,0.676837253516556
2022102303,1,3,8,27,83,"SHOTGUN","2x1",14.2833333333333,"0-3 min","local",0,"DAL",1,1,0.818334201530944
2022100204,1,1,10,10,100,"SINGLEBACK","3x1",7.01666666666667,"6-9 min","local",3,"DAL",0,0,0.417053633432004
2022100912,4,1,10,48,58,"SINGLEBACK","2x2",11.15,"3-6 min","visitante",9,"DAL",0,0,0.383905294356743
2022100204,2,2,5,29,81,"SINGLEBACK","2x2",2.68333333333333,"12-15 min","local",-1,"rival",0,1,0.517016962536649
2022092600,2,1,10,17,93,"SINGLEBACK","2x2",10.6833333333333,"3-6 min","visitante",0,"rival",0,0,0.299828748897703
2022091113,4,2,8,50,60,"SHOTGUN","3x1",11.5333333333333,"3-6 min","local",-16,"centro",1,1,0.619472315424939
2022091809,4,3,7,46,64,"EMPTY","3x2",13.4333333333333,"0-3 min","local",8,"DAL",1,1,0.81791943269342
2022091113,3,1,15,46,64,"SINGLEBACK","3x1",0.316666666666667,"12-15 min","local",-16,"DAL",0,1,0.878192413682892
2022091809,1,2,7,9,19,"WILDCAT","3x1",8.68333333333333,"6-9 min","local",0,"rival",1,0,0.497751025907169
2022101611,3,1,10,43,53,"SINGLEBACK","2x2",10.9333333333333,"3-6 min","visitante",-17,"DAL",1,0,0.3354315361331
2022091113,4,1,10,14,24,"SHOTGUN","2x2",7,"6-9 min","local",-16,"DAL",1,1,0.647810207002253
2022101611,3,2,8,23,33,"SINGLEBACK","3x1",12.3666666666667,"0-3 min","visitante",-17,"DAL",1,0,0.395184330427015
2022091113,3,2,10,38,72,"SHOTGUN","3x1",1.1,"12-15 min","local",-16,"DAL",1,1,0.920078462123334
2022102303,2,2,2,32,42,"SHOTGUN","2x2",3.6,"9-12 min","local",-3,"DAL",1,1,0.515252765509237
2022091113,4,4,15,42,68,"SHOTGUN","3x1",3.35,"9-12 min","local",-16,"rival",1,1,0.903509766032981
2022103002,3,1,10,30,40,"SINGLEBACK","2x2",8.15,"6-9 min","local",5,"rival",0,0,0.371018556667506
2022101611,3,1,10,37,73,"SINGLEBACK","2x2",2.15,"12-15 min","visitante",-10,"rival",0,1,0.766647264720586
2022102303,4,2,4,48,62,"SINGLEBACK","2x1",7.85,"6-9 min","local",4,"rival",0,1,0.567022062158264
2022091809,1,1,10,23,33,"SHOTGUN","2x2",10.4833333333333,"3-6 min","local",0,"rival",0,0,0.29469775510979
2022101611,2,1,10,25,35,"SHOTGUN","2x2",6.61666666666667,"6-9 min","visitante",-17,"DAL",1,0,0.30490901601132
2022103002,4,1,10,21,31,"SINGLEBACK","3x1",13.5833333333333,"0-3 min","local",13,"DAL",0,0,0.234818237298531
2022103002,2,1,10,25,85,"SHOTGUN","3x1",0.666666666666667,"12-15 min","local",14,"DAL",1,0,0.316318464446863
2022091809,2,2,8,27,37,"SINGLEBACK","3x1",13.4166666666667,"0-3 min","local",11,"DAL",0,0,0.415273403115948
2022102303,3,2,1,32,42,"SINGLEBACK","2x2",6.21666666666667,"6-9 min","local",4,"rival",0,0,0.323048700668104
2022102303,2,2,20,15,25,"SHOTGUN","3x1",7,"6-9 min","local",-3,"DAL",1,1,0.530387928568849
2022100204,4,3,12,46,64,"SHOTGUN","3x1",2.4,"12-15 min","local",15,"rival",0,1,0.864781159973051
2022100912,3,1,10,5,105,"SINGLEBACK","2x1",2.76666666666667,"12-15 min","visitante",9,"DAL",0,0,0.302300491737593
2022091809,1,3,10,25,85,"SHOTGUN","3x1",1.53333333333333,"12-15 min","local",4,"DAL",1,1,0.883075906184599
2022100204,2,2,8,35,45,"SHOTGUN","2x2",5.43333333333333,"9-12 min","local",-1,"DAL",1,1,0.522648001039061
2022101611,2,4,1,34,44,"SINGLEBACK","2x2",9.5,"3-6 min","visitante",-14,"DAL",1,0,0.502943669013119
2022103002,2,1,10,18,28,"JUMBO","2x1",10.9333333333333,"3-6 min","local",7,"rival",0,0,0.256431320022609
2022091113,1,3,8,40,50,"SHOTGUN","3x1",10.45,"3-6 min","local",0,"rival",1,1,0.80186818544756
2022092600,4,1,10,11,21,"SHOTGUN","2x2",14.7,"0-3 min","visitante",0,"DAL",0,0,0.355927629347928
2022100912,2,1,10,25,85,"SINGLEBACK","2x2",9.51666666666667,"3-6 min","visitante",-1,"DAL",0,0,0.311160306938736
2022091113,2,1,10,37,47,"SINGLEBACK","2x2",2.16666666666667,"12-15 min","local",-6,"DAL",1,1,0.724440985010683
2022101611,3,2,14,24,86,"SHOTGUN","2x2",0.25,"12-15 min","visitante",-10,"rival",0,1,0.778529510335639
2022091809,2,1,10,22,32,"SINGLEBACK","2x2",5.2,"9-12 min","local",11,"DAL",0,0,0.253963445304479
