"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022100211,4,1,10,42,68,2.93333333333333,"12-15 min","local",0,"rival",0,1,0.860893184011106
2022101602,1,1,10,25,35,15,"0-3 min","local",0,"GB",0,0,0.334629881749079
2022110603,1,2,1,50,60,8.53333333333333,"6-9 min","visitante",0,"centro",1,0,0.157696872987919
2022110603,1,2,3,26,84,5.91666666666667,"9-12 min","visitante",0,"rival",1,0,0.347144153918223
2022091112,1,2,8,40,50,2.78333333333333,"12-15 min","visitante",-7,"rival",1,1,0.937446020841119
2022101602,2,2,4,30,80,9.4,"3-6 min","local",0,"GB",0,1,0.641877972555674
2022091112,3,2,6,29,39,9.1,"3-6 min","visitante",-20,"GB",0,0,0.329185594750053
2022103012,4,1,10,47,57,12.5666666666667,"0-3 min","visitante",-17,"GB",1,1,0.676833023405777
2022101602,2,1,10,25,85,5.76666666666667,"9-12 min","local",-3,"GB",1,0,0.261519709105917
2022100211,4,2,10,43,53,3.73333333333333,"9-12 min","local",0,"GB",1,1,0.893285552468234
2022102306,4,1,10,44,66,4.08333333333333,"9-12 min","visitante",-9,"rival",1,1,0.701599141238614
2022101602,4,3,22,45,65,9.98333333333333,"3-6 min","local",-14,"rival",1,1,0.993533143714487
2022103012,3,1,5,13,97,14.45,"0-3 min","visitante",-17,"GB",0,0,0.0435513307124405
2022103012,1,1,10,20,90,3.45,"9-12 min","visitante",-7,"GB",1,0,0.528376445257044
2022091812,3,2,5,19,29,12.3166666666667,"0-3 min","local",17,"GB",0,0,0.395061070253792
2022102306,3,2,6,43,67,9.83333333333333,"3-6 min","visitante",-3,"GB",0,1,0.81154641603676
2022091812,1,1,10,25,85,15,"0-3 min","local",0,"GB",0,0,0.250307694143003
2022091112,4,2,10,49,59,4.5,"9-12 min","visitante",-16,"rival",1,1,0.978797086998567
2022100211,4,2,8,18,92,7.06666666666667,"6-9 min","local",-7,"rival",0,1,0.765717406168544
2022100211,2,1,10,35,45,0.116666666666667,"12-15 min","local",-3,"GB",1,1,0.732796859382684
2022110603,4,2,9,26,36,14.3333333333333,"0-3 min","visitante",-9,"GB",1,0,0.251886508535675
2022102306,4,1,10,21,89,3.55,"9-12 min","visitante",-9,"rival",1,1,0.811505348393715
2022110603,2,2,10,45,55,4.26666666666667,"9-12 min","visitante",0,"rival",1,0,0.420045957338326
2022091812,2,2,1,5,105,0.583333333333333,"12-15 min","local",10,"rival",1,1,0.607753487879627
2022102306,1,3,4,42,52,12.3,"0-3 min","visitante",0,"GB",1,1,0.821372332243072
2022100211,4,2,7,44,66,9.06666666666667,"3-6 min","local",-7,"rival",1,1,0.683684701551054
2022103012,4,1,10,5,15,10.0833333333333,"3-6 min","visitante",-17,"GB",0,1,0.874816333144525
2022103012,4,1,10,37,73,0.966666666666667,"12-15 min","visitante",-10,"rival",1,1,0.992335352311375
2022100900,4,3,2,36,46,3.31666666666667,"9-12 min","local",-7,"rival",1,1,0.98796270044334
2022091112,4,1,10,8,102,1.03333333333333,"12-15 min","visitante",-16,"GB",1,1,0.849492816567804
2022100211,3,1,10,49,59,14.0666666666667,"0-3 min","local",-3,"rival",0,0,0.391982525230881
2022103012,2,1,10,21,31,1.83333333333333,"12-15 min","visitante",-14,"GB",0,1,0.638743118204912
2022101602,1,1,10,21,31,12.4666666666667,"0-3 min","local",0,"GB",0,1,0.559609803794568
2022110603,4,1,20,31,79,8.25,"6-9 min","visitante",-9,"rival",1,1,0.74288691846133
2022100900,4,1,10,45,65,4.76666666666667,"9-12 min","local",-7,"GB",0,0,0.360539729526337
2022102306,2,1,10,41,69,1.91666666666667,"12-15 min","visitante",4,"GB",1,0,0.346223313678672
2022091812,1,2,1,43,53,2.13333333333333,"12-15 min","local",-4,"rival",0,1,0.582964090722344
2022092512,2,1,10,38,72,11.1333333333333,"3-6 min","visitante",4,"rival",0,1,0.792602721811908
2022100211,5,2,3,42,52,4.78333333333333,"9-12 min","local",0,"GB",0,1,0.881740912046766
2022103012,2,1,10,46,56,11.45,"3-6 min","visitante",-14,"GB",1,0,0.0331431226811653
2022100211,2,3,9,32,42,0.366666666666667,"12-15 min","local",4,"GB",1,1,0.986401773519267
2022091112,2,2,10,25,35,3.8,"9-12 min","visitante",-10,"GB",1,1,0.739069937624556
2022100900,2,3,10,29,81,0.516666666666667,"12-15 min","local",7,"rival",1,1,0.936480387855695
2022092512,1,1,10,29,81,0.55,"12-15 min","visitante",4,"GB",0,1,0.645506130157863
2022102306,2,3,11,40,70,1.65,"12-15 min","visitante",4,"GB",1,1,0.975750064165666
2022091112,3,2,8,20,30,14.2166666666667,"0-3 min","visitante",-17,"GB",1,1,0.860713096264678
2022092512,3,1,10,44,54,0.583333333333333,"12-15 min","visitante",8,"GB",0,1,0.89614737622611
2022101602,4,4,2,33,43,2,"12-15 min","local",-17,"GB",1,1,0.968682638152116
2022103012,1,1,10,39,71,12.0833333333333,"0-3 min","visitante",0,"GB",1,0,0.124293589536175
2022091812,1,3,7,36,46,12.3666666666667,"0-3 min","local",0,"rival",1,1,0.986170834590197
2022091112,1,2,6,50,60,4.83333333333333,"9-12 min","visitante",-7,"centro",0,1,0.699973596130141
2022101602,3,2,10,30,80,7.96666666666667,"6-9 min","local",-7,"GB",0,1,0.742758235897448
2022101602,1,2,8,42,52,5.53333333333333,"9-12 min","local",0,"GB",1,1,0.938812945560648
2022102306,3,1,10,25,85,11.8166666666667,"3-6 min","visitante",-3,"GB",1,0,0.403463794848247
2022110603,4,2,8,12,98,7.41666666666667,"6-9 min","visitante",-9,"rival",1,1,0.740418908294238
2022092512,1,2,12,14,24,3.78333333333333,"9-12 min","visitante",-3,"rival",1,1,0.877341896477538
2022110603,4,1,10,34,76,10.0833333333333,"3-6 min","visitante",-9,"rival",1,0,0.403082416650723
2022110603,4,1,10,43,53,13.75,"0-3 min","visitante",-9,"GB",1,0,0.0786705257360581
2022110603,3,3,4,39,71,14.1166666666667,"0-3 min","visitante",-8,"GB",1,1,0.848789070314964
2022100211,1,1,10,40,50,3.86666666666667,"9-12 min","local",-3,"rival",0,0,0.304918615451166
2022091112,1,3,8,40,50,2.73333333333333,"12-15 min","visitante",-7,"rival",1,1,0.99536085745408
2022100900,2,1,10,29,81,0.633333333333333,"12-15 min","local",7,"rival",1,1,0.880559495336568
2022100211,3,3,10,19,91,14.8,"0-3 min","local",-3,"GB",1,1,0.911609444150214
2022103012,3,1,10,44,54,13.2333333333333,"0-3 min","visitante",-17,"rival",0,0,0.0149128165764089
2022092512,1,1,10,25,85,9.08333333333333,"3-6 min","visitante",-3,"GB",0,0,0.509614704742978
2022092512,3,2,11,39,49,4.98333333333333,"9-12 min","visitante",8,"GB",1,1,0.779151584521371
2022100900,1,1,10,25,85,0.15,"12-15 min","local",7,"GB",0,1,0.646623539611265
2022091112,4,1,10,49,59,4.6,"9-12 min","visitante",-16,"rival",1,1,0.974945517354261
2022100211,2,1,10,20,30,9.86666666666667,"3-6 min","local",4,"GB",1,0,0.296409296095866
2022103012,4,2,10,37,73,0.9,"12-15 min","visitante",-10,"rival",1,1,0.994586536854246
2022100211,2,2,5,35,75,15,"0-3 min","local",-3,"rival",0,1,0.79670899161066
2022100211,3,1,10,21,89,4.8,"9-12 min","local",-3,"GB",1,0,0.251019299722987
2022102306,4,2,10,46,56,0.0833333333333333,"12-15 min","visitante",-2,"GB",1,1,0.970098907983126
2022110603,1,3,1,1,109,0.65,"12-15 min","visitante",0,"rival",0,0,0.477790645715594
2022091112,2,2,3,13,97,10.8,"3-6 min","visitante",-7,"rival",1,0,0.312732804570372
2022091812,1,2,4,31,79,4.08333333333333,"9-12 min","local",-4,"GB",0,0,0.426113421483471
2022103012,2,3,1,43,53,12.0833333333333,"0-3 min","visitante",-14,"GB",0,0,0.0615811419355837
2022103012,1,3,2,36,74,12.6666666666667,"0-3 min","visitante",0,"GB",1,0,0.432264107268699
2022100900,4,2,8,47,63,4.08333333333333,"9-12 min","local",-7,"GB",1,1,0.62514880599803
2022102306,1,2,4,4,106,6.75,"6-9 min","visitante",0,"rival",1,0,0.439738444520644
2022110603,1,3,10,25,35,9.93333333333333,"3-6 min","visitante",0,"GB",1,1,0.946353332266809
2022110603,1,1,10,33,77,6.5,"6-9 min","visitante",0,"rival",0,0,0.167493991906989
2022110603,2,4,1,1,11,15,"0-3 min","visitante",0,"rival",1,0,0.414069952797962
2022100211,1,1,10,20,90,5,"9-12 min","local",-3,"GB",0,0,0.317445788731099
2022110603,3,1,10,23,33,10.1,"3-6 min","visitante",-8,"rival",0,1,0.676731547329922
2022101602,3,1,10,30,80,8.1,"6-9 min","local",-7,"GB",1,1,0.532596292333907
2022092512,3,1,10,25,35,6.36666666666667,"6-9 min","visitante",8,"GB",1,0,0.34919899419674
2022110603,3,3,11,44,54,12.1166666666667,"0-3 min","visitante",-8,"rival",1,1,0.894725330634384
2022100211,4,1,10,25,35,11.2333333333333,"3-6 min","local",-7,"GB",1,0,0.0762429109423319
2022103012,1,2,8,30,80,13.3333333333333,"0-3 min","visitante",0,"GB",0,1,0.548843905631324
2022091112,3,3,1,27,37,13.7333333333333,"0-3 min","visitante",-17,"GB",0,0,0.0968969424893706
2022101602,1,1,10,27,37,2.36666666666667,"12-15 min","local",0,"GB",1,1,0.664802009566584
2022091112,3,1,10,22,88,6.88333333333333,"6-9 min","visitante",-20,"rival",0,0,0.293220371937848
2022110603,4,1,10,14,96,8.06666666666667,"6-9 min","visitante",-9,"rival",1,1,0.578882995771005
2022110603,2,2,3,19,91,8.06666666666667,"6-9 min","visitante",0,"GB",1,0,0.354762827027969
2022100211,3,1,10,37,73,4.21666666666667,"9-12 min","local",-3,"GB",0,0,0.251978605938421
2022091112,2,3,7,7,103,8.65,"6-9 min","visitante",-7,"rival",1,1,0.807021850436399
2022103012,4,2,1,26,36,2.11666666666667,"12-15 min","visitante",-10,"GB",1,1,0.935322093573978
2022110603,1,2,10,25,35,10,"3-6 min","visitante",0,"GB",1,1,0.665721108874206
2022101602,3,2,8,49,59,6.58333333333333,"6-9 min","local",-7,"rival",1,1,0.728703439966204
2022101602,2,1,10,47,57,0.433333333333333,"12-15 min","local",-3,"rival",1,1,0.7980215970439
2022092512,1,1,10,12,22,4.55,"9-12 min","visitante",-3,"rival",0,0,0.148950062546842
2022091112,2,1,9,9,101,10.1666666666667,"3-6 min","visitante",-7,"rival",0,1,0.766083295989898
2022110603,1,2,1,1,109,0.7,"12-15 min","visitante",0,"rival",1,1,0.574360468476149
2022092512,3,2,9,26,36,13.75,"0-3 min","visitante",11,"GB",0,1,0.676014210970624
2022091812,2,2,2,33,77,8.21666666666667,"6-9 min","local",3,"rival",0,0,0.511994991021379
2022103012,1,2,10,20,90,3.31666666666667,"9-12 min","visitante",-7,"GB",1,1,0.793456199079134
2022091812,2,2,2,46,64,9.48333333333333,"3-6 min","local",3,"rival",0,1,0.876323222677672
