"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022100211,4,1,10,42,68,2.93333333333333,"12-15 min","local",0,"rival",0,1,0.84166377440241
2022101602,1,1,10,25,35,15,"0-3 min","local",0,"GB",0,0,0.263026937504541
2022110603,1,2,1,50,60,8.53333333333333,"6-9 min","visitante",0,"centro",1,0,0.195963831347737
2022110603,1,2,3,26,84,5.91666666666667,"9-12 min","visitante",0,"rival",1,0,0.397766828433043
2022091112,1,2,8,40,50,2.78333333333333,"12-15 min","visitante",-7,"rival",1,1,0.952594564193045
2022101602,2,2,4,30,80,9.4,"3-6 min","local",0,"GB",0,1,0.664281054081372
2022091112,3,2,6,29,39,9.1,"3-6 min","visitante",-20,"GB",0,0,0.335146658410245
2022103012,4,1,10,47,57,12.5666666666667,"0-3 min","visitante",-17,"GB",1,1,0.616919821656932
2022101602,2,1,10,25,85,5.76666666666667,"9-12 min","local",-3,"GB",1,0,0.196293453707866
2022100211,4,2,10,43,53,3.73333333333333,"9-12 min","local",0,"GB",1,1,0.860841264680378
2022102306,4,1,10,44,66,4.08333333333333,"9-12 min","visitante",-9,"rival",1,1,0.719342288838169
2022101602,4,3,22,45,65,9.98333333333333,"3-6 min","local",-14,"rival",1,1,0.990744870668671
2022103012,3,1,5,13,97,14.45,"0-3 min","visitante",-17,"GB",0,0,0.0299827037091181
2022103012,1,1,10,20,90,3.45,"9-12 min","visitante",-7,"GB",1,0,0.478359016631753
2022091812,3,2,5,19,29,12.3166666666667,"0-3 min","local",17,"GB",0,0,0.37858306494849
2022102306,3,2,6,43,67,9.83333333333333,"3-6 min","visitante",-3,"GB",0,1,0.868912418263289
2022091812,1,1,10,25,85,15,"0-3 min","local",0,"GB",0,0,0.242795602727724
2022091112,4,2,10,49,59,4.5,"9-12 min","visitante",-16,"rival",1,1,0.978616700538193
2022100211,4,2,8,18,92,7.06666666666667,"6-9 min","local",-7,"rival",0,1,0.862501739698291
2022100211,2,1,10,35,45,0.116666666666667,"12-15 min","local",-3,"GB",1,1,0.748935292504656
2022110603,4,2,9,26,36,14.3333333333333,"0-3 min","visitante",-9,"GB",1,0,0.376184355399572
2022102306,4,1,10,21,89,3.55,"9-12 min","visitante",-9,"rival",1,1,0.869346018014384
2022110603,2,2,10,45,55,4.26666666666667,"9-12 min","visitante",0,"rival",1,0,0.387763463517573
2022091812,2,2,1,5,105,0.583333333333333,"12-15 min","local",10,"rival",1,1,0.582974093317159
2022102306,1,3,4,42,52,12.3,"0-3 min","visitante",0,"GB",1,1,0.842011603134962
2022100211,4,2,7,44,66,9.06666666666667,"3-6 min","local",-7,"rival",1,1,0.760108137309686
2022103012,4,1,10,5,15,10.0833333333333,"3-6 min","visitante",-17,"GB",0,1,0.806390859387823
2022103012,4,1,10,37,73,0.966666666666667,"12-15 min","visitante",-10,"rival",1,1,0.993047164825829
2022100900,4,3,2,36,46,3.31666666666667,"9-12 min","local",-7,"rival",1,1,0.982786013723904
2022091112,4,1,10,8,102,1.03333333333333,"12-15 min","visitante",-16,"GB",1,1,0.839631569709495
2022100211,3,1,10,49,59,14.0666666666667,"0-3 min","local",-3,"rival",0,0,0.350678288712139
2022103012,2,1,10,21,31,1.83333333333333,"12-15 min","visitante",-14,"GB",0,1,0.535487842837409
2022101602,1,1,10,21,31,12.4666666666667,"0-3 min","local",0,"GB",0,1,0.66172809203685
2022110603,4,1,20,31,79,8.25,"6-9 min","visitante",-9,"rival",1,1,0.68415112919478
2022100900,4,1,10,45,65,4.76666666666667,"9-12 min","local",-7,"GB",0,0,0.378493795820541
2022102306,2,1,10,41,69,1.91666666666667,"12-15 min","visitante",4,"GB",1,0,0.460522740391724
2022091812,1,2,1,43,53,2.13333333333333,"12-15 min","local",-4,"rival",0,1,0.730365012951532
2022092512,2,1,10,38,72,11.1333333333333,"3-6 min","visitante",4,"rival",0,1,0.890491719218527
2022100211,5,2,3,42,52,4.78333333333333,"9-12 min","local",0,"GB",0,1,0.935316355023567
2022103012,2,1,10,46,56,11.45,"3-6 min","visitante",-14,"GB",1,0,0.0208915651705113
2022100211,2,3,9,32,42,0.366666666666667,"12-15 min","local",4,"GB",1,1,0.985262786915814
2022091112,2,2,10,25,35,3.8,"9-12 min","visitante",-10,"GB",1,1,0.82213366749863
2022100900,2,3,10,29,81,0.516666666666667,"12-15 min","local",7,"rival",1,1,0.9579593006049
2022092512,1,1,10,29,81,0.55,"12-15 min","visitante",4,"GB",0,1,0.650122313552544
2022102306,2,3,11,40,70,1.65,"12-15 min","visitante",4,"GB",1,1,0.985386885511146
2022091112,3,2,8,20,30,14.2166666666667,"0-3 min","visitante",-17,"GB",1,1,0.837312614516336
2022092512,3,1,10,44,54,0.583333333333333,"12-15 min","visitante",8,"GB",0,1,0.847792294980258
2022101602,4,4,2,33,43,2,"12-15 min","local",-17,"GB",1,1,0.963905110823866
2022103012,1,1,10,39,71,12.0833333333333,"0-3 min","visitante",0,"GB",1,0,0.157756282061461
2022091812,1,3,7,36,46,12.3666666666667,"0-3 min","local",0,"rival",1,1,0.988038613619056
2022091112,1,2,6,50,60,4.83333333333333,"9-12 min","visitante",-7,"centro",0,1,0.769891109414493
2022101602,3,2,10,30,80,7.96666666666667,"6-9 min","local",-7,"GB",0,1,0.610552686720272
2022101602,1,2,8,42,52,5.53333333333333,"9-12 min","local",0,"GB",1,1,0.976828146655774
2022102306,3,1,10,25,85,11.8166666666667,"3-6 min","visitante",-3,"GB",1,0,0.279732049176197
2022110603,4,2,8,12,98,7.41666666666667,"6-9 min","visitante",-9,"rival",1,1,0.817235024487816
2022092512,1,2,12,14,24,3.78333333333333,"9-12 min","visitante",-3,"rival",1,1,0.786238824429179
2022110603,4,1,10,34,76,10.0833333333333,"3-6 min","visitante",-9,"rival",1,0,0.45765667015291
2022110603,4,1,10,43,53,13.75,"0-3 min","visitante",-9,"GB",1,0,0.140737081944701
2022110603,3,3,4,39,71,14.1166666666667,"0-3 min","visitante",-8,"GB",1,1,0.868421600516488
2022100211,1,1,10,40,50,3.86666666666667,"9-12 min","local",-3,"rival",0,0,0.247906042311159
2022091112,1,3,8,40,50,2.73333333333333,"12-15 min","visitante",-7,"rival",1,1,0.995480534028261
2022100900,2,1,10,29,81,0.633333333333333,"12-15 min","local",7,"rival",1,1,0.793738705365791
2022100211,3,3,10,19,91,14.8,"0-3 min","local",-3,"GB",1,1,0.932584009607853
2022103012,3,1,10,44,54,13.2333333333333,"0-3 min","visitante",-17,"rival",0,0,0.0125090467888599
2022092512,1,1,10,25,85,9.08333333333333,"3-6 min","visitante",-3,"GB",0,1,0.504667769792028
2022092512,3,2,11,39,49,4.98333333333333,"9-12 min","visitante",8,"GB",1,1,0.712119680984743
2022100900,1,1,10,25,85,0.15,"12-15 min","local",7,"GB",0,0,0.440355242492452
2022091112,4,1,10,49,59,4.6,"9-12 min","visitante",-16,"rival",1,1,0.971643845446064
2022100211,2,1,10,20,30,9.86666666666667,"3-6 min","local",4,"GB",1,0,0.210237022353332
2022103012,4,2,10,37,73,0.9,"12-15 min","visitante",-10,"rival",1,1,0.99218734008113
2022100211,2,2,5,35,75,15,"0-3 min","local",-3,"rival",0,1,0.735256307614461
2022100211,3,1,10,21,89,4.8,"9-12 min","local",-3,"GB",1,0,0.268184543652268
2022102306,4,2,10,46,56,0.0833333333333333,"12-15 min","visitante",-2,"GB",1,1,0.978380047419057
2022110603,1,3,1,1,109,0.65,"12-15 min","visitante",0,"rival",0,1,0.522663366984833
2022091112,2,2,3,13,97,10.8,"3-6 min","visitante",-7,"rival",1,0,0.237244070853769
2022091812,1,2,4,31,79,4.08333333333333,"9-12 min","local",-4,"GB",0,0,0.376181445382605
2022103012,2,3,1,43,53,12.0833333333333,"0-3 min","visitante",-14,"GB",0,0,0.0847521903372935
2022103012,1,3,2,36,74,12.6666666666667,"0-3 min","visitante",0,"GB",1,1,0.524129379231516
2022100900,4,2,8,47,63,4.08333333333333,"9-12 min","local",-7,"GB",1,1,0.776602118792331
2022102306,1,2,4,4,106,6.75,"6-9 min","visitante",0,"rival",1,0,0.368613789290262
2022110603,1,3,10,25,35,9.93333333333333,"3-6 min","visitante",0,"GB",1,1,0.978695880834895
2022110603,1,1,10,33,77,6.5,"6-9 min","visitante",0,"rival",0,0,0.145668356530751
2022110603,2,4,1,1,11,15,"0-3 min","visitante",0,"rival",1,0,0.375571690688223
2022100211,1,1,10,20,90,5,"9-12 min","local",-3,"GB",0,0,0.375478118245016
2022110603,3,1,10,23,33,10.1,"3-6 min","visitante",-8,"rival",0,0,0.400258257485482
2022101602,3,1,10,30,80,8.1,"6-9 min","local",-7,"GB",1,0,0.338175530288399
2022092512,3,1,10,25,35,6.36666666666667,"6-9 min","visitante",8,"GB",1,0,0.475109461985367
2022110603,3,3,11,44,54,12.1166666666667,"0-3 min","visitante",-8,"rival",1,1,0.970194571917047
2022100211,4,1,10,25,35,11.2333333333333,"3-6 min","local",-7,"GB",1,0,0.0432883727466372
2022103012,1,2,8,30,80,13.3333333333333,"0-3 min","visitante",0,"GB",0,1,0.612623264965166
2022091112,3,3,1,27,37,13.7333333333333,"0-3 min","visitante",-17,"GB",0,0,0.0769627917669697
2022101602,1,1,10,27,37,2.36666666666667,"12-15 min","local",0,"GB",1,1,0.746061457182758
2022091112,3,1,10,22,88,6.88333333333333,"6-9 min","visitante",-20,"rival",0,0,0.276293083910352
2022110603,4,1,10,14,96,8.06666666666667,"6-9 min","visitante",-9,"rival",1,1,0.752370265392067
2022110603,2,2,3,19,91,8.06666666666667,"6-9 min","visitante",0,"GB",1,0,0.367936251131922
2022100211,3,1,10,37,73,4.21666666666667,"9-12 min","local",-3,"GB",0,0,0.234147018348557
2022091112,2,3,7,7,103,8.65,"6-9 min","visitante",-7,"rival",1,1,0.761038600384538
2022103012,4,2,1,26,36,2.11666666666667,"12-15 min","visitante",-10,"GB",1,1,0.827475887293245
2022110603,1,2,10,25,35,10,"3-6 min","visitante",0,"GB",1,1,0.809167652568207
2022101602,3,2,8,49,59,6.58333333333333,"6-9 min","local",-7,"rival",1,1,0.770155095728553
2022101602,2,1,10,47,57,0.433333333333333,"12-15 min","local",-3,"rival",1,1,0.723032573226741
2022092512,1,1,10,12,22,4.55,"9-12 min","visitante",-3,"rival",0,0,0.176133551120446
2022091112,2,1,9,9,101,10.1666666666667,"3-6 min","visitante",-7,"rival",0,1,0.771589487976672
2022110603,1,2,1,1,109,0.7,"12-15 min","visitante",0,"rival",1,1,0.632149420690743
2022092512,3,2,9,26,36,13.75,"0-3 min","visitante",11,"GB",0,1,0.738006988978838
2022091812,2,2,2,33,77,8.21666666666667,"6-9 min","local",3,"rival",0,0,0.348070596215001
2022103012,1,2,10,20,90,3.31666666666667,"9-12 min","visitante",-7,"GB",1,1,0.782015077582975
2022091812,2,2,2,46,64,9.48333333333333,"3-6 min","local",3,"rival",0,1,0.870477951749274
