"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022103009,3,1,10,34,44,"SHOTGUN","2x2",4.16666666666667,"9-12 min","local",-1,"rival",0,1,0.711083106724717
2022102305,2,1,10,23,87,"SHOTGUN","2x2",13.4833333333333,"0-3 min","visitante",-3,"IND",0,0,0.455741260102665
2022110605,1,1,10,45,65,"SINGLEBACK","2x2",12.4166666666667,"0-3 min","visitante",0,"IND",1,0,0.326514628928365
2022102305,1,1,10,25,35,"SHOTGUN","2x2",4.05,"9-12 min","visitante",-3,"IND",0,1,0.638576472364921
2022100600,4,3,10,38,48,"SHOTGUN","3x1",11.4,"3-6 min","visitante",-3,"rival",1,1,0.993914124377764
2022102305,2,1,10,42,68,"SINGLEBACK","3x1",7.93333333333333,"6-9 min","visitante",-10,"IND",0,1,0.641535410344246
2022100600,3,3,11,32,78,"SHOTGUN","3x1",9.01666666666667,"3-6 min","visitante",-3,"rival",1,1,0.976760771515243
2022102305,3,2,10,38,72,"SHOTGUN","2x2",12.6666666666667,"0-3 min","visitante",-13,"IND",1,1,0.66521010907134
2022100600,2,1,10,15,25,"SHOTGUN","3x1",3.8,"9-12 min","visitante",-6,"IND",1,0,0.352048203091462
2022100207,1,1,10,45,65,"SINGLEBACK","3x1",11.0666666666667,"3-6 min","local",0,"rival",1,0,0.404558714354351
2022102305,4,2,10,25,35,"SHOTGUN","2x2",13.3333333333333,"0-3 min","visitante",-9,"IND",1,1,0.679684765932909
2022102305,3,2,9,19,29,"SHOTGUN","2x2",6.18333333333333,"6-9 min","visitante",-13,"rival",1,1,0.959519001631117
2022091803,2,2,15,17,27,"SHOTGUN","3x1",6.75,"6-9 min","visitante",-14,"IND",1,1,0.875005190863563
2022110605,2,2,5,49,59,"EMPTY","3x2",0.883333333333333,"12-15 min","visitante",-13,"IND",1,1,0.988315368054244
2022091105,4,3,8,11,21,"SHOTGUN","2x2",1.01666666666667,"12-15 min","visitante",0,"IND",1,1,0.979407086260517
2022102305,4,1,10,38,72,"SHOTGUN","3x1",10.4166666666667,"3-6 min","visitante",-9,"rival",1,1,0.883764204089055
2022100600,2,3,38,43,67,"SHOTGUN","3x1",0.35,"12-15 min","visitante",-6,"rival",1,1,0.978619276921812
2022101603,1,2,9,11,21,"SHOTGUN","2x2",8.56666666666667,"6-9 min","local",0,"IND",1,1,0.75127698268151
2022100207,3,1,10,21,89,"SINGLEBACK","3x1",5.6,"9-12 min","local",-7,"IND",1,0,0.417980949776105
2022101603,4,1,10,44,66,"SHOTGUN","2x2",0.983333333333333,"12-15 min","local",-1,"rival",1,1,0.887546287891265
2022091803,2,3,7,47,57,"SHOTGUN","3x1",12.35,"0-3 min","visitante",-7,"IND",1,1,0.970537034163303
2022101603,1,2,3,22,88,"SHOTGUN","2x2",0.65,"12-15 min","local",-7,"rival",0,1,0.592221136178808
2022092502,1,1,10,42,52,"SINGLEBACK","3x1",4.7,"9-12 min","local",7,"IND",1,0,0.503405836483036
2022092502,3,1,10,37,73,"SHOTGUN","2x2",7.01666666666667,"6-9 min","local",-7,"IND",1,1,0.73749141064376
2022101603,2,2,10,42,68,"SHOTGUN","2x2",10.65,"3-6 min","local",-11,"IND",1,1,0.831771605296581
2022091105,2,1,10,25,35,"SINGLEBACK","2x2",7.83333333333333,"6-9 min","visitante",0,"IND",1,0,0.147312490761576
2022091105,4,2,4,13,97,"EMPTY","3x2",11.75,"3-6 min","visitante",-17,"rival",1,1,0.768540579495573
2022110605,2,1,10,23,33,"SINGLEBACK","2x2",6.08333333333333,"6-9 min","visitante",-13,"IND",0,1,0.531627062355197
2022091803,4,2,9,26,84,"SINGLEBACK","2x2",0.233333333333333,"12-15 min","visitante",-24,"IND",0,1,0.932974428897741
2022102305,3,1,10,38,72,"SHOTGUN","3x1",13.2,"0-3 min","visitante",-13,"IND",1,0,0.519114575015905
2022091105,2,1,10,25,85,"EMPTY","3x2",5.26666666666667,"9-12 min","visitante",0,"rival",1,0,0.244015990395252
2022091803,2,2,5,30,40,"SHOTGUN","2x2",1.4,"12-15 min","visitante",-17,"IND",1,1,0.972688099497201
2022100207,1,2,11,46,64,"SHOTGUN","2x2",1.31666666666667,"12-15 min","local",-14,"rival",1,1,0.972590541831672
2022101603,1,2,10,45,55,"SHOTGUN","2x2",12.9666666666667,"0-3 min","local",0,"IND",1,1,0.836846177123286
2022102305,3,1,10,17,93,"SHOTGUN","2x2",14.9166666666667,"0-3 min","visitante",-13,"IND",1,1,0.657185317325718
2022102305,1,3,1,34,44,"SHOTGUN","2x2",3.05,"9-12 min","visitante",-3,"IND",0,1,0.763199362198738
2022091803,3,1,10,23,33,"SHOTGUN","2x2",0.166666666666667,"12-15 min","visitante",-24,"IND",0,1,0.895153302230068
2022103009,1,2,7,11,99,"SINGLEBACK","2x2",4.71666666666667,"9-12 min","local",0,"IND",0,1,0.912678702058549
2022092502,3,2,8,39,71,"SHOTGUN","3x1",6.36666666666667,"6-9 min","local",-7,"IND",1,1,0.777309919947678
2022091803,4,1,4,4,14,"SHOTGUN","2x2",12.4666666666667,"0-3 min","visitante",-24,"rival",1,0,0.456410892279056
2022091105,5,2,12,37,73,"SHOTGUN","3x1",4.2,"9-12 min","visitante",0,"rival",1,1,0.775285745435108
2022100600,2,2,10,44,66,"SHOTGUN","2x2",1.56666666666667,"12-15 min","visitante",-6,"rival",1,1,0.971474094848217
2022110605,4,4,1,45,55,"I_FORM","2x1",15,"0-3 min","visitante",-13,"IND",0,0,0.198458076214998
2022100600,3,1,10,24,34,"SINGLEBACK","2x2",4.5,"9-12 min","visitante",0,"IND",1,0,0.325610694890982
2022100600,3,2,5,39,49,"SINGLEBACK","3x1",12.3,"0-3 min","visitante",-3,"IND",0,0,0.0513996046683724
2022092502,4,2,3,47,63,"SHOTGUN","2x2",4.18333333333333,"9-12 min","local",-4,"rival",0,0,0.411656566004984
2022092502,1,1,10,21,31,"SHOTGUN","2x2",9.76666666666667,"3-6 min","local",7,"IND",1,0,0.0630143406493405
2022101603,2,2,16,25,35,"SHOTGUN","3x1",4.55,"9-12 min","local",-11,"rival",1,1,0.949765219798221
2022100600,4,1,10,31,79,"SHOTGUN","3x1",2,"12-15 min","visitante",-3,"IND",1,0,0.279025265173345
2022100207,2,2,8,24,34,"SHOTGUN","2x2",15,"0-3 min","local",-14,"rival",1,1,0.754514743970016
2022102305,2,1,10,36,74,"SHOTGUN","3x1",1.4,"12-15 min","visitante",-13,"IND",1,1,0.965777473480379
2022103009,4,2,10,25,35,"SHOTGUN","3x1",0.25,"12-15 min","local",-1,"IND",1,1,0.901937233496777
2022102305,2,2,3,48,62,"SHOTGUN","2x2",12.1666666666667,"0-3 min","visitante",-3,"IND",0,0,0.319084865623383
2022110605,2,1,5,49,59,"SHOTGUN","3x1",1.01666666666667,"12-15 min","visitante",-13,"IND",1,1,0.979123679080403
2022092502,2,1,10,30,80,"SHOTGUN","3x1",1.76666666666667,"12-15 min","local",-4,"IND",1,1,0.576364561573464
2022091105,2,3,1,38,72,"I_FORM","1x1",5.91666666666667,"9-12 min","visitante",0,"rival",0,0,0.376418956568516
2022100207,2,1,10,49,59,"SHOTGUN","3x1",5.96666666666667,"9-12 min","local",-21,"rival",0,1,0.710686948542006
2022101603,2,1,10,44,54,"SHOTGUN","2x2",0.9,"12-15 min","local",-4,"rival",1,1,0.967762917451736
2022102305,3,1,10,20,30,"SHOTGUN","2x2",6.78333333333333,"6-9 min","visitante",-13,"rival",0,0,0.487397716791808
2022100207,1,2,10,36,46,"SINGLEBACK","2x2",13.75,"0-3 min","local",0,"IND",0,1,0.744119247518491
