"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022103009,3,1,10,34,44,"SHOTGUN","2x2",4.16666666666667,"9-12 min","local",-1,"rival",0,1,0.622303914121087
2022102305,2,1,10,23,87,"SHOTGUN","2x2",13.4833333333333,"0-3 min","visitante",-3,"IND",0,0,0.393654615894759
2022110605,1,1,10,45,65,"SINGLEBACK","2x2",12.4166666666667,"0-3 min","visitante",0,"IND",1,0,0.28128615649543
2022102305,1,1,10,25,35,"SHOTGUN","2x2",4.05,"9-12 min","visitante",-3,"IND",0,1,0.598883053313906
2022100600,4,3,10,38,48,"SHOTGUN","3x1",11.4,"3-6 min","visitante",-3,"rival",1,1,0.985501646427
2022102305,2,1,10,42,68,"SINGLEBACK","3x1",7.93333333333333,"6-9 min","visitante",-10,"IND",0,1,0.595701868336782
2022100600,3,3,11,32,78,"SHOTGUN","3x1",9.01666666666667,"3-6 min","visitante",-3,"rival",1,1,0.993384805330428
2022102305,3,2,10,38,72,"SHOTGUN","2x2",12.6666666666667,"0-3 min","visitante",-13,"IND",1,0,0.483156880142614
2022100600,2,1,10,15,25,"SHOTGUN","3x1",3.8,"9-12 min","visitante",-6,"IND",1,0,0.37720873058382
2022100207,1,1,10,45,65,"SINGLEBACK","3x1",11.0666666666667,"3-6 min","local",0,"rival",1,0,0.442123088002344
2022102305,4,2,10,25,35,"SHOTGUN","2x2",13.3333333333333,"0-3 min","visitante",-9,"IND",1,0,0.537767686702739
2022102305,3,2,9,19,29,"SHOTGUN","2x2",6.18333333333333,"6-9 min","visitante",-13,"rival",1,1,0.891165841001281
2022091803,2,2,15,17,27,"SHOTGUN","3x1",6.75,"6-9 min","visitante",-14,"IND",1,1,0.975043722935158
2022110605,2,2,5,49,59,"EMPTY","3x2",0.883333333333333,"12-15 min","visitante",-13,"IND",1,1,0.996698322733273
2022091105,4,3,8,11,21,"SHOTGUN","2x2",1.01666666666667,"12-15 min","visitante",0,"IND",1,1,0.988188276025348
2022102305,4,1,10,38,72,"SHOTGUN","3x1",10.4166666666667,"3-6 min","visitante",-9,"rival",1,1,0.66977569022204
2022100600,2,3,38,43,67,"SHOTGUN","3x1",0.35,"12-15 min","visitante",-6,"rival",1,1,0.894916309683175
2022101603,1,2,9,11,21,"SHOTGUN","2x2",8.56666666666667,"6-9 min","local",0,"IND",1,1,0.661950538672056
2022100207,3,1,10,21,89,"SINGLEBACK","3x1",5.6,"9-12 min","local",-7,"IND",1,0,0.479504600058954
2022101603,4,1,10,44,66,"SHOTGUN","2x2",0.983333333333333,"12-15 min","local",-1,"rival",1,1,0.919118895919575
2022091803,2,3,7,47,57,"SHOTGUN","3x1",12.35,"0-3 min","visitante",-7,"IND",1,1,0.962137755643697
2022101603,1,2,3,22,88,"SHOTGUN","2x2",0.65,"12-15 min","local",-7,"rival",0,1,0.537996592553309
2022092502,1,1,10,42,52,"SINGLEBACK","3x1",4.7,"9-12 min","local",7,"IND",1,0,0.504192008852208
2022092502,3,1,10,37,73,"SHOTGUN","2x2",7.01666666666667,"6-9 min","local",-7,"IND",1,1,0.599363726692993
2022101603,2,2,10,42,68,"SHOTGUN","2x2",10.65,"3-6 min","local",-11,"IND",1,1,0.642506526604845
2022091105,2,1,10,25,35,"SINGLEBACK","2x2",7.83333333333333,"6-9 min","visitante",0,"IND",1,0,0.287014735548332
2022091105,4,2,4,13,97,"EMPTY","3x2",11.75,"3-6 min","visitante",-17,"rival",1,1,0.696704519064455
2022110605,2,1,10,23,33,"SINGLEBACK","2x2",6.08333333333333,"6-9 min","visitante",-13,"IND",0,1,0.66733594643415
2022091803,4,2,9,26,84,"SINGLEBACK","2x2",0.233333333333333,"12-15 min","visitante",-24,"IND",0,1,0.776208120318689
2022102305,3,1,10,38,72,"SHOTGUN","3x1",13.2,"0-3 min","visitante",-13,"IND",1,0,0.305871799397291
2022091105,2,1,10,25,85,"EMPTY","3x2",5.26666666666667,"9-12 min","visitante",0,"rival",1,0,0.404243570692284
2022091803,2,2,5,30,40,"SHOTGUN","2x2",1.4,"12-15 min","visitante",-17,"IND",1,1,0.981924889376979
2022100207,1,2,11,46,64,"SHOTGUN","2x2",1.31666666666667,"12-15 min","local",-14,"rival",1,1,0.95292924930007
2022101603,1,2,10,45,55,"SHOTGUN","2x2",12.9666666666667,"0-3 min","local",0,"IND",1,1,0.776879612173009
2022102305,3,1,10,17,93,"SHOTGUN","2x2",14.9166666666667,"0-3 min","visitante",-13,"IND",1,1,0.616135525451911
2022102305,1,3,1,34,44,"SHOTGUN","2x2",3.05,"9-12 min","visitante",-3,"IND",0,1,0.755015951389213
2022091803,3,1,10,23,33,"SHOTGUN","2x2",0.166666666666667,"12-15 min","visitante",-24,"IND",0,1,0.779437831097525
2022103009,1,2,7,11,99,"SINGLEBACK","2x2",4.71666666666667,"9-12 min","local",0,"IND",0,1,0.862221089919494
2022092502,3,2,8,39,71,"SHOTGUN","3x1",6.36666666666667,"6-9 min","local",-7,"IND",1,1,0.788972254951931
2022091803,4,1,4,4,14,"SHOTGUN","2x2",12.4666666666667,"0-3 min","visitante",-24,"rival",1,0,0.47230929918307
2022091105,5,2,12,37,73,"SHOTGUN","3x1",4.2,"9-12 min","visitante",0,"rival",1,1,0.775556726515344
2022100600,2,2,10,44,66,"SHOTGUN","2x2",1.56666666666667,"12-15 min","visitante",-6,"rival",1,1,0.978585634428567
2022110605,4,4,1,45,55,"I_FORM","2x1",15,"0-3 min","visitante",-13,"IND",0,0,0.0298086145961952
2022100600,3,1,10,24,34,"SINGLEBACK","2x2",4.5,"9-12 min","visitante",0,"IND",1,0,0.481387435388082
2022100600,3,2,5,39,49,"SINGLEBACK","3x1",12.3,"0-3 min","visitante",-3,"IND",0,0,0.261686143671532
2022092502,4,2,3,47,63,"SHOTGUN","2x2",4.18333333333333,"9-12 min","local",-4,"rival",0,0,0.4187746104703
2022092502,1,1,10,21,31,"SHOTGUN","2x2",9.76666666666667,"3-6 min","local",7,"IND",1,0,0.192052464908199
2022101603,2,2,16,25,35,"SHOTGUN","3x1",4.55,"9-12 min","local",-11,"rival",1,1,0.941532476655942
2022100600,4,1,10,31,79,"SHOTGUN","3x1",2,"12-15 min","visitante",-3,"IND",1,0,0.492762544126934
2022100207,2,2,8,24,34,"SHOTGUN","2x2",15,"0-3 min","local",-14,"rival",1,1,0.605556696138422
2022102305,2,1,10,36,74,"SHOTGUN","3x1",1.4,"12-15 min","visitante",-13,"IND",1,1,0.975245205503394
2022103009,4,2,10,25,35,"SHOTGUN","3x1",0.25,"12-15 min","local",-1,"IND",1,1,0.953482317221084
2022102305,2,2,3,48,62,"SHOTGUN","2x2",12.1666666666667,"0-3 min","visitante",-3,"IND",0,1,0.618749973177741
2022110605,2,1,5,49,59,"SHOTGUN","3x1",1.01666666666667,"12-15 min","visitante",-13,"IND",1,1,0.984437882106701
2022092502,2,1,10,30,80,"SHOTGUN","3x1",1.76666666666667,"12-15 min","local",-4,"IND",1,0,0.499605058638387
2022091105,2,3,1,38,72,"I_FORM","1x1",5.91666666666667,"9-12 min","visitante",0,"rival",0,0,0.465349895802331
2022100207,2,1,10,49,59,"SHOTGUN","3x1",5.96666666666667,"9-12 min","local",-21,"rival",0,1,0.781232959449527
2022101603,2,1,10,44,54,"SHOTGUN","2x2",0.9,"12-15 min","local",-4,"rival",1,1,0.977225005313091
2022102305,3,1,10,20,30,"SHOTGUN","2x2",6.78333333333333,"6-9 min","visitante",-13,"rival",0,1,0.571846702182159
2022100207,1,2,10,36,46,"SINGLEBACK","2x2",13.75,"0-3 min","local",0,"IND",0,1,0.738807592210801
2022092502,4,3,4,48,62,"SHOTGUN","3x1",3.56666666666667,"9-12 min","local",-4,"rival",1,1,0.980289003216848
2022101603,2,3,10,44,54,"SHOTGUN","3x1",0.783333333333333,"12-15 min","local",-4,"rival",1,1,0.996630991757306
2022101603,3,1,3,3,13,"SINGLEBACK","2x2",5.78333333333333,"9-12 min","local",-8,"rival",0,0,0.196803128646282
2022103009,1,1,10,14,96,"EMPTY","3x2",10.9166666666667,"3-6 min","local",0,"IND",1,0,0.531897820899528
2022101603,3,2,8,36,74,"SHOTGUN","3x1",0.683333333333333,"12-15 min","local",-2,"IND",1,1,0.933911085588383
2022100600,3,3,15,19,29,"SHOTGUN","3x1",3.73333333333333,"9-12 min","visitante",0,"IND",1,1,0.876409427329903
2022110605,4,1,10,25,35,"SHOTGUN","2x2",10.1666666666667,"3-6 min","visitante",-16,"IND",1,1,0.916167548340753
2022092502,1,1,4,4,106,"SINGLEBACK","2x2",13.7833333333333,"0-3 min","local",0,"rival",0,1,0.624475691442177
2022092502,4,2,6,36,74,"SHOTGUN","3x1",11.0333333333333,"3-6 min","local",-4,"rival",1,0,0.343351280519342
2022091105,4,1,10,42,68,"SHOTGUN","2x2",12.9666666666667,"0-3 min","visitante",-17,"rival",1,1,0.805955061158571
2022091803,1,3,13,35,75,"SHOTGUN","3x1",0.8,"12-15 min","visitante",-7,"IND",1,1,0.992174215813512
2022091105,1,3,3,32,78,"SHOTGUN","3x1",13.85,"0-3 min","visitante",0,"IND",0,1,0.984162266579599
2022092502,4,1,10,35,45,"SINGLEBACK","2x2",12.3333333333333,"0-3 min","local",-4,"IND",1,1,0.76412784851348
2022100207,1,1,10,44,54,"SHOTGUN","3x1",3.18333333333333,"9-12 min","local",-14,"IND",0,0,0.47006552370841
2022092502,1,2,10,39,49,"SHOTGUN","3x1",8.5,"6-9 min","local",7,"IND",0,1,0.761539736135711
2022110605,1,1,10,31,79,"SHOTGUN","2x2",14.1833333333333,"0-3 min","visitante",0,"IND",1,0,0.363622327357844
2022091105,2,2,8,45,65,"SINGLEBACK","3x1",6.65,"6-9 min","visitante",0,"rival",0,1,0.612985102963743
2022100600,4,1,10,17,27,"SHOTGUN","2x2",0.466666666666667,"12-15 min","visitante",-3,"rival",1,1,0.848315924161448
2022101603,2,1,10,19,29,"SINGLEBACK","3x1",5.38333333333333,"9-12 min","local",-11,"rival",1,1,0.578061067711831
2022100207,1,2,9,45,55,"SHOTGUN","3x1",2.61666666666667,"12-15 min","local",-14,"IND",1,1,0.902778681971681
2022101603,2,3,2,21,31,"SHOTGUN","3x1",15,"0-3 min","local",-7,"rival",1,0,0.163110728965046
2022110605,3,1,10,16,26,"SINGLEBACK","3x1",10.1666666666667,"3-6 min","visitante",-13,"rival",0,0,0.507654509734512
2022103009,4,2,8,27,37,"SHOTGUN","3x1",4.26666666666667,"9-12 min","local",6,"IND",0,1,0.849461773210209
2022091105,4,2,4,4,106,"SHOTGUN","3x1",10.95,"3-6 min","visitante",-17,"rival",1,1,0.962371798755701
2022101603,1,2,1,32,42,"SHOTGUN","2x2",3.33333333333333,"9-12 min","local",-7,"IND",0,0,0.457389130273858
2022110605,3,1,10,40,50,"SHOTGUN","3x1",12.6666666666667,"0-3 min","visitante",-13,"rival",1,0,0.506773735021291
2022091803,3,1,10,20,30,"SHOTGUN","3x1",10.15,"3-6 min","visitante",-17,"IND",1,1,0.676014039172256
2022092502,1,1,10,11,21,"SHOTGUN","2x2",11.2666666666667,"3-6 min","local",7,"IND",0,0,0.128013608483934
2022102305,1,1,10,45,55,"SHOTGUN","2x2",2.5,"12-15 min","visitante",-3,"IND",1,1,0.890320841329984
2022102305,4,3,5,33,77,"SHOTGUN","3x1",9.33333333333333,"3-6 min","visitante",-9,"rival",1,1,0.990252319456441
