"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022102310,4,2,10,49,59,"SINGLEBACK","2x2",3.95,"9-12 min","visitante",21,"KC",0,1,0.728412003024575
2022110610,4,2,10,47,57,"SHOTGUN","3x1",0.85,"12-15 min","local",0,"KC",1,1,0.887232330811649
2022091500,3,1,10,41,51,"SHOTGUN","2x2",7.65,"6-9 min","local",-10,"rival",1,1,0.669766786936827
2022091500,3,1,15,30,40,"SHOTGUN","2x2",2.23333333333333,"12-15 min","local",-3,"rival",1,1,0.682443588433942
2022110610,5,2,2,14,24,"SHOTGUN","3x1",5.88333333333333,"9-12 min","local",0,"rival",0,1,0.669737006752156
2022091110,4,1,10,20,30,"SHOTGUN","2x2",9.33333333333333,"3-6 min","visitante",22,"rival",1,0,0.332813452610616
2022100213,3,3,10,49,61,"SHOTGUN","3x1",13.0833333333333,"0-3 min","visitante",11,"rival",1,1,0.870937399438549
2022100213,3,2,7,49,59,"PISTOL","2x1",8.68333333333333,"6-9 min","visitante",14,"KC",1,1,0.883153422716231
2022091500,3,2,3,36,74,"SHOTGUN","3x1",5.76666666666667,"9-12 min","local",-3,"KC",0,0,0.547370116136083
2022102310,2,2,5,15,95,"SHOTGUN","3x1",11.4833333333333,"3-6 min","visitante",-6,"KC",1,1,0.824754451105027
2022091110,3,2,6,32,78,"SINGLEBACK","3x1",6.65,"6-9 min","visitante",23,"rival",0,1,0.725499063569562
2022100213,3,2,10,49,61,"SHOTGUN","2x2",13.1333333333333,"0-3 min","visitante",11,"rival",1,1,0.761625892111399
2022100213,2,2,1,34,76,"SHOTGUN","3x1",6.58333333333333,"6-9 min","visitante",11,"rival",0,0,0.512267541420652
2022091500,4,2,9,17,93,"SHOTGUN","2x2",3.6,"9-12 min","local",7,"rival",1,1,0.705672814167422
