"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022101608,2,1,5,5,105,3.65,"9-12 min","local",-3,"rival",1,0,0.53052571330776
2022091807,3,2,10,21,31,3.16666666666667,"9-12 min","local",18,"LA",1,1,0.708154065866435
2022101608,2,1,10,25,35,1.96666666666667,"12-15 min","local",-3,"LA",1,0,0.586090576265128
2022110609,2,1,10,32,42,13.4833333333333,"0-3 min","visitante",-3,"LA",0,0,0.518975957462526
2022092510,4,2,6,17,27,8.33333333333333,"6-9 min","visitante",11,"rival",1,1,0.733588970799919
2022091807,2,1,10,50,60,14.1833333333333,"0-3 min","local",7,"centro",1,1,0.674884136931639
2022092510,3,3,15,20,30,13.7666666666667,"0-3 min","visitante",7,"LA",1,1,0.784324724815305
2022091807,4,1,10,25,85,8.23333333333333,"6-9 min","local",14,"LA",0,0,0.578498531496586
2022090800,2,1,10,40,70,8.8,"6-9 min","local",-10,"LA",0,0,0.600149329848679
2022110609,3,3,8,46,56,12.1166666666667,"0-3 min","visitante",1,"LA",1,1,0.761359382559846
2022100300,1,1,10,25,35,2.76666666666667,"12-15 min","visitante",-4,"LA",0,0,0.586090576265128
2022101608,3,1,10,25,85,15,"0-3 min","local",-3,"LA",1,0,0.500820613476965
2022103010,4,1,10,21,89,10.8166666666667,"3-6 min","local",-10,"LA",1,0,0.597946662069803
2022103010,4,3,3,28,82,10,"3-6 min","local",-10,"LA",1,1,0.751176948278841
2022110609,3,1,10,47,63,3.93333333333333,"9-12 min","visitante",4,"rival",0,1,0.744605332884895
2022110609,1,1,10,36,74,5.56666666666667,"9-12 min","visitante",-3,"LA",1,0,0.587320258107955
2022110609,3,1,10,34,76,10.7,"3-6 min","visitante",1,"rival",0,0,0.586477386062835
2022092510,4,3,1,35,75,10.0333333333333,"3-6 min","visitante",11,"LA",1,0,0.565963006729519
2022101608,4,2,3,46,56,13.0166666666667,"0-3 min","local",7,"LA",1,1,0.737237850635466
2022110609,3,2,10,11,21,6.88333333333333,"6-9 min","visitante",4,"LA",1,1,0.660630803568462
2022110609,2,2,10,40,50,2.83333333333333,"12-15 min","visitante",4,"LA",1,1,0.650127423575841
2022092510,3,2,4,14,96,1.11666666666667,"12-15 min","visitante",4,"rival",0,1,0.692849989134624
2022103010,4,3,5,30,80,11.3833333333333,"3-6 min","local",-10,"LA",1,1,0.751176948278841
