"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022101608,2,1,5,5,105,"SINGLEBACK","2x2",3.65,"9-12 min","local",-3,"rival",1,0,0.201796555699867
2022091807,3,2,10,21,31,"SHOTGUN","3x1",3.16666666666667,"9-12 min","local",18,"LA",1,1,0.982910318347237
2022101608,2,1,10,25,35,"SHOTGUN","2x2",1.96666666666667,"12-15 min","local",-3,"LA",1,0,0.0536709543824403
2022110609,2,1,10,32,42,"SINGLEBACK","2x2",13.4833333333333,"0-3 min","visitante",-3,"LA",0,0,0.241067102000908
2022092510,4,2,6,17,27,"SINGLEBACK","3x1",8.33333333333333,"6-9 min","visitante",11,"rival",1,0,0.116166720652091
2022091807,2,1,10,50,60,"SHOTGUN","2x1",14.1833333333333,"0-3 min","local",7,"centro",1,1,0.670705272580072
2022092510,3,3,15,20,30,"SHOTGUN","3x1",13.7666666666667,"0-3 min","visitante",7,"LA",1,1,0.961997927893374
2022091807,4,1,10,25,85,"I_FORM","2x1",8.23333333333333,"6-9 min","local",14,"LA",0,0,0.0221304512734441
2022090800,2,1,10,40,70,"SINGLEBACK","3x1",8.8,"6-9 min","local",-10,"LA",0,0,0.123781059267682
2022110609,3,3,8,46,56,"EMPTY","4x1",12.1166666666667,"0-3 min","visitante",1,"LA",1,1,0.998246019068147
2022100300,1,1,10,25,35,"SINGLEBACK","3x1",2.76666666666667,"12-15 min","visitante",-4,"LA",0,0,0.287880474196079
2022101608,3,1,10,25,85,"SINGLEBACK","3x1",15,"0-3 min","local",-3,"LA",1,0,0.174191793753318
2022103010,4,1,10,21,89,"SINGLEBACK","3x1",10.8166666666667,"3-6 min","local",-10,"LA",1,1,0.821909190026896
2022103010,4,3,3,28,82,"SHOTGUN","3x1",10,"3-6 min","local",-10,"LA",1,1,0.997628449139259
2022110609,3,1,10,47,63,"SINGLEBACK","3x1",3.93333333333333,"9-12 min","visitante",4,"rival",0,1,0.850231200795122
2022110609,1,1,10,36,74,"SHOTGUN","2x2",5.56666666666667,"9-12 min","visitante",-3,"LA",1,1,0.628997135610529
2022110609,3,1,10,34,76,"SINGLEBACK","3x1",10.7,"3-6 min","visitante",1,"rival",0,1,0.982101282835406
2022092510,4,3,1,35,75,"SINGLEBACK","2x2",10.0333333333333,"3-6 min","visitante",11,"LA",1,0,0.150994880513556
2022101608,4,2,3,46,56,"EMPTY","3x2",13.0166666666667,"0-3 min","local",7,"LA",1,1,0.786035295373935
2022110609,3,2,10,11,21,"SHOTGUN","2x2",6.88333333333333,"6-9 min","visitante",4,"LA",1,0,0.309401200524005
2022110609,2,2,10,40,50,"SHOTGUN","3x1",2.83333333333333,"12-15 min","visitante",4,"LA",1,1,0.631313331990943
2022092510,3,2,4,14,96,"I_FORM","2x1",1.11666666666667,"12-15 min","visitante",4,"rival",0,0,0.357427553535159
2022103010,4,3,5,30,80,"EMPTY","3x2",11.3833333333333,"3-6 min","local",-10,"LA",1,1,0.998489205772487
2022103010,3,2,10,38,48,"SINGLEBACK","2x2",9.75,"3-6 min","local",4,"LA",0,1,0.945522583466368
2022092510,2,2,2,43,67,"I_FORM","2x1",11.7,"3-6 min","visitante",13,"LA",1,0,0.117268767715159
2022100912,2,2,4,44,66,"SHOTGUN","2x2",0.616666666666667,"12-15 min","local",-6,"rival",1,1,0.978081054321483
2022091807,3,1,10,40,70,"I_FORM","2x1",0.583333333333333,"12-15 min","local",18,"rival",0,1,0.977016332521539
2022090800,4,3,10,24,86,"SHOTGUN","3x1",8.83333333333333,"6-9 min","local",-21,"LA",1,1,0.984848218809595
2022100300,1,3,19,28,82,"SHOTGUN","3x1",7.6,"6-9 min","visitante",0,"rival",0,1,0.969289725518071
2022103010,1,2,4,38,48,"I_FORM","2x1",8.08333333333333,"6-9 min","local",0,"LA",1,1,0.979155975346588
2022100300,2,1,10,38,48,"SINGLEBACK","3x1",8.53333333333333,"6-9 min","visitante",-4,"rival",1,0,0.514336709699117
2022100300,2,2,2,41,69,"EMPTY","4x1",1.28333333333333,"12-15 min","visitante",-8,"LA",1,0,0.529827591906408
2022090800,2,2,19,38,48,"SHOTGUN","2x2",0.433333333333333,"12-15 min","local",-3,"rival",1,1,0.996164679521389
2022110609,4,1,10,7,103,"SINGLEBACK","2x1",1.86666666666667,"12-15 min","visitante",4,"LA",0,0,0.00828488994439674
2022100300,4,2,10,37,47,"SHOTGUN","3x1",3.73333333333333,"9-12 min","visitante",-15,"rival",1,1,0.998426250762817
2022090800,2,1,10,40,50,"SHOTGUN","2x2",1.66666666666667,"12-15 min","local",-3,"rival",1,1,0.911972136843458
2022100912,2,2,10,20,30,"SHOTGUN","2x2",3.28333333333333,"9-12 min","local",-6,"LA",1,1,0.769873000295171
2022100300,1,2,6,27,83,"I_FORM","2x1",10.5,"3-6 min","visitante",0,"rival",0,1,0.983204768298406
2022100912,2,1,10,27,37,"SINGLEBACK","3x1",15,"0-3 min","local",-6,"LA",0,0,0.165608000355045
2022090800,2,2,4,4,14,"EMPTY","3x2",3.08333333333333,"9-12 min","local",-10,"rival",1,1,0.86840531833606
2022100912,4,1,10,31,41,"EMPTY","3x2",1.93333333333333,"12-15 min","local",-12,"rival",1,1,0.987710745337644
2022100912,3,2,4,46,56,"I_FORM","2x1",5.4,"9-12 min","local",-9,"LA",0,1,0.991273957581872
2022110609,1,2,10,25,85,"SHOTGUN","3x1",7.16666666666667,"6-9 min","visitante",-3,"LA",1,0,0.516683652590053
2022091807,2,1,10,33,43,"SHOTGUN","2x2",12.8,"0-3 min","local",7,"rival",1,1,0.661610826074097
2022103010,1,3,9,33,77,"SHOTGUN","3x1",3.21666666666667,"9-12 min","local",0,"rival",1,1,0.946663411010321
2022100912,2,3,4,44,66,"EMPTY","3x2",0.566666666666667,"12-15 min","local",-6,"rival",1,1,0.999515231322865
2022100300,3,1,10,35,75,"SINGLEBACK","2x2",8.93333333333333,"6-9 min","visitante",-8,"rival",1,0,0.531815744533802
