"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022101608,2,1,5,5,105,"SINGLEBACK","2x2",3.65,"9-12 min","local",-3,"rival",1,0,0.529484208275056
2022091807,3,2,10,21,31,"SHOTGUN","3x1",3.16666666666667,"9-12 min","local",18,"LA",1,1,0.708283770070962
2022101608,2,1,10,25,35,"SHOTGUN","2x2",1.96666666666667,"12-15 min","local",-3,"LA",1,0,0.585745085487838
2022110609,2,1,10,32,42,"SINGLEBACK","2x2",13.4833333333333,"0-3 min","visitante",-3,"LA",0,0,0.517209438350003
2022092510,4,2,6,17,27,"SINGLEBACK","3x1",8.33333333333333,"6-9 min","visitante",11,"rival",1,1,0.732865610487
2022091807,2,1,10,50,60,"SHOTGUN","2x1",14.1833333333333,"0-3 min","local",7,"centro",1,1,0.675642760963627
2022092510,3,3,15,20,30,"SHOTGUN","3x1",13.7666666666667,"0-3 min","visitante",7,"LA",1,1,0.786960170060276
2022091807,4,1,10,25,85,"I_FORM","2x1",8.23333333333333,"6-9 min","local",14,"LA",0,0,0.578444913713726
2022090800,2,1,10,40,70,"SINGLEBACK","3x1",8.8,"6-9 min","local",-10,"LA",0,0,0.599813539789283
2022110609,3,3,8,46,56,"EMPTY","4x1",12.1166666666667,"0-3 min","visitante",1,"LA",1,1,0.762454703464669
2022100300,1,1,10,25,35,"SINGLEBACK","3x1",2.76666666666667,"12-15 min","visitante",-4,"LA",0,0,0.585745085487838
2022101608,3,1,10,25,85,"SINGLEBACK","3x1",15,"0-3 min","local",-3,"LA",1,0,0.500899431460779
2022103010,4,1,10,21,89,"SINGLEBACK","3x1",10.8166666666667,"3-6 min","local",-10,"LA",1,0,0.5975230285724
2022103010,4,3,3,28,82,"SHOTGUN","3x1",10,"3-6 min","local",-10,"LA",1,1,0.753118671270632
2022110609,3,1,10,47,63,"SINGLEBACK","3x1",3.93333333333333,"9-12 min","visitante",4,"rival",0,1,0.746100003317761
2022110609,1,1,10,36,74,"SHOTGUN","2x2",5.56666666666667,"9-12 min","visitante",-3,"LA",1,0,0.586870627313668
2022110609,3,1,10,34,76,"SINGLEBACK","3x1",10.7,"3-6 min","visitante",1,"rival",0,0,0.586452841684827
2022092510,4,3,1,35,75,"SINGLEBACK","2x2",10.0333333333333,"3-6 min","visitante",11,"LA",1,0,0.565504353870406
2022101608,4,2,3,46,56,"EMPTY","3x2",13.0166666666667,"0-3 min","local",7,"LA",1,1,0.735940072644756
2022110609,3,2,10,11,21,"SHOTGUN","2x2",6.88333333333333,"6-9 min","visitante",4,"LA",1,1,0.662566251386539
2022110609,2,2,10,40,50,"SHOTGUN","3x1",2.83333333333333,"12-15 min","visitante",4,"LA",1,1,0.651911118605637
2022092510,3,2,4,14,96,"I_FORM","2x1",1.11666666666667,"12-15 min","visitante",4,"rival",0,1,0.692904234875141
2022103010,4,3,5,30,80,"EMPTY","3x2",11.3833333333333,"3-6 min","local",-10,"LA",1,1,0.753118671270632
2022103010,3,2,10,38,48,"SINGLEBACK","2x2",9.75,"3-6 min","local",4,"LA",0,1,0.67328761050277
2022092510,2,2,2,43,67,"I_FORM","2x1",11.7,"3-6 min","visitante",13,"LA",1,0,0.575945145722188
2022100912,2,2,4,44,66,"SHOTGUN","2x2",0.616666666666667,"12-15 min","local",-6,"rival",1,1,0.764325472735055
2022091807,3,1,10,40,70,"I_FORM","2x1",0.583333333333333,"12-15 min","local",18,"rival",0,1,0.661401181566938
2022090800,4,3,10,24,86,"SHOTGUN","3x1",8.83333333333333,"6-9 min","local",-21,"LA",1,1,0.794842992153592
2022100300,1,3,19,28,82,"SHOTGUN","3x1",7.6,"6-9 min","visitante",0,"rival",0,1,0.795457634159034
2022103010,1,2,4,38,48,"I_FORM","2x1",8.08333333333333,"6-9 min","local",0,"LA",1,1,0.697844972775346
2022100300,2,1,10,38,48,"SINGLEBACK","3x1",8.53333333333333,"6-9 min","visitante",-4,"rival",1,0,0.587678723676914
2022100300,2,2,2,41,69,"EMPTY","4x1",1.28333333333333,"12-15 min","visitante",-8,"LA",1,0,0.601491893721505
2022090800,2,2,19,38,48,"SHOTGUN","2x2",0.433333333333333,"12-15 min","local",-3,"rival",1,1,0.746190125132796
2022110609,4,1,10,7,103,"SINGLEBACK","2x1",1.86666666666667,"12-15 min","visitante",4,"LA",0,0,0.478316915624597
2022100300,4,2,10,37,47,"SHOTGUN","3x1",3.73333333333333,"9-12 min","visitante",-15,"rival",1,1,0.765103955164185
2022090800,2,1,10,40,50,"SHOTGUN","2x2",1.66666666666667,"12-15 min","local",-3,"rival",1,1,0.648034320367777
2022100912,2,2,10,20,30,"SHOTGUN","2x2",3.28333333333333,"9-12 min","local",-6,"LA",1,1,0.717102491084329
