"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022101604,2,1,10,39,49,"I_FORM","2x1",5.71666666666667,"9-12 min","visitante",-3,"MIN",1,0,0.636578350605527
2022110607,4,1,10,40,70,"SHOTGUN","2x2",5.11666666666667,"9-12 min","visitante",0,"rival",1,1,0.701825693144172
2022100200,3,3,9,16,26,"SHOTGUN","3x1",12.25,"0-3 min","visitante",6,"MIN",1,1,0.997334102209742
2022092504,4,1,10,28,82,"SHOTGUN","3x1",0.833333333333333,"12-15 min","local",-3,"rival",1,1,0.916442865132724
2022091112,4,3,7,41,51,"EMPTY","3x2",10.7,"3-6 min","local",13,"MIN",1,1,0.910700235817438
2022110607,3,2,10,42,68,"SHOTGUN","3x1",12.4833333333333,"0-3 min","visitante",-3,"MIN",0,1,0.881498175863687
2022100200,3,2,9,16,26,"SHOTGUN","3x1",12.3333333333333,"0-3 min","visitante",6,"MIN",1,1,0.842656999741286
2022091112,1,1,10,27,37,"I_FORM","2x1",0.5,"12-15 min","local",7,"MIN",0,1,0.956628236408229
2022103005,1,1,10,37,47,"SINGLEBACK","3x1",13.2833333333333,"0-3 min","local",0,"MIN",0,1,0.687102629548968
2022092504,4,1,9,9,101,"SINGLEBACK","2x2",8.55,"6-9 min","local",-10,"rival",1,1,0.933078108476276
2022110607,2,3,7,47,63,"SHOTGUN","3x1",8.5,"6-9 min","visitante",7,"MIN",1,1,0.999319435913225
2022092504,3,2,4,41,69,"SINGLEBACK","3x1",7.3,"6-9 min","local",-3,"MIN",0,0,0.533650909145102
2022091901,2,2,11,39,71,"SHOTGUN","2x2",11.85,"3-6 min","visitante",-14,"rival",0,1,0.974723778408413
2022110607,1,2,11,21,31,"EMPTY","3x2",14.3666666666667,"0-3 min","visitante",0,"MIN",1,1,0.97928794266292
2022091112,2,1,10,1,109,"I_FORM","2x1",7.96666666666667,"6-9 min","local",7,"MIN",0,0,0.012667170973881
2022091901,3,1,10,30,80,"SHOTGUN","2x2",11.35,"3-6 min","visitante",-17,"rival",1,0,0.416437123453889
2022100200,1,3,9,40,70,"SHOTGUN","3x1",3.25,"9-12 min","visitante",7,"rival",1,1,0.999002695967179
2022103005,3,3,5,41,69,"EMPTY","3x2",8.08333333333333,"6-9 min","local",-3,"MIN",1,1,0.999530714594735
2022100200,2,1,10,44,66,"I_FORM","2x1",3.7,"9-12 min","visitante",0,"MIN",1,0,0.154256514141815
2022091112,3,1,10,33,43,"I_FORM","2x1",12.1,"0-3 min","local",17,"rival",0,0,0.424160370844486
2022110607,4,3,13,15,95,"SHOTGUN","2x2",11.35,"3-6 min","visitante",-10,"rival",1,1,0.999763072652092
