"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022103007,3,1,10,27,83,"SHOTGUN","2x2",14.2666666666667,"0-3 min","visitante",-4,"rival",1,0,0.430163665069459
2022092505,3,2,7,28,38,"SINGLEBACK","2x2",4.15,"9-12 min","local",-8,"NE",1,1,0.712787733214388
2022091106,2,2,10,26,84,"SINGLEBACK","2x2",7.4,"6-9 min","visitante",-10,"NE",0,1,0.627234976976003
2022092505,4,4,1,17,27,"SINGLEBACK","3x1",13.6333333333333,"0-3 min","local",-11,"rival",1,1,0.628841080823814
2022100905,3,1,10,47,63,"SHOTGUN","3x1",4.75,"9-12 min","local",19,"NE",0,0,0.506062008898395
2022101601,3,2,2,2,108,"SHOTGUN","2x2",11.4833333333333,"3-6 min","visitante",4,"rival",1,0,0.313653996790657
2022103007,1,1,10,33,77,"SHOTGUN","3x1",4.71666666666667,"9-12 min","visitante",-3,"rival",1,0,0.404981786912908
2022091106,4,3,6,42,68,"EMPTY","3x2",12.9833333333333,"0-3 min","visitante",-13,"NE",1,1,0.726220737057453
2022110605,1,1,10,19,29,"SINGLEBACK","2x2",7.53333333333333,"6-9 min","local",0,"NE",0,0,0.346036983516348
2022100211,1,1,10,48,58,"SINGLEBACK","3x1",12.5333333333333,"0-3 min","visitante",0,"NE",0,0,0.341507528313549
2022091806,3,1,10,10,100,"SHOTGUN","2x2",3.96666666666667,"9-12 min","visitante",4,"rival",0,1,0.721675711857786
2022101601,4,1,10,50,60,"SINGLEBACK","2x2",13.9333333333333,"0-3 min","visitante",15,"centro",0,0,0.354416123809512
2022102400,4,3,3,35,75,"SHOTGUN","3x1",10.2166666666667,"3-6 min","local",-19,"NE",1,1,0.713832967088632
2022101601,1,2,8,42,68,"SINGLEBACK","3x1",12.3333333333333,"0-3 min","visitante",0,"rival",0,1,0.772545469771335
2022101601,2,1,10,13,97,"SHOTGUN","3x1",7.8,"6-9 min","visitante",0,"NE",1,1,0.730589195307088
2022110605,2,2,9,37,47,"EMPTY","3x2",14.2666666666667,"0-3 min","local",0,"rival",1,1,0.796738907472823
2022091806,4,3,2,38,72,"SHOTGUN","2x2",4.61666666666667,"9-12 min","visitante",3,"NE",1,0,0.45814465803535
2022100905,1,2,14,35,75,"SHOTGUN","2x2",2.03333333333333,"12-15 min","local",3,"rival",1,1,0.734466529383266
2022102400,1,2,6,42,52,"PISTOL","2x2",0.25,"12-15 min","local",-10,"NE",1,1,0.694886893802965
2022100211,4,2,6,29,81,"SINGLEBACK","2x2",5.38333333333333,"9-12 min","visitante",0,"NE",1,0,0.320919073656422
2022110605,1,1,10,49,61,"SINGLEBACK","3x1",0.616666666666667,"12-15 min","local",0,"rival",0,1,0.597991304790085
2022091106,4,1,10,16,94,"SHOTGUN","2x2",5.46666666666667,"9-12 min","visitante",-13,"NE",1,1,0.797451420119787
2022100211,2,2,10,50,60,"SHOTGUN","3x1",3.25,"9-12 min","visitante",-4,"centro",1,1,0.741844569416176
2022102400,2,2,9,45,55,"SHOTGUN","3x1",14.3333333333333,"0-3 min","local",-10,"rival",1,1,0.663555521010455
2022091106,2,3,19,49,59,"SHOTGUN","3x1",15,"0-3 min","visitante",-3,"rival",1,1,0.748579718850812
2022110605,1,3,12,23,33,"SHOTGUN","2x2",14.45,"0-3 min","local",0,"NE",1,1,0.765671098625688
2022091806,3,2,7,43,67,"SHOTGUN","2x2",11.7166666666667,"3-6 min","visitante",7,"rival",1,1,0.735813946144978
2022092505,4,1,10,29,81,"SHOTGUN","3x1",6.6,"6-9 min","local",-5,"NE",1,0,0.332724850837441
2022091806,4,1,10,45,55,"SHOTGUN","3x1",11.6166666666667,"3-6 min","visitante",3,"rival",1,1,0.556957307627475
2022091806,4,1,10,43,67,"SHOTGUN","2x2",3.85,"9-12 min","visitante",3,"NE",0,0,0.275744357701441
2022101601,3,2,4,15,95,"SHOTGUN","3x1",12.8166666666667,"0-3 min","visitante",4,"rival",1,1,0.558901220452661
2022092505,3,2,2,2,108,"SHOTGUN","2x2",12.3166666666667,"0-3 min","local",-1,"rival",0,0,0.281317175688455
2022100905,1,1,10,20,30,"SINGLEBACK","2x2",3.8,"9-12 min","local",3,"NE",0,0,0.312321352053556
2022103007,3,3,1,5,105,"EMPTY","3x2",12.2666666666667,"0-3 min","visitante",-4,"rival",1,1,0.689352511214101
2022103007,2,1,10,49,61,"SINGLEBACK","2x1",10.2666666666667,"3-6 min","visitante",-7,"NE",1,1,0.599815977972584
2022091806,1,3,7,23,33,"SHOTGUN","3x1",12.7166666666667,"0-3 min","visitante",0,"NE",1,1,0.825797699264055
2022100211,2,2,5,30,40,"SHOTGUN","2x1",1.21666666666667,"12-15 min","visitante",-4,"rival",1,1,0.512161831470286
2022100211,4,1,10,34,76,"SINGLEBACK","3x1",15,"0-3 min","visitante",0,"NE",0,0,0.210119330891887
2022092505,2,1,10,32,78,"SHOTGUN","2x2",8.2,"6-9 min","local",-4,"rival",1,0,0.456670612925458
2022102400,4,1,10,39,71,"SHOTGUN","2x2",9.61666666666667,"3-6 min","local",-19,"NE",0,1,0.556189836924478
2022103007,2,3,9,50,60,"SHOTGUN","3x1",9.55,"3-6 min","visitante",-7,"centro",1,1,0.776108191973262
2022091806,4,2,13,27,83,"SHOTGUN","3x1",5.38333333333333,"9-12 min","visitante",3,"NE",1,0,0.46394042150008
2022101601,2,1,10,44,66,"SINGLEBACK","3x1",12.5333333333333,"0-3 min","visitante",0,"NE",0,0,0.358861480316872
2022101601,3,1,10,40,70,"SINGLEBACK","3x1",7.03333333333333,"6-9 min","visitante",11,"rival",0,0,0.366937285818202
