"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022091100,1,1,10,23,87,"SINGLEBACK","3x1",7.76666666666667,"6-9 min","visitante",-3,"NO",0,0,0.178002636184469
2022100906,3,1,10,21,89,"PISTOL","3x1",2.76666666666667,"12-15 min","local",5,"NO",0,0,0.106370653074939
2022101605,3,3,8,27,83,"SHOTGUN","2x2",14.2666666666667,"0-3 min","local",6,"NO",1,1,0.964307271772538
2022100200,3,1,10,20,90,"SINGLEBACK","2x2",14.9166666666667,"0-3 min","local",-6,"NO",1,0,0.0367917093129236
2022103006,2,1,15,16,94,"SHOTGUN","3x1",7.38333333333333,"6-9 min","local",10,"rival",1,1,0.859036804563254
2022092500,3,1,10,38,48,"I_FORM","2x1",5.1,"9-12 min","visitante",-13,"NO",0,1,0.531039639416002
2022102000,2,1,10,25,35,"SHOTGUN","2x2",1.83333333333333,"12-15 min","visitante",-6,"NO",1,1,0.891827889041519
2022092500,3,3,11,19,91,"SHOTGUN","3x1",7.96666666666667,"6-9 min","visitante",-13,"rival",1,1,0.988058602550679
2022092500,4,1,10,25,85,"SHOTGUN","3x1",12.1,"0-3 min","visitante",-12,"NO",1,1,0.922388415448767
2022092500,4,1,10,34,44,"SHOTGUN","3x1",13.2166666666667,"0-3 min","visitante",-13,"rival",1,1,0.953893723909905
2022091100,2,3,6,29,39,"SHOTGUN","3x1",11.0333333333333,"3-6 min","visitante",-3,"NO",1,1,0.925701483755752
2022102000,1,1,10,39,71,"SINGLEBACK","2x2",9.66666666666667,"3-6 min","visitante",4,"NO",0,0,0.339719184175401
2022102000,4,1,10,37,73,"SHOTGUN","2x2",5.78333333333333,"9-12 min","visitante",-18,"NO",1,1,0.995957948574898
2022092500,3,2,3,42,52,"I_FORM","2x1",12.45,"0-3 min","visitante",-13,"NO",0,0,0.406881436649412
2022091804,2,3,4,39,71,"SHOTGUN","2x2",1.28333333333333,"12-15 min","local",3,"rival",1,1,0.991723827667037
2022091804,1,3,3,44,66,"SHOTGUN","2x1",1.41666666666667,"12-15 min","local",3,"NO",0,0,0.48943919181904
2022091804,1,2,3,46,56,"EMPTY","3x2",12.4,"0-3 min","local",0,"rival",1,0,0.272189939189672
2022102000,4,3,15,35,45,"SHOTGUN","2x2",0.9,"12-15 min","visitante",-11,"rival",1,1,0.998919241129189
2022101605,3,2,1,46,56,"SINGLEBACK","2x2",1.66666666666667,"12-15 min","local",2,"rival",1,1,0.655333923081783
2022102000,4,1,10,35,45,"SHOTGUN","2x2",12.4166666666667,"0-3 min","visitante",-18,"rival",1,1,0.982868757181816
2022101605,3,3,9,19,29,"SHOTGUN","3x1",7.35,"6-9 min","local",6,"rival",1,1,0.97381630572934
2022110700,4,2,10,41,69,"SHOTGUN","2x2",4.36666666666667,"9-12 min","local",-21,"rival",1,1,0.990782330674716
2022103006,3,3,3,49,61,"SINGLEBACK","3x1",3.71666666666667,"9-12 min","local",24,"rival",0,1,0.774925089769246
2022091804,2,1,10,20,30,"I_FORM","2x1",7.45,"6-9 min","local",3,"NO",0,1,0.512402049997828
2022101605,4,3,3,37,47,"SHOTGUN","2x2",1.56666666666667,"12-15 min","local",-4,"NO",1,1,0.844040525421727
2022101605,3,1,10,32,42,"I_FORM","2x0",9.2,"3-6 min","local",6,"rival",0,0,0.172710716883664
2022110700,1,1,10,22,88,"SINGLEBACK","3x1",10.3833333333333,"3-6 min","local",0,"NO",1,0,0.30088411382938
2022100200,1,1,10,25,85,"SHOTGUN","2x1",8.2,"6-9 min","local",-7,"NO",1,0,0.279226294678327
2022102000,3,3,3,32,42,"SHOTGUN","3x1",0.0166666666666667,"12-15 min","visitante",-18,"NO",1,1,0.992474990195885
