"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022100208,2,2,6,8,18,"SINGLEBACK","3x1",5.4,"9-12 min","local",1,"rival",1,0,0.187004965444381
2022092600,2,1,10,20,90,"SINGLEBACK","2x2",2.5,"12-15 min","local",-3,"NYG",1,1,0.52402504200973
2022092600,1,3,10,29,81,"SHOTGUN","3x1",7.91666666666667,"6-9 min","local",0,"rival",1,1,0.99668982275292
2022101606,3,3,4,44,66,"SHOTGUN","3x1",7,"6-9 min","local",-6,"NYG",1,1,0.752240193600726
2022102304,1,3,14,45,65,"EMPTY","3x2",4.43333333333333,"9-12 min","visitante",-1,"NYG",1,1,0.998123634331712
2022102304,3,2,2,3,107,"SINGLEBACK","2x1",7.18333333333333,"6-9 min","visitante",-4,"rival",0,0,0.352935007296558
2022091108,1,3,20,30,40,"SHOTGUN","3x1",3.03333333333333,"9-12 min","visitante",-7,"NYG",1,1,0.995745905837712
2022100208,2,1,10,48,62,"SINGLEBACK","2x2",15,"0-3 min","local",1,"NYG",1,0,0.276980055543213
2022091805,4,1,10,35,45,"SINGLEBACK","2x2",10.1166666666667,"3-6 min","local",0,"NYG",0,1,0.735206302156453
2022101606,4,3,4,31,41,"SHOTGUN","2x2",11.8666666666667,"3-6 min","local",-10,"NYG",1,1,0.754050935577879
2022091805,3,1,10,15,95,"SINGLEBACK","2x2",6.65,"6-9 min","local",0,"NYG",1,0,0.111576302487274
2022103011,4,3,9,49,59,"SHOTGUN","2x1",15,"0-3 min","visitante",-3,"NYG",1,1,0.871475797133651
2022101606,3,2,5,30,80,"EMPTY","4x1",14.35,"0-3 min","local",-3,"NYG",1,0,0.322395774740436
2022100900,1,1,10,34,76,"SINGLEBACK","2x2",1.41666666666667,"12-15 min","visitante",-10,"rival",0,1,0.828211933852149
2022102304,3,2,5,40,70,"SHOTGUN","2x2",9.6,"3-6 min","visitante",-4,"rival",0,1,0.664516333050217
2022091108,1,1,10,40,50,"SHOTGUN","2x2",4.5,"9-12 min","visitante",-7,"NYG",1,1,0.654577752370451
2022100208,4,1,10,21,89,"SINGLEBACK","3x1",12.0833333333333,"0-3 min","local",5,"NYG",0,0,0.0735776525489847
2022102304,4,2,3,43,67,"I_FORM","1x1",3.61666666666667,"9-12 min","visitante",3,"NYG",0,0,0.0570616189951798
2022100208,4,3,2,22,88,"SHOTGUN","2x2",14.3666666666667,"0-3 min","local",5,"NYG",0,0,0.293749116513893
