"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022092508,2,2,9,16,26,8.25,"6-9 min","visitante",10,"rival",0,1,0.756816006998047
2022100209,3,1,10,22,32,11.3666666666667,"3-6 min","local",6,"PHI",1,0,0.462712683012432
2022091104,1,2,8,25,85,0.766666666666667,"12-15 min","visitante",-7,"rival",1,1,0.799885776865596
2022100209,1,1,15,28,38,11.85,"3-6 min","local",0,"PHI",1,1,0.534840095894397
2022100209,2,2,21,21,31,10.8,"3-6 min","local",-14,"rival",1,1,0.737452253146108
2022092508,2,2,7,15,95,1.43333333333333,"12-15 min","visitante",17,"PHI",1,1,0.551544132687048
2022100209,3,2,4,44,66,2.28333333333333,"12-15 min","local",6,"rival",0,1,0.578841351880492
2022103008,2,1,10,29,39,13.5,"0-3 min","local",0,"rival",0,1,0.595935061054774
2022100911,1,2,8,48,58,11.0833333333333,"3-6 min","visitante",0,"rival",1,1,0.846004819408004
2022100209,2,4,1,12,22,1.16666666666667,"12-15 min","local",0,"rival",0,0,0.265722704951771
2022100911,3,1,10,33,43,12.8833333333333,"0-3 min","visitante",4,"rival",1,1,0.597648250470071
2022100209,1,4,1,30,40,12.85,"0-3 min","local",0,"PHI",0,0,0.297559963044918
2022101611,1,3,1,18,92,2.26666666666667,"12-15 min","local",0,"rival",0,0,0.331799151008614
2022091901,2,1,10,34,76,4.45,"9-12 min","local",7,"PHI",1,0,0.465968045734708
2022103008,4,3,14,6,16,8.11666666666667,"6-9 min","local",22,"PHI",0,1,0.655686015259918
2022100911,2,1,10,40,50,4.4,"9-12 min","visitante",7,"PHI",1,0,0.476640679849205
2022100911,1,2,10,36,74,12.15,"0-3 min","visitante",0,"PHI",1,1,0.744680356583635
2022091104,4,2,12,35,45,12.95,"0-3 min","visitante",10,"PHI",1,1,0.748153100847938
2022100209,2,2,6,10,20,3.98333333333333,"9-12 min","local",-7,"rival",0,0,0.399874033640195
2022091104,4,2,8,19,29,10.0333333333333,"3-6 min","visitante",10,"PHI",1,1,0.569806025960937
2022100911,2,3,1,2,108,11.3833333333333,"3-6 min","visitante",7,"rival",0,0,0.12377056455869
2022091104,2,1,10,29,81,11.6166666666667,"3-6 min","visitante",0,"PHI",1,1,0.511798288566424
2022110300,1,3,6,21,89,8.85,"6-9 min","visitante",-7,"PHI",1,1,0.780046731809227
2022091104,3,3,2,40,70,11.9166666666667,"3-6 min","visitante",10,"PHI",1,0,0.495697582849077
2022092508,3,3,19,44,54,13.25,"0-3 min","visitante",24,"rival",1,1,0.884532736903073
2022101611,1,4,3,38,72,3.46666666666667,"9-12 min","local",0,"rival",1,0,0.436455557755101
2022100911,4,2,10,34,76,5.25,"9-12 min","visitante",0,"rival",1,0,0.476476606609868
2022110300,1,1,10,9,101,9.55,"3-6 min","visitante",-7,"PHI",1,0,0.427647596690557
2022103008,1,3,1,41,51,12.6166666666667,"0-3 min","local",0,"PHI",0,0,0.479186506725131
2022101611,2,2,1,35,45,14.1,"0-3 min","local",7,"rival",0,0,0.331640294994946
2022110300,3,3,3,24,34,13.6,"0-3 min","visitante",0,"PHI",1,0,0.444609869215206
2022110300,2,3,4,4,106,4.61666666666667,"9-12 min","visitante",0,"rival",0,0,0.325215768078195
2022091104,3,3,4,43,53,2.75,"12-15 min","visitante",10,"rival",1,1,0.801980835454226
2022091104,4,3,1,40,70,1.83333333333333,"12-15 min","visitante",3,"rival",0,0,0.175752574697831
2022100911,2,1,10,11,99,12.25,"0-3 min","visitante",7,"rival",1,0,0.408235565940124
2022091901,4,3,7,47,57,4.15,"9-12 min","local",17,"PHI",1,0,0.428513459089601
2022100209,4,2,5,19,29,11.5166666666667,"3-6 min","local",9,"rival",0,0,0.471840170622062
2022100209,3,1,10,24,86,1.93333333333333,"12-15 min","local",6,"rival",0,0,0.403768294038486
2022103008,1,2,2,29,39,1.48333333333333,"12-15 min","local",0,"PHI",1,0,0.409800154589705
2022091901,1,1,10,45,55,0.233333333333333,"12-15 min","local",7,"PHI",0,1,0.891847532746545
2022100911,3,1,10,46,56,13.65,"0-3 min","visitante",4,"rival",1,1,0.546117755214813
2022100911,2,3,3,32,78,13.7333333333333,"0-3 min","visitante",7,"rival",0,1,0.500425789597469
2022101611,2,1,10,20,30,3.08333333333333,"9-12 min","local",17,"rival",1,0,0.321367941957908
2022091104,2,2,5,5,15,0.233333333333333,"12-15 min","visitante",7,"rival",1,1,0.701167974887862
2022091901,1,2,8,45,65,13.05,"0-3 min","local",0,"rival",1,1,0.834410503020675
2022101611,4,3,4,45,65,10.5,"3-6 min","local",3,"rival",0,1,0.518115179744366
2022092508,2,4,1,8,18,7.18333333333333,"6-9 min","visitante",10,"rival",0,0,0.292796993573951
2022100911,3,2,8,16,94,4.05,"9-12 min","visitante",7,"PHI",1,1,0.632312542238055
2022091104,4,3,2,27,37,2.35,"12-15 min","visitante",3,"PHI",0,0,0.155254044672001
2022092508,3,2,10,35,45,13.95,"0-3 min","visitante",24,"rival",1,1,0.625613092932126
2022092508,1,1,10,35,45,12.4666666666667,"0-3 min","visitante",0,"PHI",0,1,0.590911546154386
2022100209,1,1,10,47,63,3.26666666666667,"9-12 min","local",-14,"rival",0,1,0.516296652727653
2022100209,4,2,7,9,19,9.6,"3-6 min","local",9,"rival",0,0,0.395457522327343
