"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022100901,2,1,10,27,83,0.933333333333333,"12-15 min","visitante",-28,"PIT",1,1,0.85689501500798
2022091103,1,1,10,34,76,4.36666666666667,"9-12 min","visitante",4,"rival",1,0,0.0635314246668477
2022103008,4,2,10,45,55,10.5833333333333,"3-6 min","visitante",-22,"rival",0,0,0.296241839212912
2022102311,4,3,10,40,50,6.16666666666667,"6-9 min","visitante",-6,"PIT",1,1,0.991186695008008
2022101607,2,2,20,46,56,5.56666666666667,"9-12 min","local",1,"rival",1,1,0.896047199537871
2022091806,1,1,10,47,63,3.83333333333333,"9-12 min","local",-3,"PIT",0,1,0.813195395844884
2022091806,1,2,8,27,83,14.35,"0-3 min","local",0,"PIT",1,0,0.195662856136799
2022100901,3,3,15,29,81,0.783333333333333,"12-15 min","visitante",-28,"rival",1,1,0.955300301066209
2022100901,4,2,10,20,90,6.35,"6-9 min","visitante",-35,"PIT",1,1,0.743606255171108
2022102311,2,1,10,10,100,2.01666666666667,"12-15 min","visitante",-10,"rival",0,0,0.466421361432992
2022092200,3,2,19,45,55,10.3666666666667,"3-6 min","visitante",1,"PIT",1,0,0.407319313388689
2022103008,2,3,7,18,92,1.21666666666667,"12-15 min","visitante",-14,"rival",1,1,0.991965727020366
2022091806,3,3,8,33,43,6.45,"6-9 min","local",-7,"rival",1,1,0.998596880580667
2022100901,1,2,9,40,50,11.3166666666667,"3-6 min","visitante",-7,"PIT",0,1,0.743093097775697
2022100901,2,1,10,25,85,7.33333333333333,"6-9 min","visitante",-21,"PIT",1,1,0.726076467575062
2022091103,4,2,12,15,95,1.73333333333333,"12-15 min","visitante",6,"PIT",1,0,0.0575318525142307
2022102311,2,1,10,22,88,2.45,"12-15 min","visitante",-10,"rival",0,1,0.809779972191485
2022091103,1,2,8,27,37,6.55,"6-9 min","visitante",4,"PIT",0,1,0.821656254965994
2022092200,2,1,10,48,58,7.18333333333333,"6-9 min","visitante",-6,"rival",0,1,0.929697937097218
2022100210,4,1,10,48,62,0.133333333333333,"12-15 min","local",-4,"rival",1,1,0.991831506708551
2022103008,2,1,10,39,71,2.51666666666667,"12-15 min","visitante",-14,"rival",0,1,0.771548635929414
2022101607,3,3,5,41,51,4.48333333333333,"9-12 min","local",1,"PIT",1,1,0.988256658974084
2022102311,2,3,3,27,83,11.8666666666667,"3-6 min","visitante",-13,"rival",1,1,0.970405733438262
2022103008,2,1,10,21,89,1.38333333333333,"12-15 min","visitante",-14,"rival",1,0,0.607430577277551
2022101607,1,1,10,10,100,8.48333333333333,"6-9 min","local",0,"rival",1,1,0.66403018459741
2022091806,4,1,10,20,30,8.05,"6-9 min","local",-3,"PIT",0,1,0.747043332181575
2022102311,1,2,7,28,82,10.0833333333333,"3-6 min","visitante",-7,"PIT",0,1,0.874777898329271
2022091806,3,2,2,35,45,1.45,"12-15 min","local",-11,"rival",1,1,0.829774865825394
2022091103,2,3,8,10,100,4.68333333333333,"9-12 min","visitante",14,"PIT",1,1,0.886910409794719
2022103008,3,2,7,4,14,1.28333333333333,"12-15 min","visitante",-15,"PIT",1,0,0.62958485509886
2022092200,3,1,5,36,46,13.7333333333333,"0-3 min","visitante",1,"PIT",0,1,0.685579948465094
2022100210,3,1,10,18,92,5.11666666666667,"9-12 min","local",3,"PIT",1,0,0.176970750361659
2022091806,2,2,6,24,34,5.86666666666667,"9-12 min","local",0,"PIT",0,1,0.835290182748702
2022100901,2,3,9,19,29,4.13333333333333,"9-12 min","visitante",-21,"rival",1,1,0.995699884477204
2022102311,4,2,3,17,93,3.95,"9-12 min","visitante",-6,"rival",0,1,0.776502655180456
2022100210,3,1,10,22,88,13.8833333333333,"0-3 min","local",-4,"PIT",0,0,0.492068128557924
2022092200,3,1,10,25,35,2.51666666666667,"12-15 min","visitante",-2,"PIT",0,1,0.722334780308625
2022100901,1,3,11,38,48,10.5833333333333,"3-6 min","visitante",-7,"PIT",1,1,0.990631425275181
2022091103,3,3,16,30,40,1,"12-15 min","visitante",3,"PIT",1,1,0.992372868585707
2022092200,3,1,10,16,26,14.9166666666667,"0-3 min","visitante",1,"PIT",1,1,0.799599134761388
