"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_44814","nflId_46108","nflId_46161","nflId_46166","nflId_47849","nflId_52457","nflId_52543","nflId_53453","nflId_53484","nflId_53557","nflId_54517","nflId_47924","nflId_47876","nflId_48988","nflId_43487","nflId_46755","nflId_54905","nflId_46404","nflId_54673","nflId_54485","nflId_48051","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022100901,2,1,10,27,83,"SHOTGUN","3x1",0.933333333333333,"12-15 min","visitante",0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,-28,"PIT",1,1,0.836105730398901
2022091103,1,1,10,34,76,"PISTOL","3x1",4.36666666666667,"9-12 min","visitante",1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,4,"rival",1,0,0.224713080973912
2022103008,4,2,10,45,55,"SHOTGUN","2x2",10.5833333333333,"3-6 min","visitante",0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,-22,"rival",0,1,0.715742531719753
2022102311,4,3,10,40,50,"SHOTGUN","3x1",6.16666666666667,"6-9 min","visitante",0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,-6,"PIT",1,1,0.955497169288419
2022101607,2,2,20,46,56,"SHOTGUN","2x2",5.56666666666667,"9-12 min","local",0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,"rival",1,1,0.782025956571981
2022091806,1,1,10,47,63,"SHOTGUN","2x2",3.83333333333333,"9-12 min","local",1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,-3,"PIT",0,1,0.869253910401399
2022091806,1,2,8,27,83,"SHOTGUN","3x1",14.35,"0-3 min","local",1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"PIT",1,0,0.531167049010185
2022100901,3,3,15,29,81,"SHOTGUN","3x1",0.783333333333333,"12-15 min","visitante",0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,-28,"rival",1,1,0.827003695078514
2022100901,4,2,10,20,90,"SHOTGUN","2x2",6.35,"6-9 min","visitante",0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,-35,"PIT",1,1,0.793306376512083
2022102311,2,1,10,10,100,"SINGLEBACK","3x1",2.01666666666667,"12-15 min","visitante",0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,-10,"rival",0,0,0.369327324227819
2022092200,3,2,19,45,55,"SHOTGUN","2x2",10.3666666666667,"3-6 min","visitante",1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,"PIT",1,1,0.682331853853739
2022103008,2,3,7,18,92,"SHOTGUN","3x1",1.21666666666667,"12-15 min","visitante",0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,-14,"rival",1,1,0.946657650626933
2022091806,3,3,8,33,43,"SHOTGUN","3x1",6.45,"6-9 min","local",1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,-7,"rival",1,1,0.942676118067202
2022100901,1,2,9,40,50,"I_FORM","2x1",11.3166666666667,"3-6 min","visitante",0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,-7,"PIT",0,0,0.517160824802004
2022100901,2,1,10,25,85,"SHOTGUN","3x1",7.33333333333333,"6-9 min","visitante",0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,-21,"PIT",1,0,0.471624821890116
2022091103,4,2,12,15,95,"PISTOL","3x1",1.73333333333333,"12-15 min","visitante",1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,6,"PIT",1,1,0.640478003366577
2022102311,2,1,10,22,88,"I_FORM","2x1",2.45,"12-15 min","visitante",0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,-10,"rival",0,0,0.372243307117247
2022091103,1,2,8,27,37,"SHOTGUN","2x2",6.55,"6-9 min","visitante",1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,4,"PIT",0,0,0.136526604278479
2022092200,2,1,10,48,58,"SHOTGUN","3x1",7.18333333333333,"6-9 min","visitante",1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-6,"rival",0,1,0.677184110594439
2022100210,4,1,10,48,62,"SHOTGUN","3x1",0.133333333333333,"12-15 min","local",0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,-4,"rival",1,1,0.838073699082173
2022103008,2,1,10,39,71,"SHOTGUN","2x2",2.51666666666667,"12-15 min","visitante",0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,-14,"rival",0,1,0.793249863041712
2022101607,3,3,5,41,51,"SHOTGUN","2x2",4.48333333333333,"9-12 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,"PIT",1,1,0.937592516604353
2022102311,2,3,3,27,83,"SHOTGUN","2x2",11.8666666666667,"3-6 min","visitante",0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,-13,"rival",1,1,0.942462230291807
2022103008,2,1,10,21,89,"SHOTGUN","3x1",1.38333333333333,"12-15 min","visitante",0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,-14,"rival",1,1,0.801758787535863
2022101607,1,1,10,10,100,"SHOTGUN","2x2",8.48333333333333,"6-9 min","local",0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,"rival",1,0,0.380764310169471
2022091806,4,1,10,20,30,"SHOTGUN","2x2",8.05,"6-9 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-3,"PIT",0,1,0.769057021489978
